<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQP.US,D,20241003,000000,24.375,24.46,24.2296,24.3358,7343,0
QQQP.US,D,20241004,000000,24.88,25.93,24.66,24.9436,29687,0
QQQP.US,D,20241007,000000,24.97,25.285,24.3182,24.3182,7973,0
QQQP.US,D,20241008,000000,24.5,25.4999,24.5,25.0831,4577,0
QQQP.US,D,20241009,000000,24.95,25.4931,24.95,25.4931,11455,0
QQQP.US,D,20241010,000000,25.29,26.34,25.23,25.412,25995,0
QQQP.US,D,20241011,000000,25.24,25.55,25.24,25.48,123030,0
QQQP.US,D,20241014,000000,25.73,26.0199,25.72,25.8937,31556,0
QQQP.US,D,20241015,000000,25.93,26.05,25.03,25.1328,27972,0
QQQP.US,D,20241016,000000,25.0499,25.1969,25.0499,25.1969,670,0
QQQP.US,D,20241017,000000,25.58,25.58,25.25,25.26,3669,0
QQQP.US,D,20241018,000000,25.5701,25.64,25.51,25.59,12305,0
QQQP.US,D,20241021,000000,25.69,25.69,25.589,25.6299,2988,0
QQQP.US,D,20241022,000000,25.5,25.83,25.5,25.7143,3250,0
QQQP.US,D,20241023,000000,25.43,25.43,24.669,24.9015,43130,0
QQQP.US,D,20241024,000000,25.23,25.39,25.0201,25.31,127173,0
QQQP.US,D,20241025,000000,26.06,26.06,25.5898,25.5898,920,0
QQQP.US,D,20241028,000000,25.783,25.79,25.5916,25.5916,9173,0
QQQP.US,D,20241029,000000,25.979,26.2,25.979,26.0604,15540,0
QQQP.US,D,20241030,000000,25.9,26.011,25.66,25.6609,2761,0
QQQP.US,D,20241031,000000,25.05,25.05,24.406,24.4909,5344,0
QQQP.US,D,20241101,000000,24.73,24.945,24.68,24.75,8682,0
QQQP.US,D,20241104,000000,24.71,24.92,24.5799,24.5799,11263,0
QQQP.US,D,20241105,000000,24.89,25.24,24.84,25.2006,45509,0
QQQP.US,D,20241106,000000,26.209,26.5928,26.16,26.5928,5985,0
QQQP.US,D,20241107,000000,27.14,27.43,27.1001,27.42,20445,0
QQQP.US,D,20241108,000000,27.381,27.4356,27.31,27.4356,19248,0
QQQP.US,D,20241111,000000,27.5896,27.5896,27.1801,27.3729,5498,0
QQQP.US,D,20241112,000000,27.39,27.41,27.2599,27.3054,2377,0
QQQP.US,D,20241113,000000,27.195,27.48,27.17,27.22,3336,0
QQQP.US,D,20241114,000000,27.09,27.1,26.8379,26.8379,1524,0
QQQP.US,D,20241115,000000,26.27,26.27,25.4301,25.6175,1584,0
QQQP.US,D,20241118,000000,26.075,26.075,25.88,25.9413,1035,0
QQQP.US,D,20241119,000000,25.75,26.2992,25.75,26.2992,6714,0
QQQP.US,D,20241120,000000,25.94,26.2319,25.81,26.2319,5461,0
QQQP.US,D,20241121,000000,26.03,26.54,25.925,26.41,2986,0
QQQP.US,D,20241122,000000,26.52,26.57,26.29,26.56,102087,0
QQQP.US,D,20241125,000000,26.89,27.01,26.33,26.5862,30770,0
QQQP.US,D,20241126,000000,26.75,26.8723,26.68,26.8723,10817,0
QQQP.US,D,20241127,000000,26.43,26.48,26.4111,26.4111,1059,0
QQQP.US,D,20241129,000000,26.5,26.8813,26.5,26.8813,441,0
QQQP.US,D,20241202,000000,27.16,27.479,27.15,27.4471,2515,0
QQQP.US,D,20241203,000000,27.44,27.5931,27.425,27.5931,807,0
QQQP.US,D,20241204,000000,27.9,28.26,27.9,28.2366,4538,0
QQQP.US,D,20241205,000000,28.21,28.3,28.05,28.055,42663,0
QQQP.US,D,20241206,000000,28.4899,28.5586,28.43,28.5586,2332,0
QQQP.US,D,20241209,000000,28.1701,28.18,28.02,28.0929,1834,0
QQQP.US,D,20241210,000000,28.24,28.24,27.77,27.8702,29488,0
QQQP.US,D,20241211,000000,28.67,28.93,28.67,28.8672,9754,0
QQQP.US,D,20241212,000000,28.52,28.7199,28.52,28.5425,1072,0
QQQP.US,D,20241213,000000,28.96,29.06,28.709,28.9179,5611,0
QQQP.US,D,20241216,000000,29.24,29.68,29.16,29.6677,3663,0
QQQP.US,D,20241217,000000,29.4496,29.4675,29.4211,29.4582,1026,0
QQQP.US,D,20241218,000000,29.4,29.5,27.4,27.47,3734,0
QQQP.US,D,20241219,000000,27.8996,27.8996,27.19,27.2441,23123,0
QQQP.US,D,20241220,000000,26.92,28.185,26.92,27.6336,4242,0
QQQP.US,D,20241223,000000,27.78,28.1947,27.48,28.1947,37879,0
QQQP.US,D,20241224,000000,28.471,28.88,28.471,28.88,1276,0
QQQP.US,D,20241226,000000,28.8,28.83,28.8,28.82,1831,0
QQQP.US,D,20241227,000000,28.4101,28.4101,27.775,28.09,3197,0
QQQP.US,D,20241230,000000,27.05,27.39,27.05,27.38,4390,0
QQQP.US,D,20241231,000000,27.2661,27.2661,26.9094,26.9094,785,0
QQQP.US,D,20250102,000000,27.049,27.0565,26.65,26.7923,1138,0
QQQP.US,D,20250103,000000,27.464,27.68,27.464,27.68,2756,0
QQQP.US,D,20250106,000000,28.23,28.6,28.14,28.2486,7701,0
QQQP.US,D,20250107,000000,28.21,28.21,27.28,27.28,12688,0
QQQP.US,D,20250108,000000,27.29,27.3501,26.979,27.3,15131,0
QQQP.US,D,20250110,000000,26.42,26.42,26.12,26.42,1233,0
