<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QTOP.US,D,20241028,000000,25.22,25.22,24.985,25,73456,0
QTOP.US,D,20241029,000000,25.04,25.32,24.925,25.26,90956,0
QTOP.US,D,20241030,000000,25.3,25.3,25.06,25.07,93427,0
QTOP.US,D,20241031,000000,24.86,24.86,24.388,24.39,75211,0
QTOP.US,D,20241101,000000,24.48,24.69,24.43,24.54,49856,0
QTOP.US,D,20241104,000000,24.51,24.63,24.39,24.44,36077,0
QTOP.US,D,20241105,000000,24.55,24.8101,24.55,24.78,37480,0
QTOP.US,D,20241106,000000,25.25,25.52,25.16,25.49,55324,0
QTOP.US,D,20241107,000000,25.63,25.939,25.63,25.92,59800,0
QTOP.US,D,20241108,000000,25.93,26.04,25.9092,25.99,44381,0
QTOP.US,D,20241111,000000,26.11,26.11,25.82,25.96,57929,0
QTOP.US,D,20241112,000000,25.99,26.0071,25.83,25.94,46458,0
QTOP.US,D,20241113,000000,25.92,26.0001,25.79,25.88,24117,0
QTOP.US,D,20241114,000000,25.88,25.89,25.6781,25.7,27617,0
QTOP.US,D,20241115,000000,25.41,25.41,25,25.12,43573,0
QTOP.US,D,20241118,000000,25.2,25.3967,25.155,25.31,60488,0
QTOP.US,D,20241119,000000,25.2,25.52,25.1718,25.5,27251,0
QTOP.US,D,20241120,000000,25.49,25.49,25.165,25.46,20094,0
QTOP.US,D,20241121,000000,25.64,25.64,25.11,25.47,19339,0
QTOP.US,D,20241122,000000,25.44,25.4693,25.35,25.44,37046,0
QTOP.US,D,20241125,000000,25.6,25.66,25.2804,25.39,31760,0
QTOP.US,D,20241126,000000,25.47,25.59,25.47,25.58,12056,0
QTOP.US,D,20241127,000000,25.52,25.52,25.2201,25.38,18801,0
QTOP.US,D,20241129,000000,25.38,25.65,25.38,25.65,25233,0
QTOP.US,D,20241202,000000,25.69,25.9698,25.69,25.95,49047,0
QTOP.US,D,20241203,000000,25.88,26.05,25.875,26.05,30882,0
QTOP.US,D,20241204,000000,26.19,26.37,26.1666,26.37,44883,0
QTOP.US,D,20241205,000000,26.41,26.459,26.36,26.39,24110,0
QTOP.US,D,20241206,000000,26.4,26.63,26.4,26.61,40721,0
QTOP.US,D,20241209,000000,26.59,26.59,26.3305,26.42,36490,0
QTOP.US,D,20241210,000000,26.54,26.65,26.365,26.42,43871,0
QTOP.US,D,20241211,000000,26.65,26.99,26.65,26.95,31012,0
QTOP.US,D,20241212,000000,26.85,26.86,26.7395,26.75,43366,0
QTOP.US,D,20241213,000000,27.05,27.1899,26.86,27.06,94476,0
QTOP.US,D,20241216,000000,27.23,27.57,27.22,27.55,111253,0
QTOP.US,D,20241217,000000,27.42,27.435,27.275,27.43,95517,0
QTOP.US,D,20241218,000000,27.39,27.46,26.37,26.45,160679,0
QTOP.US,D,20241219,000000,26.65,26.74,26.35,26.38,103379,0
QTOP.US,D,20241220,000000,26.19,26.8605,26.07,26.59,89584,0
QTOP.US,D,20241223,000000,26.71,26.89,26.5788,26.89,83550,0
QTOP.US,D,20241224,000000,27.01,27.3,26.97,27.3,98209,0
QTOP.US,D,20241226,000000,27.25,27.36,27.12,27.29,239786,0
QTOP.US,D,20241227,000000,27.2,27.2,26.62,26.88,180886,0
QTOP.US,D,20241230,000000,26.48,26.69,26.33,26.53,182153,0
QTOP.US,D,20241231,000000,26.62,26.62,26.2298,26.27,135194,0
QTOP.US,D,20250102,000000,26.37,26.5,25.93,26.17,197163,0
QTOP.US,D,20250103,000000,26.3,26.59,26.28,26.57,147441,0
QTOP.US,D,20250106,000000,26.84,27.02,26.75,26.88,221899,0
QTOP.US,D,20250107,000000,26.95,26.95,26.2,26.28,96679,0
QTOP.US,D,20250108,000000,26.29,26.37,26.09,26.31,57900,0
QTOP.US,D,20250110,000000,26.12,26.12,25.7,25.88,93135,0
