<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RADX.US,D,20241206,000000,21.99,50.82,15.8,18.9,158435,0
RADX.US,D,20241209,000000,10.7,14,9,9.18,131526,0
RADX.US,D,20241210,000000,7.05,7.93,6.4,6.58,83113,0
RADX.US,D,20241211,000000,6.29,6.37,5.68,5.73,30758,0
RADX.US,D,20241212,000000,6.49,7.39,5.7,5.8,35444,0
RADX.US,D,20241213,000000,5.6,6.2,5.52,5.63,37149,0
RADX.US,D,20241216,000000,5.0001,5.76,4.38,4.77,109835,0
RADX.US,D,20241217,000000,4.31,5.37,4.2,4.48,73735,0
RADX.US,D,20241218,000000,4.3,5,4.3,4.5,14793,0
RADX.US,D,20241219,000000,4.69,5.17,4.3259,4.46,20804,0
RADX.US,D,20241220,000000,4.94,4.94,4.38,4.39,4908,0
RADX.US,D,20241223,000000,4.27,5.1699,3.86,4.21,51773,0
RADX.US,D,20241224,000000,4.35,4.44,3.92,4.1,77773,0
RADX.US,D,20241226,000000,3.92,5,3.8,3.99,168642,0
RADX.US,D,20241227,000000,3.94,4.96,3.5501,4.67,77269,0
RADX.US,D,20241230,000000,5.04,5.61,4.55,4.8,157586,0
RADX.US,D,20241231,000000,4.47,4.59,4.105,4.49,53921,0
RADX.US,D,20250102,000000,4.4,5.05,4.3502,4.64,61806,0
RADX.US,D,20250103,000000,4.41,4.8379,4.41,4.62,20936,0
RADX.US,D,20250106,000000,4.64,4.64,4.51,4.51,15162,0
RADX.US,D,20250107,000000,4.51,4.65,4.27,4.65,7064,0
RADX.US,D,20250108,000000,4.3,4.41,3.7,4.03,59241,0
RADX.US,D,20250110,000000,3.95,5.6099,3.85,5.35,498661,0
