<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RANGU.US,D,20241223,000000,10.01,10.01,10,10.005,617678,0
RANGU.US,D,20241224,000000,10.01,10.01,10,10.005,79145,0
RANGU.US,D,20241226,000000,10.005,10.02,10.0017,10.02,15507,0
RANGU.US,D,20241227,000000,10.02,10.17,10.02,10.05,59922,0
RANGU.US,D,20241230,000000,10.22,10.22,10.05,10.05,521,0
RANGU.US,D,20250102,000000,10.05,10.05,10.05,10.05,103221,0
RANGU.US,D,20250106,000000,10.01,10.065,10.01,10.065,50978,0
RANGU.US,D,20250107,000000,10.01,10.06,10,10.02,41765,0
RANGU.US,D,20250108,000000,10.04,10.04,10.01,10.02,13230,0
RANGU.US,D,20250110,000000,10.52,10.52,10.0266,10.076,1206,0
