<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDAC.US,D,20241203,000000,10,10,9.9999,10,119339,0
RDAC.US,D,20241204,000000,9.99,9.99,9.99,9.99,117528,0
RDAC.US,D,20241205,000000,10,10,10,10,7035,0
RDAC.US,D,20241206,000000,10,10,9.99,9.99,304777,0
RDAC.US,D,20241209,000000,10,10,9.99,9.99,9650,0
RDAC.US,D,20241210,000000,10,10,10,10,45002,0
RDAC.US,D,20241211,000000,10.01,10.01,10,10,47144,0
RDAC.US,D,20241212,000000,10.01,10.01,10.0073,10.01,11236,0
RDAC.US,D,20241213,000000,10.01,10.01,10,10.01,17511,0
RDAC.US,D,20241216,000000,10.02,10.02,10.01,10.01,3895,0
RDAC.US,D,20241219,000000,10.01,10.01,10.01,10.01,9400,0
RDAC.US,D,20241220,000000,10,10,10,10,9424,0
RDAC.US,D,20241224,000000,10,10.03,10,10.03,126629,0
RDAC.US,D,20241226,000000,10.01,10.01,10.01,10.01,74801,0
RDAC.US,D,20241227,000000,10.01,10.03,10.01,10.03,45474,0
RDAC.US,D,20241230,000000,10.02,10.02,10.02,10.02,6575,0
RDAC.US,D,20241231,000000,10.06,10.06,10.02,10.02,10908,0
RDAC.US,D,20250102,000000,10.01,10.03,10.01,10.03,241630,0
RDAC.US,D,20250103,000000,10.03,10.03,10.025,10.025,310402,0
RDAC.US,D,20250107,000000,10.02,10.02,10.02,10.02,17542,0
RDAC.US,D,20250110,000000,10.03,10.03,10.03,10.03,22001,0
