<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMSGW.US,D,20241121,000000,0.0501,0.055,0.027,0.0462,67797,0
RMSGW.US,D,20241122,000000,0.0401,0.0825,0.0401,0.056,293703,0
RMSGW.US,D,20241125,000000,0.0505,0.0949,0.05,0.0632,34808,0
RMSGW.US,D,20241126,000000,0.09,0.09,0.05,0.0502,22125,0
RMSGW.US,D,20241202,000000,0.0525,0.0525,0.0525,0.0525,358,0
RMSGW.US,D,20241209,000000,0.0525,0.0525,0.0351,0.045,62750,0
RMSGW.US,D,20241210,000000,0.0495,0.0495,0.035,0.0396,21206,0
RMSGW.US,D,20241211,000000,0.04,0.06,0.035,0.0376,72009,0
RMSGW.US,D,20241212,000000,0.043901,0.06,0.0356,0.0357,125913,0
RMSGW.US,D,20241213,000000,0.05,0.05,0.038704,0.049799,8296,0
RMSGW.US,D,20241216,000000,0.0497,0.0497,0.035,0.0355,39216,0
RMSGW.US,D,20241217,000000,0.0495,0.0495,0.035,0.0486,12450,0
RMSGW.US,D,20241218,000000,0.0472,0.0472,0.03,0.0315,19469,0
RMSGW.US,D,20241219,000000,0.0443,0.0447,0.035,0.0445,9078,0
RMSGW.US,D,20241220,000000,0.0689,0.0689,0.04,0.042,9011,0
RMSGW.US,D,20241223,000000,0.04,0.0438,0.0361,0.0361,34741,0
RMSGW.US,D,20241226,000000,0.05,0.05,0.035,0.035,7972,0
RMSGW.US,D,20241227,000000,0.035,0.055,0.035,0.035,87399,0
RMSGW.US,D,20241230,000000,0.0355,0.1,0.0355,0.054,88874,0
RMSGW.US,D,20241231,000000,0.0534,0.0539,0.038,0.038,4798,0
RMSGW.US,D,20250102,000000,0.0513,0.0518,0.046,0.050701,29445,0
RMSGW.US,D,20250103,000000,0.0503,0.0508,0.0402,0.0507,9292,0
RMSGW.US,D,20250106,000000,0.0489,0.049,0.0489,0.049,415,0
RMSGW.US,D,20250107,000000,0.0477,0.0478,0.0477,0.0478,405,0
RMSGW.US,D,20250108,000000,0.04789,0.04789,0.04789,0.04789,212,0
