<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SARK.US,D,20211110,000000,66.5916,68.1681,65.3775,67.4079,34547.989061228676,0
SARK.US,D,20211111,000000,66.7836,67.2735,66.2211,67.1754,12933.198089922134,0
SARK.US,D,20211112,000000,66.9753,67.5078,66.4641,66.7932,27762.414004431255,0
SARK.US,D,20211115,000000,67.2948,67.4226,66.102,66.8901,29700.68030740732,0
SARK.US,D,20211116,000000,68.2749,68.2749,66.0591,66.2295,35412.67458558732,0
SARK.US,D,20211117,000000,66.3576,67.5717,66.3576,67.2948,12618.212212156122,0
SARK.US,D,20211118,000000,67.1031,69.276,66.8472,68.7861,39606.070779457266,0
SARK.US,D,20211119,000000,68.5941,69.4251,68.0193,69.3039,52591.84475359483,0
SARK.US,D,20211122,000000,69.1266,72.663,69.084,71.8302,120534.90884357509,0
SARK.US,D,20211123,000000,72.45,76.0287,72.0024,73.9197,524977.2453229894,0
SARK.US,D,20211124,000000,74.6868,75.3045,72.1944,72.4713,379392.7442150739,0
SARK.US,D,20211126,000000,72.5139,73.2804,70.8309,72.5352,283437.06124309293,0
SARK.US,D,20211129,000000,71.4273,74.2608,71.1078,72.9399,206103.09926233024,0
SARK.US,D,20211130,000000,73.3872,74.985,71.4273,73.659,224382.60757860407,0
SARK.US,D,20211201,000000,72.4287,78.6915,72.3648,78.6915,377346.5095784535,0
SARK.US,D,20211202,000000,78.9897,80.4597,76.5186,78.4572,495117.89850784885,0
SARK.US,D,20211203,000000,78.8832,84.3153,78.6279,82.5474,826201.385395332,0
SARK.US,D,20211206,000000,83.9322,86.8503,81.1839,81.2478,469645.82145962084,0
SARK.US,D,20211207,000000,78.6915,78.6915,75.7305,76.6254,460395.75183013757,0
SARK.US,D,20211208,000000,76.0713,78.2016,73.8132,74.3673,252435.5972288411,0
SARK.US,D,20211209,000000,74.8359,78.5211,74.1756,78.4146,540247.7231228523,0
SARK.US,D,20211210,000000,77.2857,80.0976,75.9009,79.3518,563014.4892715855,0
SARK.US,D,20211213,000000,80.0763,82.5897,78.8619,80.8857,505407.75013322564,0
SARK.US,D,20211214,000000,83.0373,83.4636,80.2254,81.759,437421.49870977853,0
SARK.US,D,20211215,000000,82.0149,84.8265,79.5651,79.9059,710217.5765293157,0
SARK.US,D,20211216,000000,78.8193,83.9748,78.4785,83.0586,616672.4039631943,0
SARK.US,D,20211217,000000,84.1875,85.0611,77.8821,78.0525,613293.9339747061,0
SARK.US,D,20211220,000000,79.8846,81.2265,78.7128,80.0976,260171.29362185535,0
SARK.US,D,20211221,000000,78.6915,80.3106,76.902,76.9446,255507.06160771626,0
SARK.US,D,20211222,000000,77.4561,78.2865,75.837,77.2431,96476.74753877659,0
SARK.US,D,20211223,000000,76.9233,78.7341,75.9009,76.476,103810.61395955605,0
SARK.US,D,20211227,000000,76.6467,77.8818,76.3695,77.733,72544.86224160514,0
SARK.US,D,20211228,000000,77.9673,79.2669,76.3482,79.2456,200999.48307295053,0
SARK.US,D,20211229,000000,79.3518,81.0987,78.9471,80.0124,233083.4469890299,0
SARK.US,D,20211230,000000,80.7366,80.7366,76.2207,78.3507,168708.50161276484,0
SARK.US,D,20211231,000000,77.8821,79.3518,76.6893,79.1178,109526.36365803365,0
SARK.US,D,20220103,000000,77.8182,80.1075,76.902,76.9446,126642.16110846116,0
SARK.US,D,20220104,000000,76.7532,82.2705,76.7532,80.2041,318493.90975513944,0
SARK.US,D,20220105,000000,81.12,86.4033,80.0763,86.19,703025.007797375,0
SARK.US,D,20220106,000000,86.7012,89.6835,84.5286,86.7864,872179.9349984201,0
SARK.US,D,20220107,000000,86.8077,88.3629,83.5062,87.7452,426501.20590133214,0
SARK.US,D,20220110,000000,89.4921,92.2185,87.3405,87.6387,840424.1009311759,0
SARK.US,D,20220111,000000,88.1712,88.8189,84.4008,85.1037,398519.5692367804,0
SARK.US,D,20220112,000000,83.7189,87.7452,82.4409,87.4896,430872.98455949366,0
SARK.US,D,20220113,000000,86.5524,92.2185,86.5524,92.112,828143.8765461561,0
SARK.US,D,20220114,000000,92.7726,94.9881,90.3441,91.7073,942499.2412840341,0
SARK.US,D,20220118,000000,93.7314,95.6271,91.1961,95.4993,861767.5627857324,0
SARK.US,D,20220119,000000,94.7751,97.0968,92.1759,96.969,811229.9329369034,0
SARK.US,D,20220120,000000,95.0484,97.1397,90.2586,96.8202,992769.7668639303,0
SARK.US,D,20220121,000000,98.3952,102.061,96.0384,101.933,1367662.1092755047,0
SARK.US,D,20220124,000000,106.449,111.476,99.0783,99.4827,3362809.4164165244,0
SARK.US,D,20220125,000000,102.08,105.192,98.1621,102.742,1731290.5379210429,0
SARK.US,D,20220126,000000,99.1422,106.193,96.9264,105.405,1360791.0984068424,0
SARK.US,D,20220127,000000,102.785,110.028,102.785,109.367,1223761.444745172,0
SARK.US,D,20220128,000000,110.006,113.01,104.191,105.149,2199905.9659355273,0
SARK.US,D,20220131,000000,103.424,103.616,95.1798,95.3289,1615933.4148178333,0
SARK.US,D,20220201,000000,93.3051,97.9917,92.6661,93.1773,1450823.54470871,0
SARK.US,D,20220202,000000,92.5383,99.4188,92.3061,97.9491,1832294.914060505,0
SARK.US,D,20220203,000000,101.996,103.626,99.3336,103.403,1876503.7218466965,0
SARK.US,D,20220204,000000,102.379,104.617,96.4152,97.9065,1650404.8871904286,0
SARK.US,D,20220207,000000,97.6935,99.0555,93.7527,98.1195,1012644.8593806885,0
SARK.US,D,20220208,000000,98.9928,100.802,97.5867,98.0769,999820.0990519798,0
SARK.US,D,20220209,000000,96.33,96.5643,93.0069,93.0069,1386909.5771744237,0
SARK.US,D,20220210,000000,95.3886,96.8202,90.4293,95.7762,2436665.0305444016,0
SARK.US,D,20220211,000000,95.4141,99.696,92.7666,98.3538,1651063.4940257366,0
SARK.US,D,20220214,000000,98.5455,100.165,95.2653,99.0567,1181680.0825596533,0
SARK.US,D,20220215,000000,96.4578,97.8624,93.4968,93.7314,1242297.2604970026,0
SARK.US,D,20220216,000000,95.3715,98.0982,95.3715,96.543,957921.344178612,0
SARK.US,D,20220217,000000,98.3112,103.445,97.8852,102.977,1564079.5101533872,0
SARK.US,D,20220218,000000,104.532,109.154,103.575,107.77,2394978.9263455877,0
SARK.US,D,20220222,000000,110.084,111.282,105.38,110.113,1908417.283566583,0
SARK.US,D,20220223,000000,108.622,114.501,107.684,114.288,1413960.808459306,0
SARK.US,D,20220224,000000,120.732,120.732,104.979,105.554,2673768.6549659315,0
SARK.US,D,20220225,000000,104.138,108.26,102.188,102.252,1356530.1046475365,0
SARK.US,D,20220228,000000,101.826,102.636,96.6285,97.9065,1271775.4321515579,0
SARK.US,D,20220301,000000,98.2473,102.018,96.8628,101.102,1514495.7570611043,0
