<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMCL.US,D,20241216,000000,16.34,20.57,16.3,18.53,78715,0
SMCL.US,D,20241217,000000,18.56,20.485,18.55,18.7766,56658,0
SMCL.US,D,20241218,000000,19.23,19.56,16.97,17.1925,65520,0
SMCL.US,D,20241219,000000,18.37,18.37,15.7091,16.0314,41201,0
SMCL.US,D,20241220,000000,15.42,17.9195,15.42,16.3161,38104,0
SMCL.US,D,20241223,000000,16.71,17.25,16.36,17.11,50065,0
SMCL.US,D,20241224,000000,17,20.253,16.9491,19.13,57213,0
SMCL.US,D,20241226,000000,20.01,20.2,18.4437,18.4437,58949,0
SMCL.US,D,20241227,000000,17.87,17.87,16.1,16.3688,52442,0
SMCL.US,D,20241230,000000,15.5,15.87,14.649,15.12,27590,0
SMCL.US,D,20241231,000000,15.21,15.61,14.42,14.8406,33449,0
SMCL.US,D,20250102,000000,15.5499,15.6056,14.29,14.3744,42759,0
SMCL.US,D,20250103,000000,14.66,17.55,14.64,17.4712,86860,0
SMCL.US,D,20250106,000000,19.27,22.87,19.18,20.74,172131,0
SMCL.US,D,20250107,000000,20.53,20.64,18,18.31,88994,0
SMCL.US,D,20250108,000000,17.93,17.93,15.76,16.3749,84693,0
SMCL.US,D,20250110,000000,16.22,17.719,15.85,16.31,70310,0
