<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMX.US,D,20230309,000000,7095,7854,6270,6682.5,648.75211310272,0
SMX.US,D,20230310,000000,6732,7854,6616.5,6715.5,294.83575389031,0
SMX.US,D,20230313,000000,6402,6484.5,4537.5,4900.5,153.57575565606,0
SMX.US,D,20230314,000000,5379,6583.5,5214,5890.5,381.06544978214,0
SMX.US,D,20230315,000000,5577,5708.51,4554.17,4620,125.63454388411,0
SMX.US,D,20230316,000000,4587,4587,2821.5,2904,384.94302549124,0
SMX.US,D,20230317,000000,2805,2879.42,2326.5,2532.09,274.45272384207,0
SMX.US,D,20230320,000000,2607,2607,2227.5,2260.5,153.21817990295,0
SMX.US,D,20230321,000000,2178,2325.02,2062.5,2062.5,83.01212017447,0
SMX.US,D,20230322,000000,2062.5,2112,1567.5,1567.5,272.37878447405,0
SMX.US,D,20230323,000000,2475,2475,1930.5,2128.5,14545.590727271,0
SMX.US,D,20230324,000000,1897.5,2145,1666.5,1980,833.81998957725,0
SMX.US,D,20230327,000000,1831.5,1963.5,1699.5,1914,290.06848122263,0
SMX.US,D,20230328,000000,1864.5,1881,1617,1627.89,220.39454269961,0
SMX.US,D,20230329,000000,1650,1831.5,1600.5,1724.25,202.62545201264,0
SMX.US,D,20230330,000000,1701.81,1718.97,1567.5,1567.5,204.24423987119,0
SMX.US,D,20230331,000000,1587.3,1617,1505.13,1551,132.9999983375,0
SMX.US,D,20230403,000000,1530.05,1534.34,1387.65,1419.17,161.10302828924,0
SMX.US,D,20230404,000000,1402.5,1424.12,1274.63,1345.74,113.50424100544,0
SMX.US,D,20230405,000000,1336.5,1402.5,1240.14,1278.75,94.84787760228,0
SMX.US,D,20230406,000000,1270.5,1400.85,1204.5,1385.84,170.17757363036,0
SMX.US,D,20230410,000000,1353,2656.5,1320,2623.5,4425.9853992206,0
SMX.US,D,20230411,000000,2062.5,2475,1848,2409,1189.0175608949,0
SMX.US,D,20230412,000000,2145,2920.5,1996.5,2722.5,2155.9248215358,0
SMX.US,D,20230413,000000,2821.5,3844.5,2557.5,3729,1609.5442223049,0
SMX.US,D,20230414,000000,3778.5,5610,3003,3465,3071.5223858484,0
SMX.US,D,20230417,000000,3234,3630,2805,3564,495.3993877469,0
SMX.US,D,20230418,000000,3465,4422,3316.67,4017.75,640.15029502842,0
SMX.US,D,20230419,000000,4026,4026,2557.5,2640,1119.4605920673,0
SMX.US,D,20230420,000000,2508,2788.5,2062.5,2211,470.5193880579,0
