<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAX.US,D,20241219,000000,24.45,24.52,24.3695,24.3695,30623,0
TAX.US,D,20241220,000000,24.8,24.8,24.6251,24.6251,804,0
TAX.US,D,20241223,000000,24.83,24.83,24.61,24.7689,425,0
TAX.US,D,20241224,000000,24.9088,24.9619,24.9088,24.9619,18653,0
TAX.US,D,20241226,000000,25.01,25.02,24.9924,24.9924,2354,0
TAX.US,D,20241227,000000,24.87,24.87,24.67,24.7427,8825,0
TAX.US,D,20241230,000000,24.58,24.58,24.5299,24.5299,168976,0
TAX.US,D,20241231,000000,24.48,24.48,24.41,24.4177,166542,0
TAX.US,D,20250102,000000,24.42,24.4544,24.42,24.4544,440,0
TAX.US,D,20250103,000000,24.65,24.7207,24.65,24.7207,246,0
TAX.US,D,20250106,000000,24.9101,24.9401,24.8496,24.8496,17785,0
TAX.US,D,20250107,000000,24.6851,24.6851,24.5917,24.5917,155,0
TAX.US,D,20250108,000000,24.54,24.62,24.54,24.62,812,0
TAX.US,D,20250110,000000,24.3,24.3001,24.28,24.28,771,0
