<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TCBP.US,D,20220214,000000,20320,23680,16240,16240,2208.321875,0
TCBP.US,D,20220215,000000,16000,16320,13280,13840,190.37624999999997,0
TCBP.US,D,20220216,000000,13600,13840,12800,13440,65.429375,0
TCBP.US,D,20220217,000000,13301.6,13360,11600,11600,89.738,0
TCBP.US,D,20220218,000000,11920,13199.2,11360,11440,103.507625,0
TCBP.US,D,20220222,000000,10800,11199.2,9440,9680,72.46425,0
TCBP.US,D,20220223,000000,9440,10000,8880,9200,43.490375,0
TCBP.US,D,20220224,000000,8240,8640,7040,8320,70.050875,0
TCBP.US,D,20220225,000000,8560,8560,7840,8080,18.82525,0
TCBP.US,D,20220228,000000,7836.8,8160,7682.4,7959.2,21.063375,0
TCBP.US,D,20220301,000000,7880,8160,7600,7960,19.864250000000002,0
TCBP.US,D,20220302,000000,8400,10000,8400,9210.4,61.908500000000004,0
TCBP.US,D,20220303,000000,9120,9600,8400,8478.4,26.112125000000002,0
TCBP.US,D,20220304,000000,8160,8590.4,8160,8304,7.857875,0
TCBP.US,D,20220307,000000,8320,8473.6,7200,7530.4,38.973875,0
TCBP.US,D,20220308,000000,8160,9200,7600,7720.8,83.62674999999999,0
TCBP.US,D,20220309,000000,9280,11440,8480,11040,2018.248625,0
TCBP.US,D,20220310,000000,9040,9280,8320,8640,110.68175,0
TCBP.US,D,20220311,000000,8240,8560,7280.8,7840,58.81462499999999,0
TCBP.US,D,20220314,000000,7200,7520,7120,7200.8,29.739749999999997,0
TCBP.US,D,20220315,000000,7680,7680,7064,7360,12.63325,0
TCBP.US,D,20220316,000000,8320,8320,7360.8,7999.2,36.61225,0
TCBP.US,D,20220317,000000,9520,13040,9200,11600,2806.691375,0
TCBP.US,D,20220318,000000,10400,11440,9600,10240,264.961,0
TCBP.US,D,20220321,000000,9760,10240,8480,8560,117.01825,0
TCBP.US,D,20220322,000000,8480,9760,8480,9599.2,60.474875,0
TCBP.US,D,20220323,000000,9200,11200,9200,10640,146.131375,0
TCBP.US,D,20220324,000000,10640,10800,9920,10320,51.720499999999994,0
TCBP.US,D,20220325,000000,10160,10640,9437.6,9600,68.54887500000001,0
TCBP.US,D,20220328,000000,10720,14400,10240,12240,807.156875,0
TCBP.US,D,20220329,000000,12800,17040,12000,13280,1200.5362499999999,0
TCBP.US,D,20220330,000000,13280,13760,11760,12160,81.67325,0
TCBP.US,D,20220331,000000,12480,12720,11200,11440,30.789624999999997,0
TCBP.US,D,20220401,000000,11200,11880,10400,10880,28.4005,0
TCBP.US,D,20220404,000000,10960,11814.4,10720,11360,32.4695,0
TCBP.US,D,20220405,000000,11840,12880,11200,12400,53.703624999999995,0
TCBP.US,D,20220406,000000,13680,14080,11600,13360,221.9275,0
TCBP.US,D,20220407,000000,12720,13040,11376,11920,65.068125,0
TCBP.US,D,20220408,000000,11600,12720,11440,11520,41.79537500000001,0
TCBP.US,D,20220411,000000,11360,12240,9772.8,10560,45.948125,0
TCBP.US,D,20220412,000000,10560,11040,9280,9440,30.6795,0
TCBP.US,D,20220413,000000,9680,10000,9520,9760,11.715,0
TCBP.US,D,20220414,000000,9760,9840,8880,9520,11.23375,0
TCBP.US,D,20220418,000000,9600,9920,9200.8,9760,11.758125,0
