<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGAAF.US,D,20241017,000000,11.26,11.26,11.26,11.26,10151,0
TGAAF.US,D,20241018,000000,11.26,11.26,11.26,11.26,65000,0
TGAAF.US,D,20241028,000000,11.26,11.26,11.26,11.26,305,0
TGAAF.US,D,20241104,000000,11.27,11.27,11.27,11.27,235,0
TGAAF.US,D,20241111,000000,11.27,11.27,11.27,11.27,152424,0
TGAAF.US,D,20241112,000000,11.33,11.33,11.33,11.33,1235,0
TGAAF.US,D,20241121,000000,11.32,11.32,11.32,11.32,201,0
TGAAF.US,D,20241122,000000,11.34,11.35,11.34,11.35,226,0
TGAAF.US,D,20241202,000000,11.31,11.31,11.31,11.31,2115,0
TGAAF.US,D,20241203,000000,11.37,11.37,11.35,11.35,3799,0
TGAAF.US,D,20241204,000000,11.38,11.38,11.33,11.34,2640,0
TGAAF.US,D,20241205,000000,11.37,11.38,11.32,11.35,109851,0
TGAAF.US,D,20241206,000000,11.35,11.355,11.35,11.35,164373,0
TGAAF.US,D,20241209,000000,11.35,11.36,11.35,11.36,8878,0
TGAAF.US,D,20241216,000000,11.38,11.38,11.37,11.37,16623,0
