<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLTM.US,D,20241003,000000,24.58,24.58,24.4501,24.479,984,0
TLTM.US,D,20241004,000000,23.87,23.87,23.82,23.82,314,0
TLTM.US,D,20241007,000000,23.48,23.48,23.4359,23.4359,201,0
TLTM.US,D,20241008,000000,23.3,23.4628,23.3,23.4628,1274,0
TLTM.US,D,20241009,000000,23.26,23.26,23.2288,23.2288,141,0
TLTM.US,D,20241010,000000,23.06,23.06,22.92,23.0008,1119,0
TLTM.US,D,20241011,000000,22.82,22.8795,22.82,22.8795,891,0
TLTM.US,D,20241014,000000,22.549,22.8248,22.549,22.8248,705,0
TLTM.US,D,20241015,000000,23.35,23.45,23.35,23.45,238,0
TLTM.US,D,20241016,000000,23.52,23.565,23.52,23.565,201,0
TLTM.US,D,20241017,000000,22.95,22.95,22.855,22.855,641,0
TLTM.US,D,20241018,000000,22.915,22.915,22.915,22.915,93,0
TLTM.US,D,20241021,000000,22.4,22.4,22.07,22.07,210,0
TLTM.US,D,20241022,000000,22.095,22.095,22.095,22.095,20,0
TLTM.US,D,20241023,000000,21.9477,21.9477,21.9477,21.9477,4,0
TLTM.US,D,20241024,000000,22.2575,22.2575,22.2575,22.2575,1,0
TLTM.US,D,20241025,000000,22.14,22.1477,21.83,21.96,7902,0
TLTM.US,D,20241028,000000,21.84,21.84,21.84,21.84,107,0
TLTM.US,D,20241029,000000,21.6,21.8785,21.6,21.8785,563,0
TLTM.US,D,20241030,000000,22.0429,22.0429,22.0429,22.0429,186,0
TLTM.US,D,20241031,000000,22,22.28,22,22.1024,1583,0
TLTM.US,D,20241101,000000,22.03,22.21,21.5423,21.56,4594,0
TLTM.US,D,20241104,000000,22.18,22.18,22.142,22.142,117,0
TLTM.US,D,20241105,000000,22.06,22.37,21.97,22.3386,1213,0
TLTM.US,D,20241106,000000,20.92,21.18,20.91,21.11,730,0
TLTM.US,D,20241107,000000,21.51,21.68,21.51,21.6587,269,0
TLTM.US,D,20241108,000000,21.98,22.22,21.98,22.17,1315,0
TLTM.US,D,20241111,000000,21.95,22.04,21.95,22.0088,3696,0
TLTM.US,D,20241114,000000,21.21,21.345,21.1464,21.1464,801,0
TLTM.US,D,20241118,000000,20.75,21.21,20.75,21.0713,3300,0
TLTM.US,D,20241119,000000,21.63,21.63,21.3031,21.3031,3055,0
TLTM.US,D,20241120,000000,21.44,21.44,21.12,21.1445,1309,0
TLTM.US,D,20241122,000000,21.21,21.21,21.1225,21.1225,314,0
TLTM.US,D,20241125,000000,22,22.22,22,22.2151,1550,0
TLTM.US,D,20241126,000000,22,22.0593,21.96,22.0593,1185,0
TLTM.US,D,20241127,000000,22.42,22.451,22.3074,22.3074,1563,0
TLTM.US,D,20241129,000000,22.675,22.746,22.6,22.746,215,0
TLTM.US,D,20241202,000000,23.07,23.07,22.13,22.883,24601,0
TLTM.US,D,20241203,000000,22.688,22.688,22.5135,22.5135,260,0
TLTM.US,D,20241204,000000,22.51,22.9863,22.51,22.9863,213,0
TLTM.US,D,20241206,000000,23.051,23.1321,23.051,23.1321,1335,0
TLTM.US,D,20241209,000000,22.97,22.97,22.7122,22.7122,1063,0
TLTM.US,D,20241210,000000,22.53,22.53,22.4636,22.4636,140,0
TLTM.US,D,20241211,000000,22.01,22.032,22.01,22.032,558,0
TLTM.US,D,20241212,000000,21.78,21.78,21.4694,21.4694,419,0
TLTM.US,D,20241216,000000,21.12,21.12,21.12,21.12,222,0
TLTM.US,D,20241217,000000,21.25,21.295,21.25,21.2573,930,0
TLTM.US,D,20241218,000000,21.1,21.1,20.7195,20.7195,12694,0
TLTM.US,D,20241219,000000,19.9806,20.1128,19.9806,20.1128,5021,0
TLTM.US,D,20241220,000000,20.2885,20.2885,20.2744,20.2744,250,0
TLTM.US,D,20241223,000000,20.27,20.27,19.85,19.8882,395,0
TLTM.US,D,20241224,000000,19.69,20.0247,19.69,20.0247,260,0
TLTM.US,D,20241226,000000,19.63,19.9925,19.63,19.9925,12834,0
TLTM.US,D,20241227,000000,19.8,19.89,19.6197,19.6197,498,0
TLTM.US,D,20241230,000000,19.99,20.0799,19.92,19.978,3827,0
TLTM.US,D,20241231,000000,19.84,19.84,19.7344,19.7344,4269,0
TLTM.US,D,20250103,000000,19.71,19.72,19.69,19.6931,2537,0
TLTM.US,D,20250106,000000,19.565,19.565,19.5,19.5264,1022,0
TLTM.US,D,20250107,000000,19.2,19.2,19.05,19.0672,1901,0
TLTM.US,D,20250108,000000,18.84,19.22,18.84,19.1222,8038,0
TLTM.US,D,20250110,000000,18.71,18.97,18.71,18.85,7255,0
