<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLX.US,D,20241115,000000,14.9,15.9,14.85,14.85,40166,0
TLX.US,D,20241118,000000,15.4211,15.89,14.75,14.8807,20131,0
TLX.US,D,20241119,000000,15.54,16,15.1,15.3,23118,0
TLX.US,D,20241120,000000,15.3,15.6,15,15,10446,0
TLX.US,D,20241121,000000,14.8,14.8,14.4399,14.768,12180,0
TLX.US,D,20241122,000000,15,15.06,14.61,14.7,34166,0
TLX.US,D,20241125,000000,15.14,15.45,14.9,15.15,28899,0
TLX.US,D,20241126,000000,15.33,15.61,15.11,15.35,14781,0
TLX.US,D,20241127,000000,15.62,15.62,15.4,15.42,9483,0
TLX.US,D,20241129,000000,15.7,16.55,15.7,16.4931,16342,0
TLX.US,D,20241202,000000,17.7,17.9,16.1,16.19,59573,0
TLX.US,D,20241203,000000,16.9,16.9,16.19,16.19,20239,0
TLX.US,D,20241204,000000,16.42,17.2,16.25,16.35,39139,0
TLX.US,D,20241205,000000,16.3,16.3,16,16,18497,0
TLX.US,D,20241206,000000,16.34,17.15,16.01,16.7,13937,0
TLX.US,D,20241209,000000,16.4,17.3556,16.14,16.37,11845,0
TLX.US,D,20241210,000000,16,16.66,15.51,16.3,14039,0
TLX.US,D,20241211,000000,16,17.3,15.7,15.77,11862,0
TLX.US,D,20241212,000000,15.6,16.8,15.5,15.6,8592,0
TLX.US,D,20241213,000000,15.68,16.5,15.68,15.76,7303,0
TLX.US,D,20241216,000000,16.6752,16.6752,15.62,15.82,1933,0
TLX.US,D,20241217,000000,16.6,16.6,15.89,16,14479,0
TLX.US,D,20241218,000000,16,17.96,15.8583,16.01,10613,0
TLX.US,D,20241219,000000,16.45,16.7,16.3,16.34,7962,0
TLX.US,D,20241220,000000,16,17.57,15.6,15.82,10463,0
TLX.US,D,20241223,000000,15.8,17.2931,15.4,15.4,7467,0
TLX.US,D,20241224,000000,14.5645,16.314,14.5645,15.88,1096,0
TLX.US,D,20241226,000000,16,16.46,15.95,16.46,1377,0
TLX.US,D,20241227,000000,16.4,16.4,15.365,15.6,3847,0
TLX.US,D,20241230,000000,16.38,16.38,15.7,16.0999,14078,0
TLX.US,D,20241231,000000,15.8,16.0523,15.4,15.4,2138,0
TLX.US,D,20250102,000000,15.53,15.53,14.44,15,5325,0
TLX.US,D,20250103,000000,14.89,15.5,14.89,14.93,3749,0
TLX.US,D,20250106,000000,15.6749,16.0497,15.4135,15.61,7586,0
TLX.US,D,20250107,000000,15.8123,15.99,15.45,15.45,3848,0
TLX.US,D,20250108,000000,15.45,15.57,15.34,15.35,8403,0
TLX.US,D,20250110,000000,15.25,15.3438,14.63,14.63,11191,0
