<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNMG.US,D,20241209,000000,14.8,20.69,11,15.56,112010,0
TNMG.US,D,20241210,000000,18.27,20.52,11.3701,12.8,169252,0
TNMG.US,D,20241211,000000,13.5,14.59,12,13.16,55488,0
TNMG.US,D,20241212,000000,12.7,12.99,9.5,11.22,32548,0
TNMG.US,D,20241213,000000,11.5,11.5,8.75,9.56,22308,0
TNMG.US,D,20241216,000000,10.8,10.8,8.5,10,25480,0
TNMG.US,D,20241217,000000,9.02,9.02,5.5483,8,50893,0
TNMG.US,D,20241218,000000,7.55,7.89,5.55,7.05,22022,0
TNMG.US,D,20241219,000000,6.53,10.5,6.05,6.59,55765,0
TNMG.US,D,20241220,000000,6.5292,6.58,5.6116,6.18,18184,0
TNMG.US,D,20241223,000000,6.1635,7.5531,6.1635,6.3,10376,0
TNMG.US,D,20241224,000000,6.8671,6.99,6.85,6.85,1608,0
TNMG.US,D,20241226,000000,6.89,8.35,6.71,7.75,45805,0
TNMG.US,D,20241227,000000,7.7,9.0601,7,7.59,14838,0
TNMG.US,D,20241230,000000,7.36,11.1753,7.25,9.85,165514,0
TNMG.US,D,20241231,000000,8.56,9.69,7.93,7.93,80483,0
TNMG.US,D,20250102,000000,8.79,8.79,7,7.3916,60258,0
TNMG.US,D,20250103,000000,7.3,7.3,6.4,6.4726,15407,0
TNMG.US,D,20250106,000000,6.47,6.47,5.25,6.075,46085,0
TNMG.US,D,20250107,000000,6.2,6.5,5.511,6.3,57891,0
TNMG.US,D,20250108,000000,6.08,6.1,5.2723,5.39,48520,0
TNMG.US,D,20250110,000000,5.6,5.6,4.43,4.43,17321,0
