<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNXP.US,D,20120203,000000,262400000,262400000,262400000,262400000,0,0
TNXP.US,D,20120208,000000,263680000,263680000,263680000,263680000,0,0
TNXP.US,D,20120215,000000,256000000,256000000,256000000,256000000,0,0
TNXP.US,D,20120305,000000,256000000,256000000,256000000,256000000,0,0
TNXP.US,D,20120326,000000,256000000,256000000,256000000,256000000,0,0
TNXP.US,D,20120412,000000,198400000,256000000,198400000,256000000,0,0
TNXP.US,D,20120424,000000,129280000,192000000,126720000,153600000,0.00015625,0
TNXP.US,D,20120426,000000,153600000,153600000,153600000,153600000,0,0
TNXP.US,D,20120430,000000,172800000,204800000,172800000,204800000,0.00015625,0
TNXP.US,D,20120501,000000,198400000,198400000,198400000,198400000,0,0
TNXP.US,D,20120507,000000,195840000,195840000,192000000,192000000,0.00015625,0
TNXP.US,D,20120516,000000,168960000,168960000,168960000,168960000,0,0
TNXP.US,D,20120517,000000,125120000,139520000,125120000,129280000,0,0
TNXP.US,D,20120523,000000,128000000,134400000,128000000,128000000,0.00015625,0
TNXP.US,D,20120524,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120525,000000,108800000,121600000,108800000,121600000,0.00015625,0
TNXP.US,D,20120601,000000,107520000,107520000,107520000,107520000,0,0
TNXP.US,D,20120606,000000,108800000,108800000,108800000,108800000,0,0
TNXP.US,D,20120607,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120608,000000,134400000,134400000,121600000,121600000,0.00015625,0
TNXP.US,D,20120611,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120612,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120615,000000,121600000,121600000,121600000,121600000,0,0
TNXP.US,D,20120620,000000,106240000,106240000,106240000,106240000,0,0
TNXP.US,D,20120625,000000,128000000,130560000,128000000,130560000,0.00015625,0
TNXP.US,D,20120626,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120628,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120629,000000,128000000,128000000,128000000,128000000,0,0
TNXP.US,D,20120702,000000,126720000,126720000,126720000,126720000,0,0
TNXP.US,D,20120705,000000,126720000,126720000,126720000,126720000,0,0
TNXP.US,D,20120706,000000,126720000,126720000,126720000,126720000,0,0
TNXP.US,D,20120709,000000,128000000,128000000,128000000,128000000,0.00015625,0
TNXP.US,D,20120710,000000,128000000,128000000,126080000,126080000,0.00015625,0
TNXP.US,D,20120711,000000,126080000,126080000,126080000,126080000,0,0
TNXP.US,D,20120713,000000,125440000,125440000,125440000,125440000,0,0
TNXP.US,D,20120716,000000,125440000,128000000,125440000,125440000,0.000625,0
TNXP.US,D,20120717,000000,122880000,128000000,121600000,122880000,0.0009375,0
TNXP.US,D,20120718,000000,115200000,115200000,113920000,115200000,0.00015625,0
TNXP.US,D,20120719,000000,115200000,115200000,115200000,115200000,0,0
TNXP.US,D,20120723,000000,106240000,108800000,106240000,108800000,0.0003125,0
TNXP.US,D,20120724,000000,115200000,122880000,115200000,120320000,0.00046875,0
TNXP.US,D,20120725,000000,115200000,115200000,115200000,115200000,0,0
TNXP.US,D,20120726,000000,116480000,116480000,116480000,116480000,0.00015625,0
TNXP.US,D,20120810,000000,108800000,108800000,108800000,108800000,0,0
TNXP.US,D,20120813,000000,108800000,108800000,108800000,108800000,0,0
TNXP.US,D,20120814,000000,113920000,113920000,113920000,113920000,0,0
TNXP.US,D,20120816,000000,113920000,113920000,113920000,113920000,0,0
TNXP.US,D,20120817,000000,113920000,113920000,113920000,113920000,0,0
TNXP.US,D,20120820,000000,113920000,116480000,113920000,113920000,0.00015625,0
TNXP.US,D,20120823,000000,105856000,108800000,105856000,108800000,0,0
TNXP.US,D,20120828,000000,102400000,102400000,102400000,102400000,0,0
TNXP.US,D,20120830,000000,102400000,102400000,102400000,102400000,0,0
TNXP.US,D,20120907,000000,101120000,101120000,101120000,101120000,0,0
TNXP.US,D,20120913,000000,96000000,96000000,96000000,96000000,0,0
TNXP.US,D,20120914,000000,96000000,96000000,94720000,94720000,0,0
TNXP.US,D,20121003,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121008,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121009,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121017,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121024,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121025,000000,76800000,102400000,76800000,102400000,0.0003125,0
TNXP.US,D,20121026,000000,102400000,104960000,83200000,83200000,0.0003125,0
TNXP.US,D,20121031,000000,89600000,89600000,87040000,87040000,0,0
TNXP.US,D,20121101,000000,87040000,87040000,87040000,87040000,0,0
TNXP.US,D,20121105,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121108,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121109,000000,89600000,89600000,89600000,89600000,0,0
TNXP.US,D,20121112,000000,76800000,76800000,76800000,76800000,0,0
TNXP.US,D,20121113,000000,72960000,72960000,65280000,65280000,0,0
TNXP.US,D,20121114,000000,65280000,65280000,65280000,65280000,0,0
TNXP.US,D,20121115,000000,32000000,65280000,32000000,65280000,0,0
TNXP.US,D,20121116,000000,32128000,70400000,32128000,70400000,0.00015625,0
TNXP.US,D,20121119,000000,70400000,70400000,70400000,70400000,0,0
TNXP.US,D,20121120,000000,70400000,70400000,70400000,70400000,0,0
TNXP.US,D,20121121,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20121126,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20121127,000000,70400000,70400000,70400000,70400000,0.00015625,0
TNXP.US,D,20121130,000000,76800000,76800000,76800000,76800000,0,0
TNXP.US,D,20121205,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20121211,000000,74240000,74240000,62720000,64000000,0.00015625,0
TNXP.US,D,20121217,000000,58880000,58880000,58880000,58880000,0,0
TNXP.US,D,20121219,000000,58880000,58880000,58880000,58880000,0,0
TNXP.US,D,20121231,000000,58880000,70400000,58880000,70400000,0,0
TNXP.US,D,20130107,000000,57600000,57600000,56320000,56320000,0,0
TNXP.US,D,20130108,000000,64000000,93440000,64000000,70400000,0.00046875,0
TNXP.US,D,20130109,000000,76800000,76800000,76800000,76800000,0,0
TNXP.US,D,20130110,000000,83200000,83200000,83200000,83200000,0,0
TNXP.US,D,20130111,000000,83200000,83200000,76800000,76800000,0,0
TNXP.US,D,20130114,000000,76800000,83200000,70400000,83200000,0.00015625,0
TNXP.US,D,20130115,000000,70400000,70400000,70400000,70400000,0.00015625,0
TNXP.US,D,20130117,000000,83200000,83200000,70400000,70400000,0.00015625,0
TNXP.US,D,20130118,000000,70400000,70400000,70400000,70400000,0,0
TNXP.US,D,20130123,000000,64000000,66560000,64000000,64000000,0.00015625,0
TNXP.US,D,20130124,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20130128,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20130129,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20130130,000000,64000000,64000000,64000000,64000000,0,0
TNXP.US,D,20130204,000000,81920000,90880000,81920000,88320000,0.00015625,0
TNXP.US,D,20130207,000000,89600000,89600000,44800000,44800000,0,0
TNXP.US,D,20130208,000000,79360000,79360000,79360000,79360000,0.00015625,0
TNXP.US,D,20130211,000000,79360000,79360000,70400000,70400000,0,0
TNXP.US,D,20130212,000000,57600000,64000000,42240000,51200000,0.00046875,0
TNXP.US,D,20130213,000000,51200000,51200000,51200000,51200000,0,0
TNXP.US,D,20130214,000000,51200000,51200000,51200000,51200000,0,0
TNXP.US,D,20130215,000000,46080000,46080000,32000000,38400000,0.0025,0
TNXP.US,D,20130219,000000,40935616,40935616,40935616,40935616,0,0
TNXP.US,D,20130220,000000,35840000,38400000,30720000,30976000,0.00328125,0
TNXP.US,D,20130221,000000,32768000,32768000,30720000,30720000,0.0003125,0
TNXP.US,D,20130228,000000,40960000,40960000,40960000,40960000,0,0
TNXP.US,D,20130301,000000,46080000,53632000,46080000,53632000,0.00046875,0
TNXP.US,D,20130304,000000,55040000,55040000,40960000,40960000,0,0
TNXP.US,D,20130305,000000,40960000,49920000,40960000,49920000,0.00015625,0
TNXP.US,D,20130306,000000,37120000,49920000,37120000,49920000,0.00015625,0
TNXP.US,D,20130307,000000,40960000,49920000,40960000,49920000,0.00015625,0
TNXP.US,D,20130308,000000,48640000,48640000,42240000,42240000,0.00015625,0
TNXP.US,D,20130311,000000,38400000,38400000,38400000,38400000,0,0
TNXP.US,D,20130314,000000,39040000,41600000,35840000,38400000,0.00015625,0
TNXP.US,D,20130318,000000,38400000,38400000,38400000,38400000,0.00015625,0
TNXP.US,D,20130319,000000,46080000,46080000,46080000,46080000,0,0
TNXP.US,D,20130320,000000,38400000,38400000,34560000,38400000,0.0003125,0
TNXP.US,D,20130321,000000,44800000,44800000,44800000,44800000,0.00015625,0
TNXP.US,D,20130322,000000,46080000,46080000,38400000,38400000,0.00015625,0
TNXP.US,D,20130326,000000,39680000,39680000,35840000,35840000,0.00046875,0
TNXP.US,D,20130327,000000,38400000,38400000,37120000,37120000,0.00015625,0
TNXP.US,D,20130328,000000,38400000,46080000,38400000,46080000,0,0
TNXP.US,D,20130401,000000,44800000,44800000,44800000,44800000,0,0
TNXP.US,D,20130402,000000,44800000,44800000,42240000,42240000,0,0
TNXP.US,D,20130403,000000,46080000,46080000,42240000,42240000,0,0
TNXP.US,D,20130404,000000,46080000,49920000,42240000,49920000,0.0003125,0
TNXP.US,D,20130405,000000,47360000,47360000,47360000,47360000,0,0
TNXP.US,D,20130408,000000,47360000,47360000,44800000,47360000,0,0
TNXP.US,D,20130409,000000,47360000,47360000,44800000,44800000,0,0
TNXP.US,D,20130410,000000,42240000,42240000,42240000,42240000,0.00015625,0
TNXP.US,D,20130411,000000,38400000,47360000,38400000,47360000,0.0009375,0
TNXP.US,D,20130412,000000,47360000,47360000,47360000,47360000,0,0
TNXP.US,D,20130415,000000,47360000,47360000,38400000,38400000,0.00015625,0
TNXP.US,D,20130416,000000,46080000,46080000,44800000,44800000,0.00015625,0
TNXP.US,D,20130417,000000,44800000,44800000,44800000,44800000,0.00015625,0
TNXP.US,D,20130418,000000,38400000,44800000,38400000,44800000,0.00078125,0
TNXP.US,D,20130419,000000,38400000,38400000,38400000,38400000,0,0
TNXP.US,D,20130422,000000,38400000,38400000,38400000,38400000,0.00015625,0
TNXP.US,D,20130423,000000,38400000,38400000,38400000,38400000,0,0
TNXP.US,D,20130424,000000,44800000,44800000,44800000,44800000,0,0
TNXP.US,D,20130426,000000,44800000,44800000,44800000,44800000,0,0
TNXP.US,D,20130429,000000,44800000,46080000,43520000,46080000,0.00015625,0
TNXP.US,D,20130430,000000,46080000,46080000,46080000,46080000,0,0
TNXP.US,D,20130503,000000,48000000,48000000,48000000,48000000,0,0
TNXP.US,D,20130506,000000,49920000,96000000,49280000,64000000,0.00015625,0
