<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLG.US,D,20241216,000000,16.64,18.2215,16.3393,18.2215,162097,0
TSLG.US,D,20241217,000000,19.3,19.88,17.8781,19.604,289110,0
TSLG.US,D,20241218,000000,18.81,20.279,15.61,16.82,329495,0
TSLG.US,D,20241219,000000,17.18,17.5,14.88,16.04,277636,0
TSLG.US,D,20241220,000000,15.35,16.775,14.705,14.89,594503,0
TSLG.US,D,20241223,000000,15.61,15.78,14.51,15.62,101675,0
TSLG.US,D,20241224,000000,15.97,17.89,15.93,17.89,147629,0
TSLG.US,D,20241226,000000,18.04,18.04,16.98,17.22,137851,0
TSLG.US,D,20241227,000000,16.8,16.82,15.14,15.5,369987,0
TSLG.US,D,20241230,000000,14.6,15.17,14.36,14.51,145343,0
TSLG.US,D,20241231,000000,14.91,15.18,13.43,13.51,318814,0
TSLG.US,D,20250102,000000,12.62,12.64,11.4566,11.89,480328,0
TSLG.US,D,20250103,000000,11.97,13.8681,11.95,13.81,221512,0
TSLG.US,D,20250106,000000,14.589,14.81,13.24,13.82,173856,0
TSLG.US,D,20250107,000000,13.45,14,12.43,12.72,215622,0
TSLG.US,D,20250108,000000,12.58,13.1793,12.2781,12.72,210648,0
TSLG.US,D,20250110,000000,12.39,12.95,12.06,12.7,97694,0
