<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSYY.US,D,20241219,000000,24.63,24.75,23.65,24.0734,3663,0
TSYY.US,D,20241220,000000,23.7185,24.55,23.54,23.8696,3290,0
TSYY.US,D,20241223,000000,24.27,24.64,23.95,24.5658,25406,0
TSYY.US,D,20241224,000000,24.925,25.43,24.925,25.2903,8517,0
TSYY.US,D,20241226,000000,25.2,25.4116,25.2,25.315,3367,0
TSYY.US,D,20241227,000000,25.32,25.32,24.84,25.03,6201,0
TSYY.US,D,20241230,000000,24.72,25,24.5347,24.89,7881,0
TSYY.US,D,20241231,000000,24.85,24.91,24.17,24.17,2926,0
TSYY.US,D,20250102,000000,22.61,23.1157,21.5801,22.35,7998,0
TSYY.US,D,20250103,000000,22.565,25.4425,22.565,25.4425,4319,0
TSYY.US,D,20250106,000000,25.67,25.7643,25.44,25.58,5964,0
TSYY.US,D,20250107,000000,25.58,25.58,25.36,25.4179,1643,0
TSYY.US,D,20250108,000000,25.41,25.635,25.36,25.635,4231,0
TSYY.US,D,20250110,000000,25.64,25.87,25.53,25.7699,8472,0
