<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTAN.US,D,20241212,000000,101,105,100.05,101,5140900,0
TTAN.US,D,20241213,000000,98.99,102.54,94.02,100,1198598,0
TTAN.US,D,20241216,000000,100,108.7809,99.05,105.27,513526,0
TTAN.US,D,20241217,000000,104.8,112,104.03,108.25,498282,0
TTAN.US,D,20241218,000000,111.24,111.3,101.2069,106.2,1017751,0
TTAN.US,D,20241219,000000,107.17,108.7728,102,106.15,304665,0
TTAN.US,D,20241220,000000,106,108.85,102.64,103.56,373842,0
TTAN.US,D,20241223,000000,105,105,99.01,103.39,231565,0
TTAN.US,D,20241224,000000,102.8,103.56,100.7401,102.41,92329,0
TTAN.US,D,20241226,000000,103.72,106.8399,101.08,105.56,132065,0
TTAN.US,D,20241227,000000,107.33,108.39,102.5,108.39,207071,0
TTAN.US,D,20241230,000000,107.05,107.67,101.72,103.92,420670,0
TTAN.US,D,20241231,000000,104.29,105.69,100.84,102.87,347684,0
TTAN.US,D,20250102,000000,104.5,104.7062,99.76,101.5,336600,0
TTAN.US,D,20250103,000000,102.99,105.98,99.04,105.79,505583,0
TTAN.US,D,20250106,000000,108,108.15,99.36,101.65,546099,0
TTAN.US,D,20250107,000000,102.76,102.92,100.06,101,173302,0
TTAN.US,D,20250108,000000,100.01,101.76,99.33,99.8,433924,0
TTAN.US,D,20250110,000000,98.64,102.42,98.45,101.26,338855,0
