<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TTEQ.US,D,20241028,000000,26.65,26.65,25.3751,25.3751,20573,0
TTEQ.US,D,20241029,000000,25.4,25.75,25.39,25.675,8226,0
TTEQ.US,D,20241030,000000,25.59,25.63,25.4139,25.445,10278,0
TTEQ.US,D,20241031,000000,24.83,24.83,24.64,24.6554,3877,0
TTEQ.US,D,20241101,000000,24.9699,24.9699,24.86,24.8626,3823,0
TTEQ.US,D,20241104,000000,24.83,24.83,24.7731,24.78,642,0
TTEQ.US,D,20241105,000000,25.05,25.0522,25.05,25.0522,108,0
TTEQ.US,D,20241106,000000,25.36,25.62,25.36,25.576,9488,0
TTEQ.US,D,20241107,000000,25.8468,26.087,25.8468,26.087,4713,0
TTEQ.US,D,20241108,000000,25.99,25.99,25.9199,25.9704,3724,0
TTEQ.US,D,20241111,000000,25.97,25.9926,25.8833,25.9665,1954,0
TTEQ.US,D,20241112,000000,26.0918,26.11,26.06,26.1004,1600,0
TTEQ.US,D,20241113,000000,26.17,26.17,25.9475,25.9475,7994,0
TTEQ.US,D,20241114,000000,26.01,26.01,25.831,25.8441,3178,0
TTEQ.US,D,20241115,000000,25.49,25.49,25.1856,25.3109,7919,0
TTEQ.US,D,20241118,000000,25.25,25.5,25.25,25.4354,2113,0
TTEQ.US,D,20241119,000000,25.34,25.7343,25.34,25.7343,1570,0
TTEQ.US,D,20241120,000000,25.63,25.6703,25.42,25.6703,3230,0
TTEQ.US,D,20241121,000000,25.64,25.83,25.49,25.7513,1284,0
TTEQ.US,D,20241122,000000,25.75,25.85,25.75,25.8296,277,0
TTEQ.US,D,20241125,000000,25.92,25.94,25.8394,25.8794,3708,0
TTEQ.US,D,20241126,000000,25.9701,26.0018,25.93,25.9689,2275,0
TTEQ.US,D,20241127,000000,25.806,25.806,25.56,25.7577,2392,0
TTEQ.US,D,20241129,000000,25.85,26.0113,25.8499,26.0113,412,0
TTEQ.US,D,20241202,000000,26.09,26.3735,26.09,26.3735,2870,0
TTEQ.US,D,20241203,000000,26.26,26.62,26.26,26.55,14831,0
TTEQ.US,D,20241204,000000,26.845,26.9818,26.845,26.9818,88016,0
TTEQ.US,D,20241205,000000,27.14,27.14,26.9528,26.9528,7200,0
TTEQ.US,D,20241206,000000,27.0149,27.22,27.0149,27.1619,10699,0
TTEQ.US,D,20241209,000000,27.21,27.21,26.9644,26.9644,3665,0
TTEQ.US,D,20241210,000000,26.98,26.99,26.6,26.6244,2920,0
TTEQ.US,D,20241211,000000,26.8541,27.24,26.8541,27.125,57102,0
TTEQ.US,D,20241212,000000,27.13,27.13,27.011,27.0254,5459,0
TTEQ.US,D,20241213,000000,27.16,27.16,26.891,27.0126,7691,0
TTEQ.US,D,20241216,000000,27.13,27.34,27.05,27.335,5988,0
TTEQ.US,D,20241217,000000,27.2,27.28,27.11,27.2544,10717,0
TTEQ.US,D,20241218,000000,27.2107,27.36,26.25,26.3684,7366,0
TTEQ.US,D,20241219,000000,26.4,26.52,26.27,26.2774,4952,0
TTEQ.US,D,20241220,000000,26.0509,26.79,26.0509,26.5654,5786,0
TTEQ.US,D,20241223,000000,26.621,26.8425,26.621,26.8425,2520,0
TTEQ.US,D,20241224,000000,27,27.1142,27,27.1142,1514,0
TTEQ.US,D,20241226,000000,27.54,27.54,26.98,27.1335,4284,0
TTEQ.US,D,20241227,000000,27,27,26.58,26.7327,7210,0
TTEQ.US,D,20241230,000000,26.36,26.57,26.23,26.4632,3774,0
TTEQ.US,D,20241231,000000,26.457,26.457,26.1727,26.1727,13867,0
TTEQ.US,D,20250102,000000,26.33,26.49,26.178,26.2088,915,0
TTEQ.US,D,20250103,000000,26.34,26.7,26.34,26.6848,16979,0
TTEQ.US,D,20250106,000000,27.18,27.3391,27.13,27.2063,108879,0
TTEQ.US,D,20250107,000000,27.46,27.46,26.54,26.5861,6553,0
TTEQ.US,D,20250108,000000,26.5395,26.6,26.46,26.5225,5926,0
TTEQ.US,D,20250110,000000,26.52,26.52,26.08,26.08,38403,0
