<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VACHW.US,D,20241001,000000,0.0838,0.085,0.08,0.08,75100,0
VACHW.US,D,20241002,000000,0.08,0.08,0.065,0.075,403431,0
VACHW.US,D,20241003,000000,0.0751,0.08,0.0751,0.08,28590,0
VACHW.US,D,20241007,000000,0.081,0.09,0.08,0.09,88239,0
VACHW.US,D,20241009,000000,0.0845,0.0845,0.0844,0.0845,1000,0
VACHW.US,D,20241010,000000,0.085,0.09,0.085,0.09,193613,0
VACHW.US,D,20241015,000000,0.0851,0.087,0.08,0.085,253900,0
VACHW.US,D,20241016,000000,0.09,0.092,0.08,0.08,837038,0
VACHW.US,D,20241017,000000,0.085,0.085,0.085,0.085,24900,0
VACHW.US,D,20241018,000000,0.087,0.087,0.085,0.085,4750,0
VACHW.US,D,20241021,000000,0.087,0.087,0.085,0.085,2595,0
VACHW.US,D,20241025,000000,0.08,0.0862,0.08,0.0856,76500,0
VACHW.US,D,20241101,000000,0.092,0.092,0.09,0.09,107400,0
VACHW.US,D,20241105,000000,0.092,0.092,0.09,0.0919,508,0
VACHW.US,D,20241107,000000,0.084,0.084,0.0801,0.0801,50000,0
VACHW.US,D,20241118,000000,0.085,0.085,0.085,0.085,1083,0
VACHW.US,D,20241120,000000,0.08,0.08,0.08,0.08,705,0
VACHW.US,D,20241121,000000,0.08,0.08,0.08,0.08,69397,0
VACHW.US,D,20241122,000000,0.0832,0.0832,0.0832,0.0832,7370,0
VACHW.US,D,20241125,000000,0.084,0.1,0.0802,0.0995,34763,0
VACHW.US,D,20241126,000000,0.13,0.138,0.09,0.09,4547,0
VACHW.US,D,20241202,000000,0.108,0.108,0.08,0.08,490664,0
VACHW.US,D,20241203,000000,0.101157,0.101157,0.101157,0.101157,1301,0
VACHW.US,D,20241204,000000,0.09,0.0918,0.0802,0.0901,53753,0
VACHW.US,D,20241205,000000,0.1,0.10125,0.0975,0.0976,5200,0
VACHW.US,D,20241206,000000,0.1046,0.105,0.1,0.1003,47505,0
VACHW.US,D,20241209,000000,0.1001,0.1001,0.1001,0.1001,717,0
VACHW.US,D,20241210,000000,0.1001,0.1001,0.1001,0.1001,436,0
VACHW.US,D,20241211,000000,0.1,0.1001,0.1,0.1001,2708,0
VACHW.US,D,20241212,000000,0.104,0.105,0.104,0.105,820,0
VACHW.US,D,20241216,000000,0.1365,0.1365,0.11825,0.11825,358,0
VACHW.US,D,20241220,000000,0.135001,0.135001,0.086,0.1178,15440,0
VACHW.US,D,20241227,000000,0.086,0.117,0.0851,0.117,6323,0
VACHW.US,D,20241231,000000,0.1137,0.125,0.1102,0.12,182015,0
VACHW.US,D,20250108,000000,0.1201,0.1204,0.12,0.12,21210,0
VACHW.US,D,20250110,000000,0.12,0.141,0.12,0.141,11337,0
