<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WCT.US,D,20241002,000000,3.7,4.58,3.7,4.11,2276334,0
WCT.US,D,20241003,000000,3.96,4.45,3.64,3.98,1873747,0
WCT.US,D,20241004,000000,3.97,4.13,3.45,3.82,808358,0
WCT.US,D,20241007,000000,3.82,5.2,3.82,4.64,1349166,0
WCT.US,D,20241008,000000,4.86,5.94,4.85,5.18,3606552,0
WCT.US,D,20241009,000000,5.18,6.1,5.07,5.59,1854987,0
WCT.US,D,20241010,000000,5.78,6.1,5.7,5.99,1664813,0
WCT.US,D,20241011,000000,6.07,6.2,5.8205,5.9,791900,0
WCT.US,D,20241014,000000,6.15,6.2,5.96,5.96,897795,0
WCT.US,D,20241015,000000,6.1,7.3,6.0723,7.23,4220604,0
WCT.US,D,20241016,000000,7.05,7.05,5.95,6.67,837185,0
WCT.US,D,20241017,000000,6.65,7.36,6.5,7,2401346,0
WCT.US,D,20241018,000000,7,7.84,7,7.7,1965369,0
WCT.US,D,20241021,000000,7.9,8.05,7.19,7.76,1675342,0
WCT.US,D,20241022,000000,7.78,8.24,7.55,7.95,1773137,0
WCT.US,D,20241023,000000,7.95,9.34,7.52,8.13,1251358,0
WCT.US,D,20241024,000000,8.48,8.9244,6.74,7.97,847394,0
WCT.US,D,20241025,000000,7.92,8.522,7.86,8.46,1592857,0
WCT.US,D,20241028,000000,8.34,8.45,7.61,7.87,739371,0
WCT.US,D,20241029,000000,7.99,8.59,7.8677,8.37,719743,0
WCT.US,D,20241030,000000,8.48,8.9438,4.6,8.13,4247765,0
WCT.US,D,20241031,000000,8.18,8.68,7.8,8.65,3200059,0
WCT.US,D,20241101,000000,8.3,8.6,7.83,8.35,829887,0
WCT.US,D,20241104,000000,8.43,8.9,8.05,8.76,1347325,0
WCT.US,D,20241105,000000,8.75,8.9,7.59,7.62,924985,0
WCT.US,D,20241106,000000,6.34,7.5999,6.16,7.46,1005269,0
WCT.US,D,20241107,000000,7.21,8.49,7.11,7.75,255452,0
WCT.US,D,20241108,000000,8,9,7.6,8.98,1090088,0
WCT.US,D,20241111,000000,8.99,9.36,8.81,8.99,648061,0
WCT.US,D,20241112,000000,8.99,9.15,8.35,8.45,435182,0
WCT.US,D,20241113,000000,8.4,8.82,7.5106,7.9,466323,0
WCT.US,D,20241114,000000,7.85,7.98,3.91,4.15,1270076,0
WCT.US,D,20241115,000000,3.55,4.34,2.43,4,1318337,0
WCT.US,D,20241118,000000,3.76,4.39,3.35,3.49,519846,0
WCT.US,D,20241119,000000,3.5,3.5,2.41,3.19,538090,0
WCT.US,D,20241120,000000,3.21,3.45,2.8,3.32,258784,0
WCT.US,D,20241121,000000,3.05,3.3,0.94,1.25,2343104,0
WCT.US,D,20241122,000000,2.21,2.32,1.55,1.98,39394878,0
WCT.US,D,20241125,000000,1.63,2,1.6,1.91,1311597,0
WCT.US,D,20241126,000000,1.95,2.2,1.84,2.01,636343,0
WCT.US,D,20241127,000000,2.01,2.2,1.8,1.97,398811,0
WCT.US,D,20241129,000000,1.97,2.04,1.81,1.87,119735,0
WCT.US,D,20241202,000000,1.88,1.88,1.6,1.6,377972,0
WCT.US,D,20241203,000000,1.5,1.69,1.4,1.59,191130,0
WCT.US,D,20241204,000000,1.59,1.64,1.5,1.5,108528,0
WCT.US,D,20241205,000000,1.49,1.49,1.33,1.35,155398,0
WCT.US,D,20241206,000000,1.33,1.4286,1.28,1.28,118965,0
WCT.US,D,20241209,000000,1.36,1.43,1.27,1.37,119659,0
WCT.US,D,20241210,000000,1.43,1.48,1.3,1.3,134979,0
WCT.US,D,20241211,000000,1.29,1.72,1.19,1.35,1288770,0
WCT.US,D,20241212,000000,1.42,1.45,1.2,1.24,250194,0
WCT.US,D,20241213,000000,1.31,1.31,1.1119,1.2,87769,0
WCT.US,D,20241216,000000,1.12,1.22,1.1,1.11,89297,0
WCT.US,D,20241217,000000,1.08,1.11,0.99,1.02,114679,0
WCT.US,D,20241218,000000,1,1.19,1,1.08,142491,0
WCT.US,D,20241219,000000,1.03,1.1499,0.95,0.9774,222716,0
WCT.US,D,20241220,000000,0.98,1.05,0.98,1.04,89365,0
WCT.US,D,20241223,000000,1.01,1.1,0.98,1.01,85900,0
WCT.US,D,20241224,000000,0.99,1.0199,0.99,1.01,473700,0
WCT.US,D,20241226,000000,1.02,1.3297,0.95,1.2,500941,0
WCT.US,D,20241227,000000,1.27,1.296,1.0701,1.105,271725,0
WCT.US,D,20241230,000000,1.04,1.041,0.9631,0.9752,375843,0
WCT.US,D,20241231,000000,1.02,1.113,0.95,0.9601,217707,0
WCT.US,D,20250102,000000,0.99,1.08,0.99,1.03,193139,0
WCT.US,D,20250103,000000,1.1,1.4,1.05,1.39,472261,0
WCT.US,D,20250106,000000,1.43,1.5,1.33,1.36,192425,0
WCT.US,D,20250107,000000,1.46,1.51,1.32,1.33,120454,0
WCT.US,D,20250108,000000,1.3,1.34,1.21,1.34,131371,0
WCT.US,D,20250110,000000,1.39,1.63,1.36,1.63,237163,0
