<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLR.US,D,20121119,000000,158979,158979,139896,152612,0.14542135587947,0
WHLR.US,D,20121120,000000,158728,171701,155162,155424,1.2974368829347,0
WHLR.US,D,20121121,000000,157696,157696,155048,155675,0.084065997920245,0
WHLR.US,D,20121123,000000,156428,156428,152612,152612,0.1631869371393,0
WHLR.US,D,20121126,000000,152366,152612,144985,151100,0.83260136502275,0
WHLR.US,D,20121127,000000,152366,152612,148676,148807,0.38699663094876,0
WHLR.US,D,20121128,000000,152612,152612,148058,152612,0.14981696361386,0
WHLR.US,D,20121129,000000,152159,152612,147551,152093,0.34395630521617,0
WHLR.US,D,20121130,000000,147551,152612,147551,152612,0.25732620278419,0
WHLR.US,D,20121203,000000,152869,152869,147551,150838,0.24652033377048,0
WHLR.US,D,20121204,000000,157696,157696,147551,152612,0.83754642372395,0
WHLR.US,D,20121205,000000,158979,158979,147551,149052,0.25805880407326,0
WHLR.US,D,20121206,000000,152612,152869,147551,147551,0.70750969491485,0
WHLR.US,D,20121207,000000,151826,151826,151826,151826,0.007692313535186,0
WHLR.US,D,20121210,000000,152366,152612,148807,150319,0.560439986135,0
WHLR.US,D,20121211,000000,152366,153125,151100,151100,0.18663017838939,0
WHLR.US,D,20121212,000000,150838,150838,147780,148807,0.24212472603609,0
WHLR.US,D,20121213,000000,149052,149052,147551,148021,1.5413931121934,0
WHLR.US,D,20121214,000000,148544,148544,147551,148310,0.7060444923367,0
WHLR.US,D,20121217,000000,147780,150838,147551,147551,0.41611753218911,0
WHLR.US,D,20121218,000000,148310,155927,147551,147551,0.45036664245291,0
WHLR.US,D,20121219,000000,149052,157952,147551,151351,0.36739954646626,0
WHLR.US,D,20121220,000000,147551,151603,147551,150073,0.60677701766835,0
WHLR.US,D,20121221,000000,150073,152612,147551,147551,0.53168538553915,0
WHLR.US,D,20121224,000000,147780,147780,147780,147780,0.015750927714905,0
WHLR.US,D,20121227,000000,148872,163249,148872,151449,0.4569600540545,0
WHLR.US,D,20121228,000000,175583,175583,148872,151711,0.3868134806265,0
WHLR.US,D,20121231,000000,148872,170035,148872,158122,0.6069601679906,0
WHLR.US,D,20130102,000000,159667,162991,150428,158122,0.8943230236265,0
WHLR.US,D,20130103,000000,155818,155818,151963,154010,0.046703332177915,0
WHLR.US,D,20130104,000000,156325,156587,153503,153503,0.9602571396424,0
WHLR.US,D,20130107,000000,153245,154775,150679,154775,0.22161188994226,0
WHLR.US,D,20130108,000000,154518,156058,154010,154010,0.20787561577228,0
WHLR.US,D,20130109,000000,154518,160426,150428,154043,0.47417618434754,0
WHLR.US,D,20130110,000000,154272,154272,152848,153503,0.37289405613425,0
WHLR.US,D,20130111,000000,155053,155304,155053,155304,0.007692313535186,0
WHLR.US,D,20130114,000000,156063,156063,154523,154523,0.07948723986359,0
WHLR.US,D,20130115,000000,160066,160066,154272,154272,0.13846164363335,0
WHLR.US,D,20130116,000000,155304,158903,154272,158903,0.12472536946337,0
WHLR.US,D,20130117,000000,159410,159410,154518,154518,0.14816861071346,0
WHLR.US,D,20130118,000000,159142,159142,155304,155304,0.05000003797871,0
WHLR.US,D,20130122,000000,156325,156325,154780,154780,0.23351666088958,0
WHLR.US,D,20130123,000000,156063,159142,155561,155818,0.40512851285313,0
WHLR.US,D,20130124,000000,154780,157603,154780,155053,0.05091578959004,0
WHLR.US,D,20130125,000000,156063,158629,154780,155304,0.29029326079214,0
WHLR.US,D,20130128,000000,158383,158383,155304,155304,0.31996361299928,0
WHLR.US,D,20130129,000000,156325,157865,154518,155561,0.58461582867415,0
WHLR.US,D,20130130,000000,157756,158263,156713,156975,0.45457909986503,0
WHLR.US,D,20130131,000000,158537,158537,155681,155681,0.10750923917034,0
WHLR.US,D,20130201,000000,156724,158263,154911,156205,0.5728942080491,0
WHLR.US,D,20130204,000000,158263,158771,155790,157493,0.31355335171996,0
WHLR.US,D,20130205,000000,157493,157493,156724,156724,0.22747270025478,0
WHLR.US,D,20130206,000000,155948,158263,155173,155173,0.56007368549045,0
WHLR.US,D,20130207,000000,155435,155435,155435,155435,0.011904770947312,0
WHLR.US,D,20130208,000000,157493,157493,155435,155435,0.6146524815258,0
WHLR.US,D,20130211,000000,155948,157493,155948,155948,0.6212458931274,0
WHLR.US,D,20130212,000000,157220,157493,155948,156445,0.33113578265753,0
WHLR.US,D,20130213,000000,155681,156445,155681,156205,0.12307701656297,0
WHLR.US,D,20130214,000000,156724,157220,156205,156205,0.11337004948286,0
WHLR.US,D,20130215,000000,156724,157493,156205,157493,0.13754589202202,0
WHLR.US,D,20130219,000000,157220,157493,156975,157493,0.26208811116312,0
WHLR.US,D,20130220,000000,157493,157493,156975,156980,0.33699659297005,0
WHLR.US,D,20130221,000000,156445,157220,155435,155435,0.5483520648654,0
WHLR.US,D,20130222,000000,157493,157493,154911,155435,0.87326073656585,0
WHLR.US,D,20130225,000000,156205,156205,154393,154393,1.0228945498574,0
WHLR.US,D,20130226,000000,155435,156200,154911,154911,0.089194206943705,0
WHLR.US,D,20130227,000000,156074,159427,156074,156074,0.8023815618488,0
WHLR.US,D,20130228,000000,158159,158159,155828,155828,1.3326017448098,0
WHLR.US,D,20130301,000000,156074,157106,155828,155828,0.37912116709131,0
WHLR.US,D,20130304,000000,155828,156844,155828,156074,0.21959723639733,0
WHLR.US,D,20130305,000000,156604,157646,156074,156074,0.15970708101624,0
WHLR.US,D,20130306,000000,156074,157892,156074,157117,0.3062273388293,0
WHLR.US,D,20130307,000000,156074,157117,156074,157117,0.25311374537207,0
WHLR.US,D,20130308,000000,156347,156347,156341,156347,0.015384627070372,0
WHLR.US,D,20130311,000000,156074,157368,156074,156341,0.31923101171022,0
WHLR.US,D,20130312,000000,158159,158159,156074,157646,0.49670367398629,0
WHLR.US,D,20130313,000000,157368,157892,156074,156341,0.40054975479647,0
WHLR.US,D,20130314,000000,156844,157646,156341,156341,0.07692313535186,0
WHLR.US,D,20130315,000000,156341,157892,155828,155828,0.42326039475749,0
WHLR.US,D,20130318,000000,155828,157117,155828,156074,0.24065952345796,0
WHLR.US,D,20130319,000000,158394,158394,155828,156074,0.4586084069549,0
WHLR.US,D,20130320,000000,155828,157892,155828,157892,0.9899274918495,0
WHLR.US,D,20130321,000000,157641,157892,156074,156155,0.26959727437604,0
WHLR.US,D,20130322,000000,157886,157886,155828,155828,0.6032971615453,0
WHLR.US,D,20130325,000000,157368,157646,155828,156074,0.6507330950123,0
WHLR.US,D,20130326,000000,158285,158285,156734,156734,0.64230818018805,0
WHLR.US,D,20130327,000000,156734,158563,156734,158285,0.049816887656443,0
WHLR.US,D,20130328,000000,156734,156986,156734,156734,0.49377326883003,0
WHLR.US,D,20130401,000000,158563,158563,157187,157187,0.026556796728618,0
WHLR.US,D,20130402,000000,158285,159355,156734,156734,0.4895608114179,0
WHLR.US,D,20130403,000000,156734,158563,156734,156986,0.09377296500036,0
WHLR.US,D,20130404,000000,157248,157248,157248,157248,0.026556796728618,0
WHLR.US,D,20130405,000000,158045,159077,158045,158045,0.41337027735511,0
WHLR.US,D,20130408,000000,156986,159077,156986,158563,0.12600742171924,0
WHLR.US,D,20130409,000000,159077,159077,156986,157515,0.12857152623096,0
WHLR.US,D,20130410,000000,157515,157783,156986,156986,0.15457887199278,0
WHLR.US,D,20130411,000000,158045,158045,156986,156986,0.019047633515698,0
WHLR.US,D,20130412,000000,157897,159077,156986,158542,0.67710674141865,0
WHLR.US,D,20130415,000000,157515,157515,154660,156734,0.9589750873865,0
WHLR.US,D,20130416,000000,157248,157253,157248,157248,0.038278417353664,0
WHLR.US,D,20130417,000000,157253,157515,156734,157242,0.5205132158809,0
WHLR.US,D,20130418,000000,156734,156986,156734,156986,0.14981696361386,0
WHLR.US,D,20130419,000000,158159,158815,157515,157723,0.09597076886756,0
WHLR.US,D,20130422,000000,158815,158815,156734,157248,0.18827853128979,0
WHLR.US,D,20130423,000000,157248,158815,157248,158542,0.23589761507904,0
WHLR.US,D,20130424,000000,158563,158815,156734,156910,0.088095305010105,0
WHLR.US,D,20130425,000000,158815,158815,156734,156734,0.33278413555793,0
WHLR.US,D,20130426,000000,157908,157908,157663,157663,0.22802215122159,0
WHLR.US,D,20130429,000000,159535,159535,157663,157908,0.15970708101624,0
