<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WYHG.US,D,20241126,000000,4,4.4,3.55,4.24,824454,0
WYHG.US,D,20241127,000000,3.77,4.39,3.77,4.04,361414,0
WYHG.US,D,20241129,000000,3.97,4,3.8915,3.93,297438,0
WYHG.US,D,20241202,000000,4.05,4.15,3.925,4.14,219596,0
WYHG.US,D,20241203,000000,4.2,4.59,4.04,4.45,369060,0
WYHG.US,D,20241204,000000,4.6311,5.25,4.52,4.99,151037,0
WYHG.US,D,20241205,000000,5.2,5.345,4.16,4.5,527599,0
WYHG.US,D,20241206,000000,4.4023,4.98,4.4023,4.91,185771,0
WYHG.US,D,20241209,000000,4.98,5.05,4.17,4.22,728004,0
WYHG.US,D,20241210,000000,4.28,4.5854,4.22,4.5,187769,0
WYHG.US,D,20241211,000000,4.52,4.78,4.35,4.3756,494265,0
WYHG.US,D,20241212,000000,4.37,4.78,4.26,4.55,110695,0
WYHG.US,D,20241213,000000,4.6,4.65,4.3915,4.49,141315,0
WYHG.US,D,20241216,000000,4.56,4.59,4.24,4.4,134474,0
WYHG.US,D,20241217,000000,4.55,5.5,4.55,5.24,163543,0
WYHG.US,D,20241218,000000,5.4,5.66,5.2015,5.25,52357,0
WYHG.US,D,20241219,000000,5.5,5.7,5.05,5.36,160825,0
WYHG.US,D,20241220,000000,5.36,5.36,4.75,4.75,117333,0
WYHG.US,D,20241223,000000,4.95,4.95,4.6,4.95,46160,0
WYHG.US,D,20241224,000000,4.9,4.92,4.79,4.9,25917,0
WYHG.US,D,20241226,000000,4.91,5.65,4.91,5.65,44679,0
WYHG.US,D,20241227,000000,5.88,6.1,5.6,5.7,155560,0
WYHG.US,D,20241230,000000,5.8,6.07,5.76,5.92,51133,0
WYHG.US,D,20241231,000000,5.89,6.0299,5.7,6,19529,0
WYHG.US,D,20250102,000000,6.05,6.05,5.46,5.5,131724,0
WYHG.US,D,20250103,000000,5.42,5.5364,4.43,4.6336,152853,0
WYHG.US,D,20250106,000000,4.54,4.99,4.21,4.222,33787,0
WYHG.US,D,20250107,000000,4.45,4.56,4.26,4.46,64369,0
WYHG.US,D,20250108,000000,4.4413,4.4413,3.6,3.7,313805,0
WYHG.US,D,20250110,000000,3.6188,4.52,3.6188,4.52,120208,0
