<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YAAS.US,D,20241220,000000,4.08,4.25,3.48,3.95,665200,0
YAAS.US,D,20241223,000000,3.91,3.95,3.3,3.45,185883,0
YAAS.US,D,20241224,000000,3.49,3.58,3.3,3.35,162693,0
YAAS.US,D,20241226,000000,3.39,3.67,3.29,3.35,73632,0
YAAS.US,D,20241227,000000,3.42,3.5,3.3,3.3,50098,0
YAAS.US,D,20241230,000000,3.5,3.73,3.2,3.632,27499,0
YAAS.US,D,20241231,000000,3.6903,4.1973,3.6903,4.0264,175267,0
YAAS.US,D,20250102,000000,4,4.09,3.71,3.91,102689,0
YAAS.US,D,20250103,000000,4,4,3.85,3.87,17852,0
YAAS.US,D,20250106,000000,4.0127,4.0127,3.55,3.81,122045,0
YAAS.US,D,20250107,000000,3.94,3.94,3.6002,3.72,33438,0
YAAS.US,D,20250108,000000,3.73,3.7383,3.58,3.58,33377,0
YAAS.US,D,20250110,000000,3.58,3.63,3.5,3.6,37826,0
