<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YSXT.US,D,20241218,000000,4.05,5.52,3.95,4.31,904400,0
YSXT.US,D,20241219,000000,4.2,4.3,3.95,4.03,140726,0
YSXT.US,D,20241220,000000,3.98,4.91,3.98,4.5,238224,0
YSXT.US,D,20241223,000000,4.56,4.69,3.11,3.5,225364,0
YSXT.US,D,20241224,000000,3.3837,3.45,3.1,3.2,60612,0
YSXT.US,D,20241226,000000,3.44,3.44,2.7001,2.85,165506,0
YSXT.US,D,20241227,000000,2.9,2.97,2.5544,2.7,104980,0
YSXT.US,D,20241230,000000,2.7,6.27,2.54,3.7823,858995,0
YSXT.US,D,20241231,000000,3.24,4.41,3.21,3.65,255842,0
YSXT.US,D,20250102,000000,3.43,4.4,3.4,4.14,55698,0
YSXT.US,D,20250103,000000,4.15,4.15,3.18,3.5,153238,0
YSXT.US,D,20250106,000000,3.6,4.349,3.08,4.11,448790,0
YSXT.US,D,20250107,000000,4,5.95,3.8982,4.55,627423,0
YSXT.US,D,20250108,000000,4.58,5,4.4,4.6,242167,0
YSXT.US,D,20250110,000000,4.45,4.7634,4.43,4.6,74544,0
