<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZSPC.US,D,20241205,000000,5.8,32.69,5.25,22,2651300,0
ZSPC.US,D,20241206,000000,18.6,18.8479,12.07,16.1524,492303,0
ZSPC.US,D,20241209,000000,15.97,22.55,15.97,17.3,250765,0
ZSPC.US,D,20241210,000000,17,17.89,15.18,15.7,115407,0
ZSPC.US,D,20241211,000000,15.5,15.8287,12.24,13.42,130664,0
ZSPC.US,D,20241212,000000,13.48,13.82,11.81,13.0001,66472,0
ZSPC.US,D,20241213,000000,13.38,13.38,11,11.33,61335,0
ZSPC.US,D,20241216,000000,11.7,12.1345,10.85,11.2,62094,0
ZSPC.US,D,20241217,000000,11.16,11.25,9.32,10.22,171485,0
ZSPC.US,D,20241218,000000,10,10.5,8.65,8.76,80371,0
ZSPC.US,D,20241219,000000,8.76,9.7,8.13,8.35,134738,0
ZSPC.US,D,20241220,000000,8.03,8.8,7.03,8.6,165980,0
ZSPC.US,D,20241223,000000,9,9,7.12,7.25,79908,0
ZSPC.US,D,20241224,000000,7.01,8.25,7.01,8.1,83795,0
ZSPC.US,D,20241226,000000,8.3,14.87,8.11,13.9,502712,0
ZSPC.US,D,20241227,000000,14.27,14.5,11.42,13.2,222084,0
ZSPC.US,D,20241230,000000,12,15.9897,11.47,15,118275,0
ZSPC.US,D,20241231,000000,14.97,18.3971,14.855,15.89,172027,0
ZSPC.US,D,20250102,000000,15.79,15.95,11.718,12.25,176846,0
ZSPC.US,D,20250103,000000,13.19,13.4899,10.87,11.67,107446,0
ZSPC.US,D,20250106,000000,11.77,11.8,9.58,10.15,110101,0
ZSPC.US,D,20250107,000000,10.07,12,9.8,11.69,136221,0
ZSPC.US,D,20250108,000000,11.41,11.6582,10.11,11.34,266400,0
ZSPC.US,D,20250110,000000,11.38,11.38,9.83,10.14,102968,0
