<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKY.US,D,20231116,000000,24.743,24.8627,24.1897,24.1897,2603.0293491136,0
ARKY.US,D,20231117,000000,24.3541,24.4556,24.1944,24.4556,850.2961818368,0
ARKY.US,D,20231120,000000,24.9923,25.3912,24.8926,25.2493,4966.4115432048,0
ARKY.US,D,20231121,000000,24.6034,24.8119,24.4358,24.8119,3886.4952839616,0
ARKY.US,D,20231122,000000,24.5934,25.3655,24.5934,25.3655,704.9035564048,0
ARKY.US,D,20231124,000000,25.8001,26.0794,25.6217,25.6217,1144.0895559856,0
ARKY.US,D,20231127,000000,24.733,24.733,24.6532,24.6532,2497.7450341456,0
ARKY.US,D,20231128,000000,25.0222,25.7109,25.0222,25.7109,801.1635015184,0
ARKY.US,D,20231129,000000,25.3514,25.3514,25.1152,25.1152,893.4126155856,0
ARKY.US,D,20231130,000000,25.2516,25.2516,25.2003,25.2003,872.355752592,0
ARKY.US,D,20231201,000000,26.0287,26.0287,25.9203,25.9203,262.7094335392,0
ARKY.US,D,20231204,000000,27.9668,27.9668,27.8346,27.8437,864.3340904992,0
ARKY.US,D,20231205,000000,28.0042,29.0224,27.9254,29.0224,6308.0345282256,0
ARKY.US,D,20231206,000000,28.9716,29.0214,28.9397,28.9397,845.2826430288,0
ARKY.US,D,20231207,000000,28.822,29.2009,28.822,29.0307,29865.650679256,0
ARKY.US,D,20231208,000000,29.2707,29.7096,29.2408,29.6697,16079.421665018,0
ARKY.US,D,20231211,000000,27.9044,27.9044,27.0367,27.1632,3945.655041896,0
ARKY.US,D,20231212,000000,27.6745,27.6745,27.0567,27.3369,6775.2963451312,0
ARKY.US,D,20231213,000000,27.7349,28.4131,27.7212,28.3756,2084.6294363664,0
ARKY.US,D,20231214,000000,28.443,28.4457,28.2525,28.4457,1512.0833044928,0
ARKY.US,D,20231215,000000,27.9683,28.0026,27.8345,28.0026,990.6752684608,0
ARKY.US,D,20231218,000000,27.3,27.5245,27.1764,27.5245,4071.9962198576,0
ARKY.US,D,20231219,000000,27.7062,27.7062,27.2265,27.4359,1217.2872225824,0
ARKY.US,D,20231220,000000,28.7721,28.7721,28.0259,28.0259,2692.270339896,0
ARKY.US,D,20231221,000000,28.3333,28.3632,28.1837,28.2882,4567.333854088,0
ARKY.US,D,20231222,000000,28.7821,28.9516,28.7621,28.7635,1686.5544550112,0
ARKY.US,D,20231226,000000,28.0042,28.0042,27.6476,27.6476,732.9793737296,0
ARKY.US,D,20231227,000000,28.7023,29.0414,28.6424,29.0015,137364.94709263,0
ARKY.US,D,20231228,000000,29.0214,29.0214,28.5327,28.5944,12769.483343976,0
ARKY.US,D,20231229,000000,29.1311,29.1311,28.1725,28.1725,8268.3282021536,0
ARKY.US,D,20240102,000000,29.8004,30.0386,29.3505,29.3505,32472.690859416,0
ARKY.US,D,20240103,000000,27.3053,28.054,27.3053,27.6552,5846.7889578896,0
ARKY.US,D,20240104,000000,27.8048,28.7322,27.8048,28.453,6558.7114686256,0
ARKY.US,D,20240105,000000,28.0489,28.3433,27.9992,28.1666,3796.2515854176,0
ARKY.US,D,20240108,000000,28.6823,29.8791,28.5228,29.7195,9001.3075758832,0
ARKY.US,D,20240109,000000,29.191,29.191,28.6823,28.7663,20671.823213146,0
ARKY.US,D,20240110,000000,29.4203,30.8066,29.1112,30.5503,67016.975954298,0
ARKY.US,D,20240111,000000,32.9009,33.3198,31.3152,31.8075,47625.610552715,0
ARKY.US,D,20240112,000000,32.502,32.9009,30.8066,30.882,16464.461445472,0
ARKY.US,D,20240116,000000,30.9063,30.978,29.7694,30.9389,10173.472949194,0
ARKY.US,D,20240117,000000,30.5672,30.7611,30.3079,30.5273,3689.964562688,0
ARKY.US,D,20240118,000000,30.0686,30.3079,29.2209,29.2432,4972.4277897744,0
ARKY.US,D,20240119,000000,29.53,29.9788,29.1012,29.6198,4407.9033199936,0
ARKY.US,D,20240122,000000,28.802,28.802,27.7648,28.1837,3638.8264668464,0
ARKY.US,D,20240123,000000,26.6279,26.9371,26.4284,26.6306,5193.0234973264,0
ARKY.US,D,20240124,000000,27.0368,27.2163,26.717,26.717,2443.5988150192,0
ARKY.US,D,20240125,000000,26.7394,26.8211,26.6895,26.8211,726.96312716,0
ARKY.US,D,20240126,000000,27.4457,27.7748,27.4457,27.6512,2946.9581113424,0
ARKY.US,D,20240129,000000,27.8247,28.3433,27.5354,28.2891,6399.2809345312,0
ARKY.US,D,20240130,000000,28.423,29.042,28.423,29.042,1719.643811144,0
ARKY.US,D,20240131,000000,28.2734,28.7422,27.8745,28.0462,1674.521961872,0
ARKY.US,D,20240201,000000,28.1338,28.1565,28.1338,28.1565,412.1128900176,0
ARKY.US,D,20240202,000000,28.1278,28.3322,28.1139,28.1525,1203.24931392,0
ARKY.US,D,20240205,000000,28.0441,28.0441,27.966,27.966,584.5786250128,0
ARKY.US,D,20240206,000000,28.4729,28.9915,28.4729,28.9267,1649.454267832,0
ARKY.US,D,20240207,000000,28.9516,29.6554,28.9217,29.6554,4007.8229231152,0
ARKY.US,D,20240208,000000,29.7395,29.8326,29.7395,29.8326,520.4053282704,0
ARKY.US,D,20240209,000000,30.7368,30.9462,30.5074,30.7687,1707.6113180048,0
ARKY.US,D,20240212,000000,31.4149,32.6087,31.4149,32.6087,2719.3434494592,0
ARKY.US,D,20240213,000000,32.2227,32.3023,32.2227,32.3023,920.4857251488,0
ARKY.US,D,20240214,000000,33.7985,33.9775,33.7486,33.934,2320.2657603424,0
ARKY.US,D,20240215,000000,34.7758,34.8456,34.2872,34.5066,3200.6431750272,0
ARKY.US,D,20240216,000000,34.4766,34.6861,34.0478,34.0856,2190.916459096,0
