<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKDV.US,D,20241108,000000,26.06,26.06,26.0584,26.06,3415,0
BKDV.US,D,20241111,000000,26.24,26.24,26.2284,26.2285,235,0
BKDV.US,D,20241112,000000,26.1233,26.1233,25.9701,25.9701,575,0
BKDV.US,D,20241113,000000,26.03,26.03,25.99,26,2116,0
BKDV.US,D,20241114,000000,25.87,25.87,25.78,25.79,1803,0
BKDV.US,D,20241115,000000,25.7689,25.7689,25.67,25.706,672,0
BKDV.US,D,20241119,000000,25.74,25.74,25.7178,25.7178,300,0
BKDV.US,D,20241120,000000,25.74,25.8442,25.74,25.8442,101,0
BKDV.US,D,20241122,000000,26.34,26.36,26.3397,26.3397,39228,0
BKDV.US,D,20241125,000000,26.5599,26.5599,26.4607,26.4607,713,0
BKDV.US,D,20241126,000000,26.32,26.4574,26.32,26.4574,1476,0
BKDV.US,D,20241127,000000,26.42,26.42,26.4197,26.4197,3077,0
BKDV.US,D,20241129,000000,26.55,26.57,26.5291,26.5291,10542,0
BKDV.US,D,20241202,000000,26.439,26.6,26.4197,26.4197,6677,0
BKDV.US,D,20241203,000000,26.32,26.32,26.265,26.2668,10973,0
BKDV.US,D,20241204,000000,26.19,26.2197,26.13,26.1995,7336,0
BKDV.US,D,20241205,000000,26.249,26.249,26.1299,26.1299,6047,0
BKDV.US,D,20241206,000000,26.04,26.04,25.9779,25.9852,11719,0
BKDV.US,D,20241209,000000,25.99,25.99,25.77,25.77,2084,0
BKDV.US,D,20241210,000000,25.56,25.67,25.5392,25.5392,1746,0
BKDV.US,D,20241211,000000,25.57,25.6,25.52,25.5605,13284,0
BKDV.US,D,20241212,000000,25.5812,25.59,25.4803,25.4803,2998,0
BKDV.US,D,20241213,000000,25.43,25.43,25.38,25.39,1002,0
BKDV.US,D,20241216,000000,25.41,25.41,25.22,25.22,2996,0
BKDV.US,D,20241217,000000,25.06,25.06,25.0099,25.0243,1844,0
BKDV.US,D,20241218,000000,25.02,25.054,24.4144,24.4144,1360,0
BKDV.US,D,20241219,000000,24.5082,24.5082,24.3626,24.3626,9306,0
BKDV.US,D,20241220,000000,24.6,24.81,24.5999,24.7251,7795,0
BKDV.US,D,20241223,000000,24.61,24.7361,24.555,24.7361,3893,0
BKDV.US,D,20241224,000000,24.73,24.93,24.73,24.907,16736,0
BKDV.US,D,20241226,000000,24.92,24.9958,24.9199,24.9958,3694,0
BKDV.US,D,20241227,000000,24.8277,24.85,24.7098,24.7856,15781,0
BKDV.US,D,20241230,000000,24.45,24.68,24.45,24.66,19043,0
BKDV.US,D,20241231,000000,24.68,24.71,24.59,24.6222,14016,0
BKDV.US,D,20250102,000000,24.84,24.84,24.62,24.6752,1487,0
BKDV.US,D,20250103,000000,24.78,24.88,24.77,24.8473,3850,0
BKDV.US,D,20250106,000000,25.1,25.1401,24.8683,24.8683,675,0
BKDV.US,D,20250107,000000,25.03,25.05,24.82,24.855,5727,0
BKDV.US,D,20250108,000000,24.78,24.9354,24.78,24.9354,584,0
BKDV.US,D,20250110,000000,24.77,24.79,24.6999,24.76,3200,0
