<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMOV.US,D,20241108,000000,25.65,25.74,25.6254,25.6612,8065,0
GMOV.US,D,20241111,000000,25.85,25.95,25.8292,25.8292,32648,0
GMOV.US,D,20241112,000000,25.83,25.83,25.591,25.6187,83369,0
GMOV.US,D,20241113,000000,25.68,25.76,25.6096,25.72,98979,0
GMOV.US,D,20241114,000000,25.675,25.695,25.5049,25.5049,39498,0
GMOV.US,D,20241115,000000,25.51,25.53,25.31,25.3859,17450,0
GMOV.US,D,20241118,000000,25.4701,25.4701,25.4235,25.4235,9123,0
GMOV.US,D,20241119,000000,25.25,25.3,25.1404,25.2315,67061,0
GMOV.US,D,20241120,000000,25.19,25.2537,25.13,25.2537,8526,0
GMOV.US,D,20241121,000000,25.335,25.6,25.33,25.5698,8935,0
GMOV.US,D,20241122,000000,25.7211,25.86,25.7211,25.856,26145,0
GMOV.US,D,20241125,000000,26.13,26.28,26.08,26.171,73030,0
GMOV.US,D,20241126,000000,26.015,26.21,25.9413,26.035,140139,0
GMOV.US,D,20241127,000000,26.1,26.15,25.9878,26.0025,29442,0
GMOV.US,D,20241129,000000,26.11,26.15,26.0797,26.1,5798,0
GMOV.US,D,20241202,000000,26,26.1,26,26.057,6125,0
GMOV.US,D,20241203,000000,26.15,26.16,25.9475,25.9475,7171,0
GMOV.US,D,20241204,000000,25.87,26.01,25.752,25.84,12842,0
GMOV.US,D,20241205,000000,25.82,25.84,25.77,25.78,23180,0
GMOV.US,D,20241206,000000,25.8299,25.8299,25.74,25.7581,2112,0
GMOV.US,D,20241209,000000,25.85,25.8501,25.725,25.725,57185,0
GMOV.US,D,20241210,000000,25.55,25.63,25.5,25.5231,25275,0
GMOV.US,D,20241211,000000,25.53,25.53,25.47,25.5069,76435,0
GMOV.US,D,20241212,000000,25.47,25.5,25.3952,25.3952,33907,0
GMOV.US,D,20241213,000000,25.39,25.4,25.24,25.2549,37812,0
GMOV.US,D,20241216,000000,25.25,25.2886,25.08,25.1,49042,0
GMOV.US,D,20241217,000000,25.015,25.07,24.88,24.9268,65133,0
GMOV.US,D,20241218,000000,25,25.03,24.297,24.3,112886,0
GMOV.US,D,20241219,000000,24.5446,24.5446,24.2061,24.2061,9310,0
GMOV.US,D,20241220,000000,24.228,24.61,24.04,24.4679,18968,0
GMOV.US,D,20241223,000000,24.48,24.61,24.355,24.6,55783,0
GMOV.US,D,20241224,000000,24.67,24.765,24.67,24.765,8846,0
GMOV.US,D,20241226,000000,24.84,24.8475,24.8,24.8475,8855,0
GMOV.US,D,20241227,000000,24.75,24.75,24.59,24.68,87545,0
GMOV.US,D,20241230,000000,24.3,24.45,24.205,24.37,25370,0
GMOV.US,D,20241231,000000,24.54,24.54,24.34,24.45,12502,0
GMOV.US,D,20250102,000000,24.688,24.688,24.35,24.41,34758,0
GMOV.US,D,20250103,000000,24.5189,24.64,24.5189,24.62,18219,0
GMOV.US,D,20250106,000000,24.7837,25.0222,24.74,24.74,156717,0
GMOV.US,D,20250107,000000,24.9,24.96,24.69,24.74,34373,0
GMOV.US,D,20250108,000000,24.59,24.73,24.59,24.68,21687,0
GMOV.US,D,20250110,000000,24.505,24.505,24.3377,24.35,15018,0
