<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOX.US,D,20240112,000000,25.25,25.25,25.1682,25.1682,475,0
GOOX.US,D,20240116,000000,25.6286,25.6286,24.97,25.0566,1036,0
GOOX.US,D,20240117,000000,24.65,24.689,24.65,24.689,512,0
GOOX.US,D,20240118,000000,25.19,25.47,25.07,25.3552,6391,0
GOOX.US,D,20240119,000000,25.91,26.366,25.91,26.366,851,0
GOOX.US,D,20240122,000000,26.95,27.01,26.25,26.25,9885,0
GOOX.US,D,20240123,000000,26.58,26.66,26.559,26.66,3632,0
GOOX.US,D,20240124,000000,27.13,27.63,27.13,27.1876,10614,0
GOOX.US,D,20240125,000000,27.72,28.79,27.71,28.32,13917,0
GOOX.US,D,20240126,000000,28.19,28.52,28.12,28.5,22442,0
GOOX.US,D,20240129,000000,28.35,28.86,28.13,28.76,39519,0
GOOX.US,D,20240130,000000,28.54,28.6294,28.03,28.0511,19610,0
GOOX.US,D,20240131,000000,25.2,25.24,23.95,24.02,35908,0
GOOX.US,D,20240201,000000,24.75,24.76,24.18,24.2623,35918,0
GOOX.US,D,20240202,000000,23.82,24.66,22.8,24.5344,23763,0
GOOX.US,D,20240205,000000,25.31,25.57,24.93,25.1,14269,0
GOOX.US,D,20240206,000000,25.4,25.4,24.87,25.1406,5229,0
GOOX.US,D,20240207,000000,25.26,25.7,25.26,25.6,10932,0
GOOX.US,D,20240208,000000,25.93,25.939,25.47,25.722,17349,0
GOOX.US,D,20240209,000000,26.13,26.969,25.969,26.7818,14980,0
GOOX.US,D,20240212,000000,26.45,26.7339,26.2332,26.2332,7166,0
GOOX.US,D,20240213,000000,24.98,25.8499,24.98,25.29,7244,0
GOOX.US,D,20240214,000000,25.561,25.675,25.3,25.675,3628,0
GOOX.US,D,20240215,000000,24.55,24.71,24.05,24.55,15002,0
GOOX.US,D,20240216,000000,24.41,24.41,23.75,23.819,8698,0
GOOX.US,D,20240220,000000,23.8,24.0028,23.71,23.84,7588,0
GOOX.US,D,20240221,000000,23.8809,24.4398,23.8809,24.4398,11360,0
GOOX.US,D,20240222,000000,24.93,24.995,24.7299,24.9308,9777,0
GOOX.US,D,20240223,000000,25.1292,25.1292,24.75,24.9401,7359,0
GOOX.US,D,20240226,000000,24.3,24.3,22.7,22.7,52142,0
GOOX.US,D,20240227,000000,22.95,23.19,22.57,23.09,23773,0
GOOX.US,D,20240228,000000,22.81,22.81,21.95,22.17,25494,0
GOOX.US,D,20240229,000000,22.46,22.878,22.34,22.7501,16087,0
GOOX.US,D,20240301,000000,22.76,22.79,22.3701,22.3701,11237,0
GOOX.US,D,20240304,000000,21.61,21.61,20.67,21.075,37390,0
GOOX.US,D,20240305,000000,20.88,21.0089,20.29,20.9119,20270,0
GOOX.US,D,20240306,000000,21.17,21.21,20.4,20.5557,22574,0
GOOX.US,D,20240307,000000,20.85,21.57,20.58,21.4,69269,0
GOOX.US,D,20240308,000000,21.44,22.5,21.44,21.7521,33569,0
