<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IOPP.US,D,20240306,000000,25.1599,25.2392,25.14,25.17,42263,0
IOPP.US,D,20240307,000000,25.25,25.33,25.15,25.3043,31919,0
IOPP.US,D,20240308,000000,25.35,25.35,25.275,25.2752,1063,0
IOPP.US,D,20240311,000000,24.97,24.97,24.88,24.885,5439,0
IOPP.US,D,20240312,000000,24.73,24.78,24.62,24.77,11253,0
IOPP.US,D,20240313,000000,24.19,24.19,24.11,24.18,3377,0
IOPP.US,D,20240314,000000,24.34,24.34,24.2274,24.2274,9451,0
IOPP.US,D,20240315,000000,24.25,24.25,24.15,24.1541,7339,0
IOPP.US,D,20240318,000000,24.18,24.24,24.18,24.222,1356,0
IOPP.US,D,20240319,000000,24.14,24.14,24.02,24.14,7717,0
IOPP.US,D,20240320,000000,24.09,24.22,24.09,24.22,194,0
IOPP.US,D,20240321,000000,24.54,24.56,24.51,24.52,4172,0
IOPP.US,D,20240322,000000,24.61,24.64,24.593,24.61,6033,0
IOPP.US,D,20240325,000000,24.69,24.69,24.655,24.655,721,0
IOPP.US,D,20240326,000000,24.865,24.865,24.8163,24.8163,4673,0
IOPP.US,D,20240327,000000,24.93,24.98,24.91,24.98,1603,0
IOPP.US,D,20240328,000000,25.07,25.081,25.03,25.07,3367,0
IOPP.US,D,20240401,000000,25.2665,25.2897,25.225,25.225,1061,0
IOPP.US,D,20240402,000000,25.3696,25.44,25.32,25.3649,10464,0
IOPP.US,D,20240403,000000,25.495,25.559,25.495,25.52,2213,0
IOPP.US,D,20240404,000000,25.7031,25.77,25.5459,25.5459,6573,0
IOPP.US,D,20240405,000000,25.6,25.75,25.595,25.66,8498,0
IOPP.US,D,20240408,000000,25.73,25.9,25.73,25.854,6810,0
IOPP.US,D,20240409,000000,25.84,25.86,25.806,25.846,3172,0
IOPP.US,D,20240410,000000,25.83,25.969,25.8,25.82,7991,0
IOPP.US,D,20240411,000000,25.852,25.9719,25.852,25.9719,544,0
IOPP.US,D,20240412,000000,26,26,25.865,25.865,21227,0
