<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCHD.US,D,20111025,000000,5.7122,5.7122,5.63677,5.63953,421561.56708454,0
SCHD.US,D,20111026,000000,5.72223,5.72223,5.62187,5.6979,200778.05692261,0
SCHD.US,D,20111027,000000,5.8302,5.8569,5.77607,5.82807,1217968.0378861,0
SCHD.US,D,20111028,000000,5.83417,5.83417,5.79923,5.8232,417588.75966827,0
SCHD.US,D,20111031,000000,5.7551,5.78187,5.70767,5.70767,924693.94736891,0
SCHD.US,D,20111101,000000,5.6143,5.63677,5.56957,5.5793,693702.16384603,0
SCHD.US,D,20111102,000000,5.67757,5.7122,5.61703,5.6529,1080307.6299145,0
SCHD.US,D,20111103,000000,5.74233,5.75047,5.66173,5.74447,2150887.1436558,0
SCHD.US,D,20111104,000000,5.70187,5.7195,5.65507,5.70853,345371.1453855,0
SCHD.US,D,20111107,000000,5.72713,5.7578,5.67057,5.75047,1000371.3244016,0
SCHD.US,D,20111108,000000,5.79153,5.82807,5.74077,5.8232,2077663.1725275,0
SCHD.US,D,20111109,000000,5.72987,5.7338,5.62977,5.6481,2972330.8519242,0
SCHD.US,D,20111110,000000,5.72223,5.72987,5.65743,5.7046,817474.18960003,0
SCHD.US,D,20111111,000000,5.7691,5.82047,5.7691,5.80857,591635.87397554,0
SCHD.US,D,20111114,000000,5.80257,5.80257,5.75047,5.7691,994589.70566177,0
SCHD.US,D,20111115,000000,5.76023,5.8183,5.74903,5.79153,647919.50487111,0
SCHD.US,D,20111116,000000,5.75577,5.8046,5.7046,5.70643,461467.23363158,0
SCHD.US,D,20111117,000000,5.71497,5.72223,5.60817,5.63677,1149275.9613105,0
SCHD.US,D,20111118,000000,5.67903,5.67903,5.6347,5.6602,880519.48609809,0
SCHD.US,D,20111121,000000,5.61943,5.61943,5.51273,5.55407,1312749.7512442,0
SCHD.US,D,20111122,000000,5.55193,5.56957,5.51453,5.5349,671608.35571489,0
SCHD.US,D,20111123,000000,5.50337,5.50337,5.43857,5.43857,691623.67519779,0
SCHD.US,D,20111125,000000,5.42903,5.47867,5.42903,5.42903,237148.31951896,0
SCHD.US,D,20111128,000000,5.55407,5.5793,5.52733,5.55593,643154.10922029,0
