<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPQ.US,D,20231115,000000,25.61,25.61,25.5418,25.5418,354,0
SPQ.US,D,20231116,000000,25.43,25.5201,25.38,25.5201,473,0
SPQ.US,D,20231117,000000,25.54,25.6194,25.5,25.5289,864,0
SPQ.US,D,20231120,000000,25.58,25.7106,25.58,25.7106,1035,0
SPQ.US,D,20231121,000000,25.66,25.74,25.6,25.6784,579,0
SPQ.US,D,20231122,000000,25.6801,25.84,25.6801,25.7499,812,0
SPQ.US,D,20231124,000000,25.82,25.82,25.68,25.7541,737,0
SPQ.US,D,20231127,000000,25.7,25.7251,25.7,25.7251,884,0
SPQ.US,D,20231128,000000,25.73,25.8098,25.71,25.7818,1668,0
SPQ.US,D,20231129,000000,25.89,25.89,25.7589,25.7589,234,0
SPQ.US,D,20231130,000000,25.69,25.8265,25.69,25.8265,768,0
SPQ.US,D,20231201,000000,25.9193,25.9193,25.9193,25.9193,138,0
SPQ.US,D,20231204,000000,25.784,25.784,25.784,25.784,186,0
SPQ.US,D,20231205,000000,25.78,25.834,25.78,25.8003,1914,0
SPQ.US,D,20231206,000000,25.65,25.6866,25.65,25.6866,182,0
SPQ.US,D,20231207,000000,25.8,25.8602,25.8,25.8602,420,0
SPQ.US,D,20231208,000000,25.91,25.961,25.91,25.961,677,0
SPQ.US,D,20231211,000000,26.0718,26.0718,26.0718,26.0718,26,0
SPQ.US,D,20231212,000000,26.1805,26.1805,26.1805,26.1805,9,0
SPQ.US,D,20231213,000000,26.14,26.4908,26.14,26.4908,199,0
SPQ.US,D,20231214,000000,26.66,26.67,26.54,26.5645,856,0
SPQ.US,D,20231215,000000,26.595,26.6499,26.595,26.6025,636,0
SPQ.US,D,20231218,000000,26.7269,26.7269,26.6877,26.6877,181,0
SPQ.US,D,20231219,000000,26.8405,26.8526,26.8405,26.8526,766,0
SPQ.US,D,20231220,000000,26.99,26.99,26.5081,26.5081,1390,0
