<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ULTY.US,D,20240301,000000,10.5433,10.7584,10.4296,10.7584,202289.09282073,0
ULTY.US,D,20240304,000000,11.0543,11.0543,10.7585,10.7961,239779.57340185,0
ULTY.US,D,20240305,000000,10.7531,10.7531,10.2743,10.4031,135233.05448871,0
ULTY.US,D,20240306,000000,10.6562,10.8015,10.5241,10.6562,127986.66715767,0
ULTY.US,D,20240307,000000,10.6831,10.6831,10.5083,10.5514,119083.90960806,0
ULTY.US,D,20240308,000000,10.7692,10.8606,10.5702,10.7262,217376.74792046,0
ULTY.US,D,20240311,000000,10.7908,10.7908,10.2904,10.3067,332227.71141441,0
ULTY.US,D,20240312,000000,10.4088,10.4088,10.0053,10.3495,188467.41765235,0
ULTY.US,D,20240313,000000,10.4734,10.6399,10.3744,10.5702,1454248.4358664,0
ULTY.US,D,20240314,000000,10.8064,10.8291,9.9817,10.1524,992097.33508845,0
ULTY.US,D,20240315,000000,10.0386,10.4254,10.0329,10.3514,464248.65859259,0
ULTY.US,D,20240318,000000,10.3684,10.3684,10.0669,10.249,528036.80581651,0
ULTY.US,D,20240319,000000,10.1182,10.1182,9.71439,9.88506,385997.41051245,0
ULTY.US,D,20240320,000000,9.93619,10.1693,9.86798,10.1693,260798.22673293,0
ULTY.US,D,20240321,000000,10.2832,10.3173,10.1466,10.2034,282594.85465837,0
ULTY.US,D,20240322,000000,10.198,10.2318,10.1239,10.1524,163150.31822902,0
ULTY.US,D,20240325,000000,10.1409,10.4424,10.1409,10.3969,234294.8493555,0
ULTY.US,D,20240326,000000,10.4651,10.5618,10.3571,10.3854,214268.74690565,0
ULTY.US,D,20240327,000000,10.5219,10.5219,10.2092,10.4765,156780.29459638,0
ULTY.US,D,20240328,000000,10.6301,10.6927,10.4765,10.5163,225345.51999029,0
ULTY.US,D,20240401,000000,10.6415,10.6415,10.2575,10.3912,400242.49234288,0
ULTY.US,D,20240402,000000,10.4197,10.4309,10.0016,10.1125,269267.56259781,0
ULTY.US,D,20240403,000000,10.1808,10.4339,10.1239,10.3604,229533.59514705,0
ULTY.US,D,20240404,000000,10.5732,10.6301,10.1438,10.1693,416996.55118788,0
ULTY.US,D,20240405,000000,10.1693,10.3229,10.0614,10.2087,274624.85269128,0
ULTY.US,D,20240408,000000,10.5333,10.5333,10.1525,10.2348,654723.44198167,0
ULTY.US,D,20240409,000000,10.2889,10.2889,10.0194,10.1637,587708.96481961,0
ULTY.US,D,20240410,000000,10.0898,10.1353,9.86798,10.1125,604584.34070316,0
ULTY.US,D,20240411,000000,10.2092,10.2092,9.9817,10.1921,483527.51841371,0
ULTY.US,D,20240412,000000,10.2149,10.2149,9.67036,9.74863,660885.99589622,0
ULTY.US,D,20240415,000000,9.8509,9.8509,9.34472,9.38459,733152.27007476,0
ULTY.US,D,20240416,000000,9.4528,9.51529,9.24798,9.47551,1486738.5491638,0
ULTY.US,D,20240417,000000,9.51732,9.58507,9.21258,9.31832,656063.00245698,0
ULTY.US,D,20240418,000000,9.37425,9.43019,9.11314,9.15662,347860.6966545,0
ULTY.US,D,20240419,000000,9.11314,9.16606,8.76628,8.84591,693956.68902293,0
ULTY.US,D,20240422,000000,8.89555,9.13791,8.75262,9.06965,548845.55426457,0
ULTY.US,D,20240423,000000,9.15662,9.34998,9.13176,9.28103,285780.74851957,0
ULTY.US,D,20240424,000000,9.34315,9.41717,9.18148,9.23755,265053.11431163,0
ULTY.US,D,20240425,000000,9.15662,9.28417,9.05659,9.26866,203336.72421558,0
ULTY.US,D,20240426,000000,9.34315,9.45031,9.25297,9.43646,206796.96024052,0
ULTY.US,D,20240429,000000,9.50486,9.50486,9.2934,9.424,239660.354826,0
ULTY.US,D,20240430,000000,9.38044,9.38044,9.138,9.15662,311342.41771353,0
ULTY.US,D,20240501,000000,9.15662,9.37425,8.98883,9.06341,248096.18825917,0
ULTY.US,D,20240502,000000,9.30586,9.38044,9.04782,9.34933,198378.82211012,0
ULTY.US,D,20240503,000000,9.46757,9.63538,9.46757,9.57307,354805.2986627,0
ULTY.US,D,20240506,000000,9.73479,9.827,9.64775,9.76589,652457.98668205,0
ULTY.US,D,20240507,000000,9.79063,9.80937,9.66021,9.74097,638642.78120453,0
ULTY.US,D,20240508,000000,9.68504,9.72851,9.58553,9.71614,672624.19719278,0
ULTY.US,D,20240509,000000,9.82174,10.0145,9.63538,9.98963,1159848.2725307,0
ULTY.US,D,20240510,000000,10.1016,10.1016,9.53587,9.57307,1106783.276829,0
ULTY.US,D,20240513,000000,9.88395,10.4434,9.87786,10.1326,1113401.3200677,0
ULTY.US,D,20240514,000000,9.94616,10.0084,9.74097,9.92133,2693953.8074683,0
ULTY.US,D,20240515,000000,10.1295,10.143,9.86604,10.035,1055051.960185,0
ULTY.US,D,20240516,000000,10.0957,10.0957,9.90656,9.92004,574545.34801463,0
ULTY.US,D,20240517,000000,9.9876,10.0282,9.87952,9.93361,877716.5720486,0
ULTY.US,D,20240520,000000,9.9876,9.99434,9.83226,9.98096,815791.61980631,0
ULTY.US,D,20240521,000000,9.98096,9.98096,9.86936,9.90656,684449.33771807,0
ULTY.US,D,20240522,000000,9.94718,10.0214,9.76469,9.83217,596204.1350198,0
ULTY.US,D,20240523,000000,9.94034,9.94708,9.48077,9.5619,586176.80919669,0
ULTY.US,D,20240524,000000,9.66325,9.82543,9.62956,9.80521,379299.58141943,0
ULTY.US,D,20240528,000000,9.87278,9.87278,9.50791,9.64978,860118.43764948,0
ULTY.US,D,20240529,000000,9.58904,9.64978,9.46056,9.60926,374408.74437023,0
ULTY.US,D,20240530,000000,9.77143,9.86604,9.69703,9.75786,428012.61439538,0
ULTY.US,D,20240531,000000,9.839,9.86604,9.47403,9.70377,516469.43273603,0
ULTY.US,D,20240603,000000,9.82543,9.90656,9.64304,9.79155,470391.97639688,0
ULTY.US,D,20240604,000000,9.81869,9.85921,9.63704,9.7646,555652.36265696,0
ULTY.US,D,20240605,000000,9.89982,10.1295,9.83217,10.1092,653455.78517393,0
ULTY.US,D,20240606,000000,10.1498,10.1498,9.9757,10.0552,499112.51057262,0
ULTY.US,D,20240607,000000,10.089,10.1025,9.85256,9.90656,1253599.2267671,0
ULTY.US,D,20240610,000000,9.9133,10.0079,9.81186,9.93361,1950418.460671,0
ULTY.US,D,20240611,000000,9.88626,10.0012,9.61655,10.0012,1498286.1025344,0
ULTY.US,D,20240612,000000,10.1092,10.2849,10.1092,10.197,1487610.6113171,0
ULTY.US,D,20240613,000000,10.2783,10.2783,10.0687,10.1092,2728724.5151844,0
ULTY.US,D,20240614,000000,10.0462,10.1266,9.9145,10.0242,1936404.1080152,0
ULTY.US,D,20240617,000000,9.93656,9.9841,9.8341,9.93656,1265223.5923476,0
ULTY.US,D,20240618,000000,9.86336,10.0096,9.85616,9.94385,1082652.6775778,0
ULTY.US,D,20240620,000000,10.017,10.0462,9.79026,9.93656,1003190.1739399,0
ULTY.US,D,20240621,000000,9.8341,9.87075,9.61479,9.87075,779551.77901975,0
ULTY.US,D,20240624,000000,9.71716,9.86336,9.57086,9.68051,946711.61821307,0
