<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIS.US,D,20241205,000000,25.79,25.79,25.6026,25.63,7550,0
AIS.US,D,20241206,000000,25.39,25.56,25.39,25.54,4780,0
AIS.US,D,20241209,000000,25.55,25.56,25.19,25.1919,14904,0
AIS.US,D,20241210,000000,25.1107,25.24,24.73,24.7352,7091,0
AIS.US,D,20241211,000000,24.9,24.9676,24.84,24.9676,10567,0
AIS.US,D,20241212,000000,24.98,25.03,24.8774,24.8774,2287,0
AIS.US,D,20241213,000000,24.94,25.0306,24.94,25.0306,335,0
AIS.US,D,20241216,000000,24.915,25.2217,24.915,25.2217,4124,0
AIS.US,D,20241217,000000,24.87,24.92,24.8275,24.8275,1493,0
AIS.US,D,20241218,000000,24.89,24.89,24.0396,24.0396,253,0
AIS.US,D,20241219,000000,24.05,24.27,23.8726,23.8726,788,0
AIS.US,D,20241220,000000,24.22,24.39,24.1825,24.1825,512,0
AIS.US,D,20241223,000000,24.4,24.55,24.3299,24.55,6824,0
AIS.US,D,20241226,000000,24.85,24.9162,24.85,24.9162,203,0
AIS.US,D,20241227,000000,24.35,24.56,24.35,24.5056,1808,0
AIS.US,D,20241230,000000,23.98,24.26,23.9514,24.1701,6890,0
AIS.US,D,20241231,000000,24.1,24.1,23.8527,23.8527,1291,0
AIS.US,D,20250102,000000,23.9607,23.9607,23.73,23.9158,3316,0
AIS.US,D,20250103,000000,24.3,24.63,24.3,24.6045,3537,0
AIS.US,D,20250106,000000,25.38,25.54,25.26,25.3166,6232,0
AIS.US,D,20250107,000000,25.46,25.46,25.0238,25.0238,2834,0
AIS.US,D,20250108,000000,24.91,24.95,24.59,24.7403,5434,0
AIS.US,D,20250110,000000,24.42,24.4511,24.395,24.395,24856,0
