<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMTM.US,D,20241002,000000,25.48,25.94,24.68,25.27,11160566,0
AMTM.US,D,20241003,000000,25.1,26,24.9501,25.4,4698385,0
AMTM.US,D,20241004,000000,25.5,27.79,25.46,26.47,3640724,0
AMTM.US,D,20241007,000000,26.2,26.375,25.4,25.55,3579826,0
AMTM.US,D,20241008,000000,25.44,25.87,24.69,24.75,3114128,0
AMTM.US,D,20241009,000000,24.44,26.34,24.02,25.5,3793019,0
AMTM.US,D,20241010,000000,25.04,26.79,24.81,25.99,2715545,0
AMTM.US,D,20241011,000000,26,27.19,25.9,26.9,2139551,0
AMTM.US,D,20241014,000000,26.81,28.64,26.68,28.38,3154155,0
AMTM.US,D,20241015,000000,28.47,28.87,28.02,28.7,2743425,0
AMTM.US,D,20241016,000000,28.47,30.29,27.94,28.93,2112278,0
AMTM.US,D,20241017,000000,29.13,30.03,28.85,29.69,1674703,0
AMTM.US,D,20241018,000000,29.7,29.82,28.72,29.3,1828737,0
AMTM.US,D,20241021,000000,29.09,29.77,28.55,28.96,2767451,0
AMTM.US,D,20241022,000000,28.61,29.22,28.37,28.97,1081142,0
AMTM.US,D,20241023,000000,28.82,29.24,28.3,28.87,3347248,0
AMTM.US,D,20241024,000000,29.45,30.22,28.9697,29.97,1485219,0
AMTM.US,D,20241025,000000,30.21,31.025,29.51,29.65,1282149,0
AMTM.US,D,20241028,000000,29.69,30.91,29.69,30.88,964423,0
AMTM.US,D,20241029,000000,30.91,31.14,30.13,30.81,1493496,0
AMTM.US,D,20241030,000000,30.72,30.99,30.05,30.12,1004673,0
AMTM.US,D,20241031,000000,30,30.53,29.401,29.74,1101697,0
AMTM.US,D,20241101,000000,30.28,31.14,29.83,30.79,957085,0
AMTM.US,D,20241104,000000,30.78,31.06,29.63,29.63,787604,0
AMTM.US,D,20241105,000000,29.54,30.2,29.52,30,710428,0
AMTM.US,D,20241106,000000,31.29,31.75,30.3,31,1331079,0
AMTM.US,D,20241107,000000,31.19,31.975,31.1,31.84,1338813,0
AMTM.US,D,20241108,000000,32.03,33.5,31.51,33.4,1403806,0
AMTM.US,D,20241111,000000,33.91,34.47,32.12,32.28,1007075,0
AMTM.US,D,20241112,000000,32.26,32.59,30.53,31.24,1252670,0
AMTM.US,D,20241113,000000,31.34,31.49,29.4,29.63,1693809,0
AMTM.US,D,20241114,000000,29.19,29.58,26.02,26.41,2505675,0
AMTM.US,D,20241115,000000,26.19,26.35,24.88,25.2,2632124,0
AMTM.US,D,20241118,000000,24.87,25.06,22.24,22.77,3096661,0
AMTM.US,D,20241119,000000,22.22,22.94,21.24,21.94,4280056,0
AMTM.US,D,20241120,000000,21.96,22.99,21.5,22.41,2440595,0
AMTM.US,D,20241121,000000,23.44,25.29,23.35,24.76,2891963,0
AMTM.US,D,20241122,000000,24.9,25.44,24.4,24.43,1467043,0
AMTM.US,D,20241125,000000,24.76,25.45,24.47,24.81,1451103,0
AMTM.US,D,20241126,000000,24.74,25.955,24.36,24.61,1098076,0
AMTM.US,D,20241127,000000,24.735,24.8,23.485,23.9,1020440,0
AMTM.US,D,20241129,000000,24.195,24.66,24.01,24.35,642615,0
AMTM.US,D,20241202,000000,24.37,25.046,23.7564,23.86,1309802,0
AMTM.US,D,20241203,000000,23.91,24.53,23.6151,24.27,1420019,0
AMTM.US,D,20241204,000000,24.345,24.64,23.69,23.91,1173355,0
AMTM.US,D,20241205,000000,24,24.04,22.71,23,1340779,0
AMTM.US,D,20241206,000000,23.3573,23.95,23,23.17,1015913,0
AMTM.US,D,20241209,000000,23.39,24.24,23,23.75,2612375,0
AMTM.US,D,20241210,000000,23.87,25.0699,23.7384,24.02,2895045,0
AMTM.US,D,20241211,000000,24.44,24.99,23.46,23.85,2266763,0
AMTM.US,D,20241212,000000,23.75,24.34,23.05,23.61,1724905,0
AMTM.US,D,20241213,000000,23.65,23.75,22.65,23.05,1598968,0
AMTM.US,D,20241216,000000,23.08,24.225,22.84,23.78,3791307,0
AMTM.US,D,20241217,000000,24.2,24.89,20.58,21.51,5609491,0
AMTM.US,D,20241218,000000,21.59,21.99,20.09,20.33,4606286,0
AMTM.US,D,20241219,000000,20.53,20.5664,18.89,18.93,4027348,0
AMTM.US,D,20241220,000000,18.79,19.83,18.3796,19.17,37788846,0
AMTM.US,D,20241223,000000,19.2,20.08,18.83,19.97,2858020,0
AMTM.US,D,20241224,000000,19.91,20.2,19.47,19.81,1162694,0
AMTM.US,D,20241226,000000,19.74,20.72,19.51,20.59,2404440,0
AMTM.US,D,20241227,000000,20.51,20.79,19.78,20.48,2451249,0
AMTM.US,D,20241230,000000,20.24,22.49,19.59,22.3,4790524,0
AMTM.US,D,20241231,000000,22.35,22.7353,20.88,21.03,2489685,0
AMTM.US,D,20250102,000000,21.52,21.86,20.75,21.66,2020245,0
AMTM.US,D,20250103,000000,21.8,22.64,21.3501,22.57,1816969,0
AMTM.US,D,20250106,000000,23.1,23.61,22.48,22.48,2431378,0
AMTM.US,D,20250107,000000,22.8,22.99,21.65,22.1,3519799,0
AMTM.US,D,20250108,000000,22.09,22.09,21.21,21.49,3516211,0
AMTM.US,D,20250110,000000,21.05,22.84,20.81,22.51,2800149,0
