<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQLT.US,D,20241216,000000,25,25,24.9207,24.9207,6635955,0
AQLT.US,D,20241217,000000,24.925,24.95,24.85,24.8832,19609,0
AQLT.US,D,20241218,000000,24.7501,24.7501,24.27,24.2707,64763,0
AQLT.US,D,20241219,000000,24.333,24.35,24.228,24.228,82063,0
AQLT.US,D,20241220,000000,24.4787,24.4787,24.2612,24.2612,4346,0
AQLT.US,D,20241223,000000,24.4,24.519,24.25,24.5179,24615,0
AQLT.US,D,20241224,000000,24.55,24.6351,24.55,24.6351,1632,0
AQLT.US,D,20241226,000000,24.6685,24.69,24.64,24.6756,9791,0
AQLT.US,D,20241227,000000,24.36,24.44,24.3043,24.4382,16778,0
AQLT.US,D,20241230,000000,24.05,24.2057,24.05,24.2057,504,0
AQLT.US,D,20241231,000000,24.23,24.23,24.08,24.16,26778,0
AQLT.US,D,20250102,000000,24.22,24.22,23.9901,24.0599,9758,0
AQLT.US,D,20250103,000000,24.12,24.32,24.12,24.2611,3245,0
AQLT.US,D,20250106,000000,24.51,24.69,24.51,24.5119,7135,0
AQLT.US,D,20250107,000000,24.48,24.51,24.31,24.3529,58812,0
AQLT.US,D,20250108,000000,24.25,24.36,24.19,24.3352,31704,0
AQLT.US,D,20250110,000000,24.01,24.115,23.99,23.99,3867,0
