<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AREA.US,D,20240910,000000,20.27,20.3077,20.27,20.3077,102,0
AREA.US,D,20240911,000000,20.3055,20.3055,20.3055,20.3055,213,0
AREA.US,D,20240912,000000,20.5237,20.5237,20.5237,20.5237,3,0
AREA.US,D,20240913,000000,20.7964,20.7964,20.7964,20.7964,6,0
AREA.US,D,20240916,000000,20.8853,20.8853,20.8853,20.8853,10,0
AREA.US,D,20240917,000000,20.88,20.88,20.8385,20.8385,300,0
AREA.US,D,20240918,000000,20.99,20.99,20.8441,20.8441,182,0
AREA.US,D,20240919,000000,20.87,20.8808,20.87,20.8808,290,0
AREA.US,D,20240920,000000,20.9047,20.9047,20.9047,20.9047,27,0
AREA.US,D,20240923,000000,21.1176,21.1176,21.1176,21.1176,13,0
AREA.US,D,20240924,000000,21.1773,21.1773,21.1773,21.1773,11,0
AREA.US,D,20240925,000000,21.1,21.11,20.94,20.9415,2653,0
AREA.US,D,20240926,000000,20.7822,20.7822,20.7822,20.7822,93,0
AREA.US,D,20240927,000000,20.8509,20.8509,20.8509,20.8509,31,0
AREA.US,D,20241001,000000,20.7,20.7967,20.7,20.7967,481,0
AREA.US,D,20241002,000000,20.7106,20.7106,20.7106,20.7106,43,0
AREA.US,D,20241003,000000,20.5469,20.5469,20.5469,20.5469,106,0
AREA.US,D,20241004,000000,20.5019,20.5019,20.5019,20.5019,105,0
AREA.US,D,20241007,000000,20.3741,20.3741,20.3741,20.3741,109,0
AREA.US,D,20241008,000000,20.46,20.46,20.3723,20.3723,315,0
AREA.US,D,20241009,000000,20.31,20.3304,20.31,20.3304,348,0
AREA.US,D,20241010,000000,20.31,20.31,20.1745,20.1745,116,0
AREA.US,D,20241011,000000,20.3441,20.3441,20.3441,20.3441,16,0
AREA.US,D,20241014,000000,20.4687,20.4687,20.4687,20.4687,40,0
AREA.US,D,20241015,000000,20.7025,20.7025,20.7025,20.7025,6,0
AREA.US,D,20241016,000000,20.8472,20.8472,20.8472,20.8472,10,0
AREA.US,D,20241017,000000,20.6724,20.6724,20.6724,20.6724,25,0
AREA.US,D,20241018,000000,20.7438,20.7438,20.7438,20.7438,3,0
AREA.US,D,20241021,000000,20.76,20.76,20.3816,20.3816,1021,0
AREA.US,D,20241022,000000,20.3784,20.3784,20.3784,20.3784,8,0
AREA.US,D,20241023,000000,20.45,20.5229,20.44,20.5229,508,0
AREA.US,D,20241024,000000,20.58,20.58,20.5599,20.5599,205,0
AREA.US,D,20241025,000000,20.3265,20.3265,20.3265,20.3265,5,0
AREA.US,D,20241028,000000,20.4189,20.4189,20.4189,20.4189,40,0
AREA.US,D,20241029,000000,20.2622,20.2622,20.2622,20.2622,4,0
AREA.US,D,20241030,000000,20.4112,20.4112,20.4112,20.4112,26,0
AREA.US,D,20241031,000000,20.0988,20.0988,20.0988,20.0988,7,0
AREA.US,D,20241101,000000,19.93,19.93,19.93,19.93,521,0
AREA.US,D,20241104,000000,20.0205,20.0205,20.0205,20.0205,85,0
AREA.US,D,20241105,000000,20.2707,20.2707,20.2707,20.2707,40,0
AREA.US,D,20241106,000000,19.8707,19.8707,19.8707,19.8707,40,0
AREA.US,D,20241107,000000,20.1221,20.1221,20.1221,20.1221,17,0
AREA.US,D,20241108,000000,20.2409,20.2409,20.2409,20.2409,3,0
AREA.US,D,20241209,000000,20.28,20.3,20.2469,20.2469,2555,0
AREA.US,D,20241219,000000,18.65,18.65,18.4526,18.4526,258,0
AREA.US,D,20241223,000000,18.45,18.45,18.4491,18.4491,276,0
AREA.US,D,20241224,000000,18.43,18.5473,18.42,18.5473,2041,0
