<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVK-R.US,D,20240927,000000,0.0175,0.0275,0.0175,0.027,635420,0
AVK-R.US,D,20240930,000000,0.0218,0.023,0.0168,0.0199,829614,0
AVK-R.US,D,20241001,000000,0.02,0.0241,0.02,0.022,456335,0
AVK-R.US,D,20241002,000000,0.0201,0.03,0.02,0.025,832526,0
AVK-R.US,D,20241003,000000,0.0201,0.0295,0.02,0.0295,905240,0
AVK-R.US,D,20241004,000000,0.0255,0.031,0.02,0.029,1105162,0
AVK-R.US,D,20241007,000000,0.0235,0.04,0.0235,0.04,905265,0
AVK-R.US,D,20241008,000000,0.0275,0.0426,0.0262,0.036,1608953,0
AVK-R.US,D,20241009,000000,0.0315,0.041,0.028,0.031,883253,0
AVK-R.US,D,20241010,000000,0.0301,0.035,0.0281,0.035,469218,0
AVK-R.US,D,20241011,000000,0.0305,0.045,0.02,0.0225,1108425,0
AVK-R.US,D,20241014,000000,0.02,0.0291,0.0159,0.02,916058,0
AVK-R.US,D,20241015,000000,0.0185,0.0232,0.0185,0.020515,515529,0
AVK-R.US,D,20241016,000000,0.025,0.0279,0.0173,0.02,545954,0
