<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BA_A.US,D,20241108,000000,54.67,54.67,53.32,53.8333,7825459,0
BA_A.US,D,20241111,000000,53.8896,54,53,53.36,2671646,0
BA_A.US,D,20241112,000000,53.11,53.5,51.951,52.36,1513366,0
BA_A.US,D,20241113,000000,52.5,52.9447,50.5431,50.9479,4917253,0
BA_A.US,D,20241114,000000,51.08,51.26,50.04,50.39,1205083,0
BA_A.US,D,20241115,000000,50.15,50.9,50.1,50.9,988683,0
BA_A.US,D,20241118,000000,51,53.33,50.5,51.91,1273489,0
BA_A.US,D,20241119,000000,51.53,52.42,51.49,52.41,1529973,0
BA_A.US,D,20241120,000000,52.73,52.99,52.29,52.5,1242111,0
BA_A.US,D,20241121,000000,52.55,52.75,51.3,51.9,1091304,0
BA_A.US,D,20241122,000000,51.98,55,51.96,53.45,1741207,0
BA_A.US,D,20241125,000000,53.6,54.54,53.55,54.5,1301454,0
BA_A.US,D,20241126,000000,54.27,55.5,53.66,54.12,1807607,0
BA_A.US,D,20241127,000000,54.43,54.99,53.99,54.4,615381,0
BA_A.US,D,20241129,000000,54.74,55.85,54.71,55.39,4759182,0
BA_A.US,D,20241202,000000,55.78,56.616,55.5,55.77,970778,0
BA_A.US,D,20241203,000000,55.5,55.81,55.155,55.46,916528,0
BA_A.US,D,20241204,000000,55.53,56.79,55.25,56.21,2273982,0
BA_A.US,D,20241205,000000,56.53,57.75,55.75,55.96,380679,0
BA_A.US,D,20241206,000000,56.16,56.5,55.02,55.22,134331,0
BA_A.US,D,20241209,000000,55.5,57.38,55.5,56.13,733497,0
BA_A.US,D,20241210,000000,56.84,58.63,56.84,57.75,1714261,0
BA_A.US,D,20241211,000000,58.29,59.96,58.19,58.59,1428926,0
BA_A.US,D,20241212,000000,59.16,59.33,58.49,59.1,2423836,0
BA_A.US,D,20241213,000000,59.14,59.64,58.76,59.57,296697,0
BA_A.US,D,20241216,000000,59.46,60.97,58.72,60.47,542481,0
BA_A.US,D,20241217,000000,60.46,61.17,60.02,60.44,529775,0
BA_A.US,D,20241218,000000,60.5,61.71,59.8829,60.35,552474,0
BA_A.US,D,20241219,000000,61,62.85,60.14,61.63,2199424,0
BA_A.US,D,20241220,000000,61.9,62.83,61.55,61.65,1062173,0
BA_A.US,D,20241223,000000,61.65,62.34,60.91,61.72,135391,0
BA_A.US,D,20241224,000000,61.68,62.56,61.66,62.07,50495,0
BA_A.US,D,20241226,000000,62.12,63.41,61.94,62.56,2033544,0
BA_A.US,D,20241227,000000,62.54,62.76,62.3292,62.62,565085,0
BA_A.US,D,20241230,000000,61,64.57,59.83,61.67,2252173,0
BA_A.US,D,20241231,000000,61,61.46,60.45,60.89,11452234,0
BA_A.US,D,20250102,000000,60.99,61.34,58.86,59.61,82365,0
BA_A.US,D,20250103,000000,59.42,59.97,58.89,58.96,353520,0
BA_A.US,D,20250106,000000,60.9,60.9,59.16,59.36,526030,0
BA_A.US,D,20250107,000000,59.34,60.95,59.34,59.67,515436,0
BA_A.US,D,20250108,000000,59.66,60.04,58.88,59.46,442729,0
BA_A.US,D,20250110,000000,59.41,59.83,58.33,59.51,367865,0
