<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BALY-T.US,D,20241125,000000,18.5,18.55,18.255,18.255,1181,0
BALY-T.US,D,20241126,000000,17.75,17.9145,17.75,17.9145,902,0
BALY-T.US,D,20241203,000000,17.7,17.7,17.7,17.7,323,0
BALY-T.US,D,20241204,000000,17.7,17.7,17.7,17.7,1000,0
BALY-T.US,D,20241205,000000,17.6,17.61,17.6,17.61,682,0
BALY-T.US,D,20241216,000000,17.51,17.5741,17.5,17.5,1670,0
BALY-T.US,D,20241217,000000,17.37,17.43,16.25,16.25,14484,0
BALY-T.US,D,20241219,000000,16.21,16.23,16.18,16.2,683,0
BALY-T.US,D,20241223,000000,16.61,16.61,16.41,16.61,960,0
BALY-T.US,D,20241224,000000,16.04,16.98,16.04,16.675,2020,0
BALY-T.US,D,20241226,000000,16.9571,17.45,16.1439,17.45,1710,0
BALY-T.US,D,20241227,000000,18,18,17.85,17.85,5707,0
BALY-T.US,D,20241230,000000,18.04,18.04,17.5,17.98,1428,0
BALY-T.US,D,20241231,000000,18.1,18.48,18.1,18.47,3766,0
BALY-T.US,D,20250102,000000,19.3,19.45,18.75,19.45,3969,0
BALY-T.US,D,20250103,000000,19.64,20,17.65,18.49,5994,0
BALY-T.US,D,20250106,000000,18.2,19.84,18.2,19.7,7965,0
BALY-T.US,D,20250107,000000,20.89,22,19,20,12117,0
BALY-T.US,D,20250108,000000,19.75,20.95,17.95,19.2,15146,0
BALY-T.US,D,20250110,000000,19.61,20.02,17.95,18.5,1728,0
