<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGDV.US,D,20241217,000000,25.07,25.07,24.9485,25.0152,3761,0
BGDV.US,D,20241218,000000,24.6068,24.6068,24.3556,24.3556,133,0
BGDV.US,D,20241220,000000,24.6,24.6,24.3605,24.3605,4317,0
BGDV.US,D,20241223,000000,24.465,24.613,24.46,24.613,30449,0
BGDV.US,D,20241224,000000,24.755,24.814,24.75,24.814,3901,0
BGDV.US,D,20241226,000000,24.897,24.897,24.85,24.884,1107,0
BGDV.US,D,20241227,000000,24.75,24.75,24.635,24.7065,4164,0
BGDV.US,D,20241230,000000,24.33,24.53,24.2836,24.4658,41686,0
BGDV.US,D,20241231,000000,24.52,24.52,24.3879,24.3879,1300,0
BGDV.US,D,20250102,000000,24.63,24.63,24.385,24.395,2881,0
BGDV.US,D,20250103,000000,24.49,24.66,24.455,24.5991,26862,0
BGDV.US,D,20250106,000000,24.67,24.71,24.47,24.507,14743,0
BGDV.US,D,20250107,000000,24.59,24.59,24.4181,24.4181,12092,0
BGDV.US,D,20250108,000000,24.4,24.5611,24.4,24.5611,3755,0
BGDV.US,D,20250110,000000,24.25,24.25,24.21,24.25,79916,0
