<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BQ.US,D,20200930,000000,200,208.6,130,144,323260.00064652,0
BQ.US,D,20201001,000000,142.2,142.2,120.2,128.8,51210.000102419996,0
BQ.US,D,20201002,000000,119.2,129.6,113.4,124.2,23048.1000460962,0
BQ.US,D,20201005,000000,121.8,130,119.72,124,53374.900106749796,0
BQ.US,D,20201006,000000,124,128,120.402,122.6,17150.400034300797,0
BQ.US,D,20201007,000000,121,124,120.2,122.6,11198.6500223973,0
BQ.US,D,20201008,000000,121.8,128,121.8,125.2,22411.3500448227,0
BQ.US,D,20201009,000000,124,139.8,124,136.2,46235.800092471596,0
BQ.US,D,20201012,000000,139.8,140.4,133.4,135,11550.600023101199,0
BQ.US,D,20201013,000000,131.2,131.648,122.016,122.8,12369.300024738599,0
BQ.US,D,20201014,000000,126.4,136.4,126.3,132.6,18914.950037829898,0
BQ.US,D,20201015,000000,132.6,132.6,123.326,126,14822.050029644099,0
BQ.US,D,20201016,000000,126.8,129.6,123.2,123.4,7120.9500142419,0
BQ.US,D,20201019,000000,123.8,127,118.4,122.6,22656.150045312297,0
BQ.US,D,20201020,000000,124,124,120,120.2,9270.7500185415,0
BQ.US,D,20201021,000000,122,122,116.8,117.2,13925.350027850698,0
BQ.US,D,20201022,000000,118.6,118.6,115,116.8,6532.2000130644,0
BQ.US,D,20201023,000000,118,118,112,113.8,6487.200012974399,0
BQ.US,D,20201026,000000,111.8,111.8,106,106.2,9260.650018521299,0
BQ.US,D,20201027,000000,107.4,107.4,100.268,102,7519.450015038899,0
BQ.US,D,20201028,000000,100.4,100.4,86.4,89.8,14503.650029007298,0
BQ.US,D,20201029,000000,89.6,93.3,87.2,88,10678.850021357699,0
BQ.US,D,20201030,000000,88,91.6,84,85.6,10584.1500211683,0
BQ.US,D,20201102,000000,86.6,95.2,86.6,92,7423.850014847699,0
