<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCI.US,D,20241018,000000,50.1,50.91,50.1,50.5077,3081,0
BTCI.US,D,20241021,000000,50.83,53.15,49.33,50.2306,13506,0
BTCI.US,D,20241022,000000,49.7,50.23,49.67,50.12,4886,0
BTCI.US,D,20241023,000000,49.82,49.82,47.456,48.1012,9484,0
BTCI.US,D,20241024,000000,48.95,50.56,48.95,49.25,16101,0
BTCI.US,D,20241025,000000,49.2,49.69,48,48.3403,26804,0
BTCI.US,D,20241028,000000,50.27,50.38,49.5455,50.18,17131,0
BTCI.US,D,20241029,000000,51.18,52.28,51.1233,52.1543,5196,0
BTCI.US,D,20241030,000000,52,52.2,51.42,51.5893,9525,0
BTCI.US,D,20241031,000000,51.75,51.75,50.29,50.29,12904,0
BTCI.US,D,20241101,000000,50.29,50.8799,49.01,49.01,19823,0
BTCI.US,D,20241104,000000,48.86,49.07,48.05,48.05,19110,0
BTCI.US,D,20241105,000000,48.99,50.24,48.98,49.44,8627,0
BTCI.US,D,20241106,000000,54.38,54.38,52.3791,53.636,16610,0
BTCI.US,D,20241107,000000,53.45,54.4,53.02,53.855,39043,0
BTCI.US,D,20241108,000000,53.855,54.37,53.56,54.1,12080,0
BTCI.US,D,20241111,000000,57.11,60.48,55.56,59.58,51891,0
BTCI.US,D,20241112,000000,59.03,60.83,58.95,60.77,17328,0
BTCI.US,D,20241113,000000,61.47,62.18,60.76,60.7966,23411,0
BTCI.US,D,20241114,000000,61.63,61.63,59.73,59.73,8403,0
BTCI.US,D,20241115,000000,60.065,61.3323,60.02,61.3323,10411,0
BTCI.US,D,20241118,000000,61.27,62,61,61.64,20809,0
BTCI.US,D,20241119,000000,61.77,62.7499,61.58,62,16592,0
BTCI.US,D,20241120,000000,61.609,61.7,61,61.47,26809,0
BTCI.US,D,20241121,000000,62.93,63.31,61.87,62.8612,23870,0
BTCI.US,D,20241122,000000,62.81,63.39,62.5004,63.24,23710,0
BTCI.US,D,20241125,000000,63.2,67.3,61.44,61.6,65852,0
BTCI.US,D,20241126,000000,60.8014,61.57,60.0962,60.21,69024,0
BTCI.US,D,20241127,000000,61.86,62.62,61.35,62.5,17281,0
BTCI.US,D,20241129,000000,63.14,64,62.65,62.85,14822,0
BTCI.US,D,20241202,000000,62.31,63.01,61.59,62.0692,34694,0
BTCI.US,D,20241203,000000,61.3,62.3,60.9,61.8606,16689,0
BTCI.US,D,20241204,000000,62.44,64.02,61.5723,63.5925,27690,0
BTCI.US,D,20241205,000000,66.25,66.43,63.305,63.82,20001,0
BTCI.US,D,20241206,000000,63.52,65.5,63.52,65.2999,19234,0
BTCI.US,D,20241209,000000,63.8483,64.8295,62.15,62.15,48163,0
BTCI.US,D,20241210,000000,63.2634,63.436,61.19,62.325,24985,0
BTCI.US,D,20241211,000000,64.0932,64.9,63.19,64.9,17511,0
BTCI.US,D,20241212,000000,64.9,65.1221,63.675,64.76,25052,0
BTCI.US,D,20241213,000000,64.2575,65.78,64.16,65.78,39495,0
BTCI.US,D,20241216,000000,66.945,68.04,66.35,67.11,96807,0
BTCI.US,D,20241217,000000,67.865,68.36,67.13,67.6,71828,0
BTCI.US,D,20241218,000000,66.75,66.75,64.24,64.63,76637,0
BTCI.US,D,20241219,000000,66.76,66.77,61.7035,62.11,64361,0
BTCI.US,D,20241220,000000,62.6,62.94,61.14,62.3,49623,0
BTCI.US,D,20241223,000000,61.44,61.72,60.01,60.2,82287,0
BTCI.US,D,20241224,000000,61.1822,62.33,60.79,61.995,18981,0
BTCI.US,D,20241226,000000,60.57,60.9651,60.22,60.42,43964,0
BTCI.US,D,20241227,000000,60.815,60.925,59.1,59.77,49744,0
BTCI.US,D,20241230,000000,59.155,60.1,57.98,59.52,38890,0
BTCI.US,D,20241231,000000,60.72,60.72,59.08,59.08,62532,0
BTCI.US,D,20250102,000000,61.66,61.66,60.69,61.28,48696,0
BTCI.US,D,20250103,000000,61.63,62.4099,61.1519,62.05,47040,0
BTCI.US,D,20250106,000000,62.72,64.31,62.37,64.27,70460,0
BTCI.US,D,20250107,000000,63.36,63.44,60.86,61.43,49843,0
BTCI.US,D,20250108,000000,60.2894,60.8919,59.21,59.71,58639,0
BTCI.US,D,20250110,000000,60.47,60.9,59.025,60.595,45352,0
