<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFY.US,D,20240927,000000,20.215,20.24,20.1497,20.1497,4649,0
BUFY.US,D,20240930,000000,20.12,20.12,20.0533,20.1,278872,0
BUFY.US,D,20241001,000000,20.14,20.14,19.985,19.985,43104,0
BUFY.US,D,20241002,000000,19.9493,20,19.9493,20,7436,0
BUFY.US,D,20241003,000000,19.79,19.88,19.79,19.88,16573,0
BUFY.US,D,20241004,000000,19.88,19.95,19.855,19.95,6307,0
BUFY.US,D,20241007,000000,19.805,19.835,19.805,19.835,2019,0
BUFY.US,D,20241008,000000,19.82,19.82,19.8098,19.8098,308,0
BUFY.US,D,20241009,000000,19.814,19.814,19.814,19.814,10,0
BUFY.US,D,20241010,000000,19.8,19.8,19.775,19.7947,1214,0
BUFY.US,D,20241011,000000,19.89,19.89,19.87,19.87,6825,0
BUFY.US,D,20241014,000000,19.91,19.94,19.8708,19.94,7796,0
BUFY.US,D,20241015,000000,19.87,19.87,19.66,19.6811,2856,0
BUFY.US,D,20241016,000000,19.72,19.72,19.7104,19.7104,575,0
BUFY.US,D,20241017,000000,19.76,19.76,19.7173,19.7173,2669,0
BUFY.US,D,20241018,000000,19.76,19.8099,19.76,19.8099,303,0
BUFY.US,D,20241021,000000,19.71,19.71,19.6353,19.6408,2915,0
BUFY.US,D,20241022,000000,19.58,19.59,19.5699,19.5784,1786,0
BUFY.US,D,20241023,000000,19.48,19.48,19.41,19.4391,2307,0
BUFY.US,D,20241024,000000,19.53,19.53,19.5089,19.5089,2236,0
BUFY.US,D,20241025,000000,19.53,19.53,19.462,19.4701,1870,0
BUFY.US,D,20241028,000000,19.54,19.61,19.54,19.59,48584,0
BUFY.US,D,20241029,000000,19.5299,19.54,19.5123,19.5123,12339,0
BUFY.US,D,20241030,000000,19.44,19.48,19.4272,19.4272,4495,0
BUFY.US,D,20241031,000000,19.35,19.3561,19.35,19.3561,110,0
BUFY.US,D,20241101,000000,19.46,19.47,19.41,19.41,7498,0
BUFY.US,D,20241104,000000,19.4582,19.4582,19.38,19.3925,5554,0
BUFY.US,D,20241105,000000,19.53,19.53,19.5182,19.5225,1918,0
BUFY.US,D,20241106,000000,19.42,19.42,19.25,19.3041,4473,0
BUFY.US,D,20241107,000000,19.49,19.51,19.45,19.4887,7968,0
BUFY.US,D,20241108,000000,19.3469,19.3469,19.27,19.3105,5173,0
BUFY.US,D,20241111,000000,19.349,19.36,19.34,19.345,13258,0
BUFY.US,D,20241112,000000,19.15,19.22,19.08,19.09,6216,0
BUFY.US,D,20241113,000000,19.01,19.06,19.01,19.0184,13226,0
BUFY.US,D,20241114,000000,19.1,19.12,19.0196,19.0196,8225,0
BUFY.US,D,20241115,000000,18.97,18.99,18.9686,18.9802,11348,0
BUFY.US,D,20241118,000000,19.04,19.06,19,19.02,5520,0
BUFY.US,D,20241119,000000,19,19.04,18.935,19.0013,11848,0
BUFY.US,D,20241120,000000,18.9318,18.9603,18.91,18.9603,2742,0
BUFY.US,D,20241121,000000,18.9283,18.99,18.9283,18.9708,1876,0
BUFY.US,D,20241122,000000,19,19.02,18.93,19.0151,5719,0
BUFY.US,D,20241125,000000,19.08,19.1,19.05,19.0694,4998,0
BUFY.US,D,20241126,000000,19,19.02,18.99,19.005,1955,0
BUFY.US,D,20241127,000000,19.0899,19.0899,19.065,19.074,737,0
BUFY.US,D,20241129,000000,19.2,19.22,19.2,19.22,2349,0
BUFY.US,D,20241202,000000,19.245,19.2551,19.245,19.2551,200,0
BUFY.US,D,20241203,000000,19.36,19.36,19.3289,19.3289,4308,0
BUFY.US,D,20241204,000000,19.38,19.38,19.34,19.3405,6144,0
BUFY.US,D,20241205,000000,19.44,19.44,19.4,19.4,3284,0
BUFY.US,D,20241206,000000,19.46,19.46,19.3731,19.4001,9033,0
BUFY.US,D,20241209,000000,19.46,19.47,19.415,19.415,1285,0
BUFY.US,D,20241210,000000,19.32,19.35,19.2947,19.2947,4800,0
BUFY.US,D,20241211,000000,19.3,19.37,19.3,19.3411,10347,0
BUFY.US,D,20241212,000000,19.29,19.3,19.25,19.25,5579,0
BUFY.US,D,20241213,000000,19.23,19.24,19.1966,19.1985,6644,0
BUFY.US,D,20241216,000000,19.18,19.18,19.16,19.16,1033,0
BUFY.US,D,20241217,000000,19.16,19.16,19.115,19.115,1943,0
BUFY.US,D,20241218,000000,19.11,19.12,18.8231,18.8284,9540,0
BUFY.US,D,20241219,000000,18.86,18.89,18.7922,18.7922,6849,0
BUFY.US,D,20241220,000000,18.74,18.85,18.74,18.78,2797,0
BUFY.US,D,20241223,000000,18.74,18.81,18.74,18.81,5946,0
BUFY.US,D,20241224,000000,18.83,18.83,18.8266,18.8266,6471,0
BUFY.US,D,20241226,000000,18.8699,18.91,18.85,18.86,4585,0
BUFY.US,D,20241227,000000,18.8857,18.8857,18.84,18.8563,14697,0
BUFY.US,D,20241230,000000,18.78,18.8281,18.78,18.8167,2211,0
BUFY.US,D,20241231,000000,18.85,18.86,18.77,18.8127,3924,0
BUFY.US,D,20250102,000000,18.83,18.83,18.79,18.81,3511,0
BUFY.US,D,20250103,000000,18.84,18.86,18.82,18.85,5616,0
BUFY.US,D,20250106,000000,18.94,18.99,18.9352,18.95,13292,0
BUFY.US,D,20250107,000000,18.96,18.96,18.93,18.94,9552,0
BUFY.US,D,20250108,000000,18.86,18.92,18.86,18.92,13742,0
BUFY.US,D,20250110,000000,18.845,18.845,18.75,18.75,79099,0
