<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNH.US,D,20130930,000000,10.5895,11.0388,10.3426,10.3824,1816180.9210275,0
CNH.US,D,20131001,000000,10.5993,10.9309,10.5895,10.7325,1779259.2628584,0
CNH.US,D,20131002,000000,10.8142,10.8647,10.6917,10.715,1970660.9824943,0
CNH.US,D,20131003,000000,10.6071,10.6071,10.3241,10.4748,1368114.9056276,0
CNH.US,D,20131004,000000,10.5993,10.8822,10.3921,10.5001,1341797.8247651,0
CNH.US,D,20131007,000000,10.3173,10.4087,10.1675,10.1675,1341314.4896862,0
CNH.US,D,20131008,000000,10.3173,10.4748,10.2502,10.3173,1467273.6680051,0
CNH.US,D,20131009,000000,10.4495,10.5331,10.3581,10.4923,1187453.5084694,0
CNH.US,D,20131010,000000,10.5079,10.5234,10.3921,10.4826,607096.62521641,0
CNH.US,D,20131011,000000,10.6576,10.6819,10.5156,10.573,1938219.9433444,0
CNH.US,D,20131014,000000,10.5497,10.7733,10.4233,10.6071,547814.03522468,0
CNH.US,D,20131015,000000,10.2755,10.2755,10.1986,10.2336,844450.14201768,0
CNH.US,D,20131016,000000,10.2259,10.258,10.1257,10.1986,650826.10939111,0
CNH.US,D,20131017,000000,10.185,10.2424,10.1014,10.1986,490420.56553088,0
CNH.US,D,20131018,000000,10.1918,10.2084,9.99249,10.1179,1083323.5933864,0
CNH.US,D,20131021,000000,10.2424,10.2998,10.1588,10.1986,568328.01002224,0
CNH.US,D,20131022,000000,10.433,10.5575,10.4145,10.5079,939545.80461444,0
CNH.US,D,20131023,000000,10.3746,10.4661,10.2755,10.3241,502139.8986366,0
CNH.US,D,20131024,000000,10.4748,10.5497,10.4233,10.4826,785672.48292757,0
CNH.US,D,20131025,000000,10.2998,10.3426,10.1986,10.2424,1206869.181428,0
CNH.US,D,20131028,000000,10.2998,10.3824,10.2755,10.3173,1125992.8255049,0
CNH.US,D,20131029,000000,10.3824,10.4087,10.0499,10.1413,2047760.1261941,0
CNH.US,D,20131030,000000,10.009,10.3173,9.99249,10.0926,1105685.5535815,0
CNH.US,D,20131031,000000,10.1335,10.1588,9.74355,9.74355,1043516.3219587,0
CNH.US,D,20131101,000000,9.50239,9.5199,9.30305,9.32736,1771192.7089025,0
CNH.US,D,20131104,000000,9.48586,9.50239,9.37112,9.45961,979006.51450677,0
CNH.US,D,20131105,000000,9.25346,9.34389,9.21223,9.24568,1516860.7619876,0
CNH.US,D,20131106,000000,9.27874,9.3789,9.21223,9.28652,1192751.6836327,0
CNH.US,D,20131107,000000,9.41001,9.43724,9.27874,9.32736,1147549.570026,0
CNH.US,D,20131108,000000,9.25346,9.3118,9.23615,9.29624,1041807.1668497,0
CNH.US,D,20131111,000000,9.27096,9.30305,9.23615,9.29624,521708.79909895,0
CNH.US,D,20131112,000000,9.26221,9.34389,9.25346,9.32055,914560.46615036,0
CNH.US,D,20131113,000000,9.32055,9.41001,9.29624,9.41001,988119.95167621,0
CNH.US,D,20131114,000000,9.47808,9.50239,9.41001,9.43724,910195.0248522,0
CNH.US,D,20131115,000000,9.43724,9.44502,9.36237,9.39446,1422120.9162787,0
CNH.US,D,20131118,000000,9.48586,9.51114,9.38668,9.39446,1716666.3417622,0
CNH.US,D,20131119,000000,9.39446,9.39446,9.25346,9.32055,1221384.6593841,0
CNH.US,D,20131120,000000,9.57727,9.58505,9.37112,9.39446,1620679.0802006,0
CNH.US,D,20131121,000000,9.37112,9.3789,9.3118,9.37112,367028.20499298,0
CNH.US,D,20131122,000000,9.37112,9.42946,9.35264,9.40321,540581.4913731,0
CNH.US,D,20131125,000000,9.48586,9.49461,9.39446,9.41974,1839226.7489408,0
