<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPNQ.US,D,20241204,000000,24.65,24.66,24.6219,24.645,7604,0
CPNQ.US,D,20241205,000000,24.66,24.67,24.6329,24.6553,11920,0
CPNQ.US,D,20241206,000000,24.68,24.72,24.68,24.71,22618,0
CPNQ.US,D,20241209,000000,24.71,24.8899,24.6629,24.6761,16843,0
CPNQ.US,D,20241210,000000,24.68,24.69,24.6453,24.6453,10676,0
CPNQ.US,D,20241211,000000,24.73,24.74,24.67,24.7102,3327,0
CPNQ.US,D,20241212,000000,24.695,24.73,24.695,24.7152,29559,0
CPNQ.US,D,20241213,000000,24.759,24.77,24.7,24.7252,22387,0
CPNQ.US,D,20241216,000000,24.79,24.88,24.7736,24.7736,3534,0
CPNQ.US,D,20241217,000000,24.74,24.8,24.74,24.773,9570,0
CPNQ.US,D,20241218,000000,24.756,24.79,24.635,24.635,23968,0
CPNQ.US,D,20241219,000000,24.63,24.66,24.6111,24.6204,173784,0
CPNQ.US,D,20241220,000000,24.62,24.7,24.6,24.6692,13230,0
CPNQ.US,D,20241223,000000,24.67,24.71,24.65,24.7083,8752,0
CPNQ.US,D,20241224,000000,24.7,24.76,24.7,24.752,4410,0
CPNQ.US,D,20241226,000000,24.7394,24.77,24.7394,24.7584,4354,0
CPNQ.US,D,20241227,000000,24.675,24.7001,24.675,24.7001,964,0
CPNQ.US,D,20241230,000000,24.66,24.7,24.6272,24.6803,15866,0
CPNQ.US,D,20241231,000000,24.7,24.7,24.63,24.6301,34321,0
CPNQ.US,D,20250102,000000,24.68,24.69,24.6,24.6252,30459,0
CPNQ.US,D,20250103,000000,24.6622,24.71,24.636,24.685,19277,0
CPNQ.US,D,20250106,000000,24.71,24.7672,24.71,24.7353,5534,0
CPNQ.US,D,20250107,000000,24.71,24.71,24.655,24.655,7435,0
CPNQ.US,D,20250108,000000,24.65,24.69,24.635,24.6703,7205,0
CPNQ.US,D,20250110,000000,24.63,24.64,24.5768,24.6299,30877,0
