<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPRO.US,D,20241003,000000,24.74,24.87,24.67,24.71,121386,0
CPRO.US,D,20241004,000000,24.8,24.8,24.6838,24.75,118312,0
CPRO.US,D,20241007,000000,24.73,24.77,24.66,24.7021,123932,0
CPRO.US,D,20241008,000000,24.685,24.71,24.6681,24.69,36343,0
CPRO.US,D,20241009,000000,24.71,24.73,24.6853,24.6853,35650,0
CPRO.US,D,20241010,000000,24.67,24.75,24.64,24.69,43248,0
CPRO.US,D,20241011,000000,24.81,24.81,24.7056,24.7553,30882,0
CPRO.US,D,20241014,000000,25,25,24.76,24.79,15376,0
CPRO.US,D,20241015,000000,24.81,24.8499,24.78,24.8091,76916,0
CPRO.US,D,20241016,000000,24.85,24.89,24.85,24.8653,9259,0
CPRO.US,D,20241017,000000,24.85,24.87,24.835,24.8649,6927,0
CPRO.US,D,20241018,000000,24.8301,24.89,24.8301,24.85,13521,0
CPRO.US,D,20241021,000000,24.8328,24.8328,24.76,24.78,7376,0
CPRO.US,D,20241022,000000,24.78,24.7912,24.7517,24.7885,55061,0
CPRO.US,D,20241023,000000,24.75,24.7519,24.7,24.7403,23062,0
CPRO.US,D,20241024,000000,24.75,24.77,24.6901,24.735,13013,0
CPRO.US,D,20241025,000000,24.7728,24.7899,24.735,24.735,14150,0
CPRO.US,D,20241028,000000,24.8,24.84,24.785,24.8201,18207,0
CPRO.US,D,20241029,000000,24.81,24.8183,24.7641,24.79,18132,0
CPRO.US,D,20241030,000000,24.85,24.86,24.77,24.78,6736,0
CPRO.US,D,20241031,000000,24.775,24.78,24.7188,24.74,16530,0
CPRO.US,D,20241101,000000,24.79,24.79,24.7122,24.75,20949,0
CPRO.US,D,20241104,000000,24.745,24.81,24.745,24.78,25842,0
CPRO.US,D,20241105,000000,24.78,24.86,24.779,24.85,10655,0
CPRO.US,D,20241106,000000,24.975,25.07,24.975,25.07,19228,0
CPRO.US,D,20241107,000000,25.045,25.07,25.0287,25.035,6083,0
CPRO.US,D,20241108,000000,25.07,25.07,25.03,25.06,2523,0
CPRO.US,D,20241111,000000,25.13,25.15,25.05,25.1249,6758,0
CPRO.US,D,20241112,000000,25.13,25.13,25.0499,25.0499,5174,0
CPRO.US,D,20241113,000000,25.0928,25.11,25.02,25.0348,7967,0
CPRO.US,D,20241114,000000,24.985,25.004,24.92,25,12999,0
CPRO.US,D,20241115,000000,24.97,24.97,24.88,24.9152,11110,0
CPRO.US,D,20241118,000000,24.95,24.97,24.9,24.9302,13185,0
CPRO.US,D,20241119,000000,24.87,24.9652,24.87,24.9652,10273,0
CPRO.US,D,20241120,000000,24.945,25.07,24.9064,24.9552,8968,0
CPRO.US,D,20241121,000000,25.0093,25.05,25.0093,25.0371,3036,0
CPRO.US,D,20241122,000000,25.0476,25.1042,25.0476,25.0747,916,0
CPRO.US,D,20241125,000000,25.16,25.16,25.12,25.135,3945,0
CPRO.US,D,20241126,000000,25.11,25.1165,25.11,25.1165,108,0
CPRO.US,D,20241129,000000,25.1499,25.1499,25.13,25.135,4519,0
CPRO.US,D,20241202,000000,25.13,25.19,25.1127,25.1649,10540,0
CPRO.US,D,20241203,000000,25.1216,25.1474,25.1001,25.1474,1998,0
CPRO.US,D,20241205,000000,25.15,25.15,25.1238,25.1238,2279,0
CPRO.US,D,20241206,000000,25.13,25.1505,25.13,25.1505,402,0
CPRO.US,D,20241209,000000,25.13,25.13,25.11,25.1231,4774,0
CPRO.US,D,20241211,000000,25.1045,25.1499,25.1045,25.1301,5244,0
CPRO.US,D,20241212,000000,25.063,25.09,25.063,25.075,668,0
CPRO.US,D,20241213,000000,25.03,25.0675,25.03,25.056,6543,0
CPRO.US,D,20241216,000000,25.06,25.0903,25.06,25.0903,1883,0
CPRO.US,D,20241218,000000,25.0302,25.031,24.8459,24.8459,4177,0
CPRO.US,D,20241219,000000,24.91,24.91,24.8,24.8331,4332,0
CPRO.US,D,20241220,000000,24.8926,24.91,24.8657,24.8657,509,0
CPRO.US,D,20241223,000000,24.89,24.9,24.82,24.8506,8049,0
CPRO.US,D,20241226,000000,24.93,24.93,24.91,24.92,1790,0
CPRO.US,D,20241227,000000,24.899,24.9,24.87,24.8766,5626,0
CPRO.US,D,20241230,000000,24.8531,24.8601,24.82,24.8601,613,0
CPRO.US,D,20241231,000000,24.88,24.9,24.85,24.8849,33380,0
CPRO.US,D,20250102,000000,24.9161,24.9161,24.84,24.8903,3515,0
CPRO.US,D,20250103,000000,24.9225,24.96,24.9225,24.96,1266,0
CPRO.US,D,20250106,000000,24.97,24.97,24.955,24.955,520,0
CPRO.US,D,20250108,000000,24.8701,24.9103,24.8701,24.9103,1325,0
CPRO.US,D,20250110,000000,24.83,24.83,24.76,24.8165,11240,0
