<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CPSD.US,D,20241204,000000,24.23,24.24,24.205,24.2391,108693,0
CPSD.US,D,20241205,000000,24.25,24.25,24.2333,24.2458,62304,0
CPSD.US,D,20241206,000000,24.28,24.3,24.25,24.27,79610,0
CPSD.US,D,20241209,000000,24.29,24.32,24.23,24.2394,77979,0
CPSD.US,D,20241210,000000,24.25,24.25,24.2109,24.2247,21466,0
CPSD.US,D,20241211,000000,24.2433,24.28,24.2433,24.252,2198,0
CPSD.US,D,20241212,000000,24.27,24.28,24.2,24.2281,16768,0
CPSD.US,D,20241213,000000,24.3,24.3,24.22,24.2449,23391,0
CPSD.US,D,20241216,000000,24.245,24.29,24.245,24.29,14466,0
CPSD.US,D,20241217,000000,24.23,24.2899,24.21,24.245,10557,0
CPSD.US,D,20241218,000000,24.26,24.31,24.09,24.09,64528,0
CPSD.US,D,20241219,000000,24.1372,24.17,24.1,24.1012,94653,0
CPSD.US,D,20241220,000000,24.07,24.21,24.07,24.17,43269,0
CPSD.US,D,20241223,000000,24.16,24.23,24.11,24.21,66525,0
CPSD.US,D,20241224,000000,24.2,24.26,24.1971,24.23,18364,0
CPSD.US,D,20241226,000000,24.2699,24.27,24.2447,24.2447,17785,0
CPSD.US,D,20241227,000000,24.172,24.2299,24.1599,24.1899,19076,0
CPSD.US,D,20241230,000000,24.13,24.2,24.1,24.15,52689,0
CPSD.US,D,20241231,000000,24.179,24.18,24.08,24.18,63891,0
CPSD.US,D,20250102,000000,24.2,24.21,24.05,24.13,34209,0
CPSD.US,D,20250103,000000,24.16,24.1999,24.1201,24.175,18455,0
CPSD.US,D,20250106,000000,24.2,24.28,24.1701,24.228,64337,0
CPSD.US,D,20250107,000000,24.205,24.21,24.1194,24.1399,45947,0
CPSD.US,D,20250108,000000,24.17,24.18,24.12,24.16,81940,0
CPSD.US,D,20250110,000000,24.1,24.12,24.0584,24.09,54764,0
