<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECM.US,D,20241226,000000,30.8747,30.96,30.855,30.8706,23217,0
DECM.US,D,20241227,000000,30.86,30.86,30.7526,30.81,34741,0
DECM.US,D,20241230,000000,30.7157,30.8,30.7157,30.7675,34114,0
DECM.US,D,20241231,000000,30.7739,30.81,30.73,30.74,60581,0
DECM.US,D,20250102,000000,30.78,30.79,30.7,30.7247,11839,0
DECM.US,D,20250103,000000,30.79,30.845,30.77,30.8002,57755,0
DECM.US,D,20250106,000000,30.83,30.8516,30.8249,30.8249,1674,0
DECM.US,D,20250107,000000,30.84,30.96,30.765,30.765,138318,0
DECM.US,D,20250108,000000,30.8,30.82,30.79,30.8003,39479,0
DECM.US,D,20250110,000000,30.76,30.76,30.65,30.71,37668,0
