<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DECU.US,D,20241203,000000,25.0591,25.08,25.02,25.0799,144465,0
DECU.US,D,20241204,000000,25.1,25.25,25.1,25.1702,103168,0
DECU.US,D,20241205,000000,25.2,25.22,25.145,25.1454,46267,0
DECU.US,D,20241206,000000,25.21,25.36,25.14,25.1864,45301,0
DECU.US,D,20241209,000000,25.08,25.21,25.08,25.1,35370,0
DECU.US,D,20241210,000000,25.1,25.13,25.016,25.016,35307,0
DECU.US,D,20241211,000000,25.14,25.209,25.1081,25.1592,18665,0
DECU.US,D,20241212,000000,25.0964,25.15,25.08,25.0902,150003,0
DECU.US,D,20241213,000000,25.045,25.19,25.0426,25.0649,16321,0
DECU.US,D,20241216,000000,25.1399,25.36,25.1399,25.1671,21320,0
DECU.US,D,20241217,000000,25.07,25.15,25.055,25.0902,21229,0
DECU.US,D,20241218,000000,25.1,25.17,24.6,24.6,47014,0
DECU.US,D,20241219,000000,24.74,24.94,24.5479,24.5479,75956,0
DECU.US,D,20241220,000000,24.5,24.85,24.5,24.75,19009,0
DECU.US,D,20241223,000000,24.7022,24.8252,24.7022,24.8252,10021,0
DECU.US,D,20241224,000000,24.91,24.97,24.91,24.9652,1749,0
DECU.US,D,20241226,000000,24.96,25.02,24.9473,24.9991,5415,0
DECU.US,D,20241227,000000,24.78,24.81,24.7003,24.7811,22774,0
DECU.US,D,20241230,000000,24.58,24.75,24.5467,24.64,340804,0
DECU.US,D,20241231,000000,24.66,24.68,24.49,24.56,11326,0
DECU.US,D,20250102,000000,24.63,24.69,24.44,24.511,12247,0
DECU.US,D,20250103,000000,24.6138,24.7486,24.6138,24.6913,86082,0
DECU.US,D,20250106,000000,24.915,24.95,24.78,24.782,12411,0
DECU.US,D,20250107,000000,24.725,24.8,24.59,24.6057,35608,0
DECU.US,D,20250108,000000,24.62,24.6599,24.6,24.6457,26781,0
DECU.US,D,20250110,000000,24.41,24.41,24.37,24.41,2990,0
