<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEXC.US,D,20241119,000000,49.89,50.08,49.89,50.03,22372,0
DEXC.US,D,20241120,000000,49.75,49.78,49.54,49.7725,26166,0
DEXC.US,D,20241121,000000,49.68,49.89,49.6058,49.8194,16450,0
DEXC.US,D,20241122,000000,50.11,50.2324,50.02,50.2324,36706,0
DEXC.US,D,20241125,000000,50.4522,50.5395,50.32,50.475,23479,0
DEXC.US,D,20241126,000000,50.35,50.4,50.295,50.396,41218,0
DEXC.US,D,20241127,000000,50.2567,50.28,49.99,50.0459,30404,0
DEXC.US,D,20241129,000000,49.94,50.18,49.94,50.1772,13768,0
DEXC.US,D,20241202,000000,50.0276,50.27,50.0172,50.24,39980,0
DEXC.US,D,20241203,000000,50.13,50.36,50.13,50.3599,21397,0
DEXC.US,D,20241204,000000,50.54,50.7,50.525,50.6558,19981,0
DEXC.US,D,20241205,000000,50.87,50.8732,50.85,50.86,17170,0
DEXC.US,D,20241206,000000,50.79,50.79,50.5685,50.71,45729,0
DEXC.US,D,20241209,000000,50.75,50.7894,50.6,50.6044,18369,0
DEXC.US,D,20241210,000000,50.53,50.53,50.44,50.44,31091,0
DEXC.US,D,20241211,000000,50.88,51.07,50.8001,50.88,28513,0
DEXC.US,D,20241212,000000,50.61,50.66,50.47,50.47,34949,0
DEXC.US,D,20241213,000000,50.6786,50.6786,50.61,50.6497,17954,0
DEXC.US,D,20241216,000000,50.62,50.74,50.56,50.56,48335,0
DEXC.US,D,20241217,000000,49.9896,50.2,49.9896,50.1445,43266,0
DEXC.US,D,20241218,000000,50.22,50.22,48.85,48.85,40796,0
DEXC.US,D,20241219,000000,49.47,49.475,49.2,49.2,33741,0
DEXC.US,D,20241220,000000,48.88,49.42,48.87,49.26,33823,0
DEXC.US,D,20241223,000000,49.29,49.43,49.23,49.4291,88468,0
DEXC.US,D,20241224,000000,49.2854,49.4859,49.2854,49.4859,38030,0
DEXC.US,D,20241226,000000,49.16,49.28,49.12,49.2644,55344,0
DEXC.US,D,20241227,000000,48.97,49.06,48.88,49.05,61816,0
DEXC.US,D,20241230,000000,48.66,48.88,48.56,48.76,35514,0
DEXC.US,D,20241231,000000,48.785,48.85,48.5956,48.64,27330,0
DEXC.US,D,20250102,000000,49.06,49.13,48.775,48.87,57688,0
DEXC.US,D,20250103,000000,49.16,49.2999,49.1599,49.25,46712,0
DEXC.US,D,20250106,000000,49.68,49.81,49.5,49.5,49859,0
DEXC.US,D,20250107,000000,51.73,51.73,49.2,49.2505,135516,0
DEXC.US,D,20250108,000000,48.95,49.11,48.906,49.08,21603,0
DEXC.US,D,20250110,000000,48.22,48.22,48.1004,48.22,118473,0
