<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECG.US,D,20241104,000000,52.49,55.82,50,53.7,1307828,0
ECG.US,D,20241105,000000,53.89,55.24,51.51,51.51,1739324,0
ECG.US,D,20241106,000000,52.5,56.06,51.9,54.61,1170449,0
ECG.US,D,20241107,000000,55,63.33,55,62.1,1575021,0
ECG.US,D,20241108,000000,62.91,63.63,61.33,62.93,1177336,0
ECG.US,D,20241111,000000,63.64,67.1099,62.59,63.85,1582420,0
ECG.US,D,20241112,000000,64.54,65.0165,59.83,61.03,623807,0
ECG.US,D,20241113,000000,61.5301,64.21,58.91,59.22,340644,0
ECG.US,D,20241114,000000,59.39,60.78,56.59,56.74,536182,0
ECG.US,D,20241115,000000,55.63,57.13,55.4456,56.34,513157,0
ECG.US,D,20241118,000000,56.31,59.86,56.18,59.32,730055,0
ECG.US,D,20241119,000000,59.6,62.94,58.6,61.39,348492,0
ECG.US,D,20241120,000000,60.9205,61.93,60.07,60.08,517036,0
ECG.US,D,20241121,000000,60.08,64.35,59.985,64.28,820622,0
ECG.US,D,20241122,000000,64.405,66.25,63.97,65.07,485492,0
ECG.US,D,20241125,000000,66.43,67.99,63.52,63.91,529828,0
ECG.US,D,20241126,000000,64.43,65.57,63.52,64.55,364622,0
ECG.US,D,20241127,000000,63.54,65,63.315,64.66,418967,0
ECG.US,D,20241129,000000,65.13,65.52,63.305,63.66,265890,0
ECG.US,D,20241202,000000,63.66,64.13,61.88,62.9,372209,0
ECG.US,D,20241203,000000,63.71,65.87,61.54,65.47,632097,0
ECG.US,D,20241204,000000,66.365,68.31,64.65,67.25,506770,0
ECG.US,D,20241205,000000,69.1,70.37,66.1933,68.24,671479,0
ECG.US,D,20241206,000000,69.58,70.2499,66.91,68.62,351726,0
ECG.US,D,20241209,000000,68.085,69.68,66.5444,66.95,452860,0
ECG.US,D,20241210,000000,67.74,67.78,65.59,66.16,305093,0
ECG.US,D,20241211,000000,67.21,67.85,65.82,67.83,692522,0
ECG.US,D,20241212,000000,67.72,71.035,67.23,68.8,702235,0
ECG.US,D,20241213,000000,69.475,69.475,67.05,68.17,312143,0
ECG.US,D,20241216,000000,68.2,71.42,67.59,71.16,430819,0
ECG.US,D,20241217,000000,70.3944,70.77,68.83,69.67,644434,0
ECG.US,D,20241218,000000,69.595,71.26,68.06,68.5,1098346,0
ECG.US,D,20241219,000000,68.53,69.98,64.22,64.6,1077940,0
ECG.US,D,20241220,000000,63.7,67.39,62.56,67.09,1509329,0
ECG.US,D,20241223,000000,67.14,68.82,66.375,68.8,400871,0
ECG.US,D,20241224,000000,68.67,70.65,68.4,70.58,168507,0
ECG.US,D,20241226,000000,70.175,73.73,69.77,73.61,228330,0
ECG.US,D,20241227,000000,72.7,73.01,69.05,69.85,273222,0
ECG.US,D,20241230,000000,69.05,69.17,66.22,66.87,464237,0
ECG.US,D,20241231,000000,66.685,67.52,65.28,65.75,564796,0
ECG.US,D,20250102,000000,66.405,70.65,65.77,69.28,735600,0
ECG.US,D,20250103,000000,69.225,69.93,67.345,68.96,586592,0
ECG.US,D,20250106,000000,68.95,70.75,67.48,67.7,435410,0
ECG.US,D,20250107,000000,67.77,70.14,67.45,69.12,505869,0
ECG.US,D,20250108,000000,67.71,69.82,66.53,66.66,412456,0
ECG.US,D,20250110,000000,64.67,64.67,64.6,64.67,277619,0
