<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDGH.US,D,20241007,000000,25.1,25.1,25.0759,25.0759,273,0
EDGH.US,D,20241008,000000,24.9,24.9,24.7,24.8284,1946884,0
EDGH.US,D,20241009,000000,24.72,24.76,24.68,24.7474,20678,0
EDGH.US,D,20241010,000000,24.91,25,24.91,25,4335,0
EDGH.US,D,20241011,000000,25.16,25.18,25.14,25.1503,6710,0
EDGH.US,D,20241014,000000,24.99,25.0187,24.98,25.0187,8051,0
EDGH.US,D,20241015,000000,24.98,25.029,24.97,24.99,29931,0
EDGH.US,D,20241016,000000,25.0001,25.03,25,25.01,4364,0
EDGH.US,D,20241017,000000,25.04,25.1,25.03,25.1,64110,0
EDGH.US,D,20241018,000000,25.19,25.28,25.16,25.2517,48250,0
EDGH.US,D,20241021,000000,25.44,25.44,25.2719,25.32,6819,0
EDGH.US,D,20241022,000000,25.562,25.6,25.554,25.5949,29928,0
EDGH.US,D,20241023,000000,25.36,25.36,25.29,25.3422,7483,0
EDGH.US,D,20241024,000000,25.43,25.43,25.31,25.39,29596,0
EDGH.US,D,20241025,000000,25.3929,25.44,25.3929,25.41,13660,0
EDGH.US,D,20241028,000000,25.32,25.33,25.2626,25.2923,3084,0
EDGH.US,D,20241029,000000,25.47,25.511,25.45,25.511,82056,0
EDGH.US,D,20241030,000000,25.45,25.62,25.44,25.5889,7976,0
EDGH.US,D,20241031,000000,25.27,25.39,25.25,25.3314,13221,0
EDGH.US,D,20241101,000000,25.3,25.3306,25.21,25.25,60843,0
EDGH.US,D,20241104,000000,25.36,25.36,25.29,25.34,4846,0
EDGH.US,D,20241105,000000,25.36,25.38,25.345,25.37,12804,0
EDGH.US,D,20241106,000000,24.9287,24.9287,24.8351,24.8351,7979,0
EDGH.US,D,20241107,000000,25.11,25.169,25.095,25.1594,8252,0
EDGH.US,D,20241108,000000,24.9332,24.95,24.91,24.9313,17165,0
EDGH.US,D,20241111,000000,24.44,24.5,24.4356,24.4991,29664,0
EDGH.US,D,20241112,000000,24.4599,24.4599,24.37,24.4,13315,0
EDGH.US,D,20241113,000000,24.35,24.37,24.2795,24.2795,38673,0
EDGH.US,D,20241114,000000,24.28,24.32,24.2599,24.288,13850,0
EDGH.US,D,20241115,000000,24.32,24.32,24.24,24.2552,6955,0
EDGH.US,D,20241118,000000,24.53,24.56,24.525,24.5494,8400,0
EDGH.US,D,20241119,000000,24.63,24.67,24.63,24.665,12122,0
EDGH.US,D,20241120,000000,24.69,24.74,24.69,24.72,14860,0
EDGH.US,D,20241121,000000,24.78,24.8,24.78,24.8,15085,0
EDGH.US,D,20241122,000000,24.97,24.99,24.9694,24.9694,4872,0
EDGH.US,D,20241125,000000,24.7037,24.7037,24.58,24.61,19944,0
EDGH.US,D,20241126,000000,24.62,24.66,24.61,24.6556,6227,0
EDGH.US,D,20241127,000000,24.69,24.69,24.65,24.6606,8079,0
EDGH.US,D,20241129,000000,24.765,24.78,24.76,24.76,3859,0
EDGH.US,D,20241202,000000,24.66,24.66,24.59,24.6195,4271,0
EDGH.US,D,20241203,000000,24.6703,24.72,24.66,24.69,394138,0
EDGH.US,D,20241204,000000,24.75,24.76,24.73,24.7399,6506,0
EDGH.US,D,20241205,000000,24.73,24.74,24.66,24.7167,7830,0
EDGH.US,D,20241206,000000,24.72,24.7477,24.63,24.71,11906,0
EDGH.US,D,20241209,000000,24.95,24.95,24.8634,24.8634,7195,0
EDGH.US,D,20241210,000000,25,25.0462,25,25.02,11464,0
EDGH.US,D,20241211,000000,25.09,25.16,25.09,25.16,33978,0
EDGH.US,D,20241212,000000,25.01,25.01,24.96,24.9653,4798,0
EDGH.US,D,20241213,000000,24.8453,24.85,24.79,24.7957,13426,0
EDGH.US,D,20241216,000000,24.81,24.8134,24.78,24.795,7734,0
EDGH.US,D,20241217,000000,24.6876,24.72,24.68,24.7096,14228,0
EDGH.US,D,20241218,000000,24.7,24.7,24.4108,24.4108,8356,0
EDGH.US,D,20241219,000000,24.38,24.387,24.36,24.3724,7308,0
EDGH.US,D,20241220,000000,24.46,24.565,24.46,24.5501,219429,0
EDGH.US,D,20241223,000000,24.4747,24.51,24.4747,24.5,11440,0
EDGH.US,D,20241224,000000,24.53,24.55,24.53,24.5363,7545,0
EDGH.US,D,20241226,000000,24.59,24.6086,24.59,24.6,3954,0
EDGH.US,D,20241227,000000,24.52,24.5472,24.515,24.515,1518,0
EDGH.US,D,20241230,000000,23.76,23.79,23.76,23.7773,17004,0
EDGH.US,D,20241231,000000,23.86,23.88,23.86,23.8601,5336,0
EDGH.US,D,20250102,000000,24.081,24.0901,24.081,24.0901,19291,0
EDGH.US,D,20250103,000000,24.07,24.07,23.996,23.996,9316,0
EDGH.US,D,20250106,000000,23.99,24.07,23.99,24,14096,0
EDGH.US,D,20250107,000000,24.11,24.1248,24.1012,24.1248,22289,0
EDGH.US,D,20250108,000000,24.18,24.18,24.11,24.165,9454,0
EDGH.US,D,20250110,000000,24.39,24.45,24.39,24.45,21899,0
