<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUSM.US,D,20241220,000000,24.23,24.64,24.23,24.6007,1317,0
EUSM.US,D,20241223,000000,24.47,24.67,24.4599,24.6644,9498,0
EUSM.US,D,20241224,000000,24.7,24.81,24.7,24.7803,2965,0
EUSM.US,D,20241226,000000,24.9,24.9,24.81,24.8294,704,0
EUSM.US,D,20241227,000000,24.7,24.7,24.6218,24.6218,837,0
EUSM.US,D,20241230,000000,24.29,24.48,24.1411,24.3975,319470,0
EUSM.US,D,20241231,000000,24.46,24.46,24.18,24.2627,33130,0
EUSM.US,D,20250102,000000,24.52,24.52,24.23,24.2718,16740,0
EUSM.US,D,20250103,000000,24.45,24.64,24.424,24.6016,8378,0
EUSM.US,D,20250106,000000,24.78,24.88,24.73,24.7401,22377,0
EUSM.US,D,20250107,000000,24.62,24.62,24.4475,24.4475,6758,0
EUSM.US,D,20250108,000000,24.39,24.78,24.39,24.5822,32545,0
EUSM.US,D,20250110,000000,24.26,24.36,24.2,24.28,16294,0
