<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVTL.US,D,20211217,000000,11.16,13.43,10.2334,12.84,860023,0
EVTL.US,D,20211220,000000,11.675,12.67,11.03,11.18,460115,0
EVTL.US,D,20211221,000000,11.79,11.79,8.54,9.15,467174,0
EVTL.US,D,20211222,000000,9.15,18.44,9.15,10.14,2544629,0
EVTL.US,D,20211223,000000,10.24,10.94,9.3975,10.05,489479,0
EVTL.US,D,20211227,000000,9.47,10.16,9.04,9.17,390407,0
EVTL.US,D,20211228,000000,9.36,9.36,8.5,8.61,181251,0
EVTL.US,D,20211229,000000,8.9,8.9,7.16,7.34,394531,0
EVTL.US,D,20211230,000000,7.26,7.39,6.76,7.04,317417,0
EVTL.US,D,20211231,000000,7.08,7.18,6.73,6.73,257374,0
EVTL.US,D,20220103,000000,6.98,7.3899,6.81,6.88,136601,0
EVTL.US,D,20220104,000000,6.99,7.25,6.8,7.01,124093,0
EVTL.US,D,20220105,000000,7.28,12.64,7.05,9.05,8554367,0
EVTL.US,D,20220106,000000,8.42,9.75,8.24,8.7,1086348,0
EVTL.US,D,20220107,000000,8.53,9.31,8.53,8.87,365912,0
EVTL.US,D,20220110,000000,9.04,9.85,8.75,9.66,500447,0
EVTL.US,D,20220111,000000,10,10.69,9.3745,10.3,484074,0
EVTL.US,D,20220112,000000,10.08,10.48,9,9.06,150589,0
EVTL.US,D,20220113,000000,8.95,9.46,8.95,9.05,453448,0
EVTL.US,D,20220114,000000,9.32,9.4397,8.5,8.69,179834,0
EVTL.US,D,20220118,000000,8.4,8.9,7.1,7.63,419968,0
EVTL.US,D,20220119,000000,7.51,7.87,7.19,7.36,171103,0
EVTL.US,D,20220120,000000,7.4,10.7199,7.4,8.22,9554076,0
EVTL.US,D,20220121,000000,7.79,8.44,7.68,8.21,600075,0
EVTL.US,D,20220124,000000,7.95,8.5038,7.15,7.52,407039,0
EVTL.US,D,20220125,000000,7.49,8.38,7.4,8.01,236040,0
EVTL.US,D,20220126,000000,8.15,8.7,8.01,8.45,318787,0
EVTL.US,D,20220127,000000,8.68,8.68,8,8.02,130528,0
EVTL.US,D,20220128,000000,7.75,7.9,7.0748,7.55,528560,0
EVTL.US,D,20220131,000000,7.43,7.6275,7.25,7.5,182518,0
EVTL.US,D,20220201,000000,7.6,7.79,7.39,7.67,178662,0
EVTL.US,D,20220202,000000,7.5,7.6,7.05,7.1,182749,0
EVTL.US,D,20220203,000000,7.12,7.33,7.0154,7.06,79846,0
EVTL.US,D,20220204,000000,7.01,7.61,7,7.54,101866,0
EVTL.US,D,20220207,000000,7.49,7.79,7.17,7.52,127062,0
EVTL.US,D,20220208,000000,7.46,7.69,7.37,7.51,132282,0
EVTL.US,D,20220209,000000,7.35,7.6,7.1303,7.31,107365,0
EVTL.US,D,20220210,000000,7.14,7.4899,7.04,7.14,97336,0
EVTL.US,D,20220211,000000,7.15,7.4,7.06,7.25,66755,0
EVTL.US,D,20220214,000000,7.29,7.43,6.88,7.01,141310,0
EVTL.US,D,20220215,000000,6.9,7.24,6.9,7.08,83617,0
EVTL.US,D,20220216,000000,7.5,7.55,7.12,7.41,173182,0
EVTL.US,D,20220217,000000,7.05,7.61,7.05,7.61,126477,0
EVTL.US,D,20220218,000000,7.48,7.64,7.3,7.46,111160,0
EVTL.US,D,20220222,000000,7.3,7.4,7.03,7.26,113250,0
EVTL.US,D,20220223,000000,7.08,7.37,6.8,6.82,68770,0
EVTL.US,D,20220224,000000,6.74,7.23,6.66,7.06,102023,0
EVTL.US,D,20220225,000000,6.86,7.4,6.86,7.1,159704,0
EVTL.US,D,20220228,000000,7.09,7.45,7.01,7.41,96885,0
EVTL.US,D,20220301,000000,7.23,7.57,7.2,7.44,328961,0
EVTL.US,D,20220302,000000,7.48,7.5,7.21,7.48,60421,0
EVTL.US,D,20220303,000000,7.48,7.49,7,7.44,106981,0
EVTL.US,D,20220304,000000,7.4,7.48,6.78,6.78,111484,0
EVTL.US,D,20220307,000000,6.75,7.06,6.45,6.49,41365,0
EVTL.US,D,20220308,000000,6.4,6.84,6.29,6.74,30037,0
EVTL.US,D,20220309,000000,6.81,6.98,6.63,6.87,120356,0
EVTL.US,D,20220310,000000,6.8,7,6.68,6.97,37148,0
EVTL.US,D,20220311,000000,6.89,7.215,6.69,7.1,35594,0
EVTL.US,D,20220314,000000,7.18,7.19,6.7,6.91,37547,0
EVTL.US,D,20220315,000000,7.08,7.08,6.9,7.03,17385,0
EVTL.US,D,20220316,000000,7.1,7.45,7.08,7.44,51908,0
EVTL.US,D,20220317,000000,7.44,7.5,7.064,7.41,65253,0
EVTL.US,D,20220318,000000,7.4,7.52,7.26,7.38,105904,0
