<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCBD.US,D,20241226,000000,24.9726,25.05,24.9726,25.0455,19620,0
FCBD.US,D,20241227,000000,25.03,25.03,25.01,25.02,293317,0
FCBD.US,D,20241230,000000,25.07,25.07,25.0449,25.0601,8634,0
FCBD.US,D,20241231,000000,25.06,25.06,25.0176,25.0452,2767,0
FCBD.US,D,20250102,000000,25.07,25.07,25.06,25.0669,1718,0
FCBD.US,D,20250103,000000,25.03,25.04,24.75,25,285016,0
FCBD.US,D,20250106,000000,24.9966,25.015,24.98,24.9843,2587,0
FCBD.US,D,20250107,000000,24.92,25,24.91,24.9529,14390,0
FCBD.US,D,20250108,000000,25.01,25.015,24.97,25.015,2358,0
FCBD.US,D,20250110,000000,24.93,24.9599,24.9,24.9,14697,0
