<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEGE.US,D,20241226,000000,35.36,35.38,35.36,35.365,833,0
FEGE.US,D,20241227,000000,35.49,35.5,35.07,35.1842,24074,0
FEGE.US,D,20241230,000000,34.9844,35.01,34.9494,34.9494,3425,0
FEGE.US,D,20241231,000000,34.86,34.88,34.6972,34.7363,7856,0
FEGE.US,D,20250102,000000,35.19,35.19,34.94,35.0059,13575,0
FEGE.US,D,20250103,000000,34.99,35.1299,34.99,35.1299,2826,0
FEGE.US,D,20250106,000000,35.3166,35.45,35.2319,35.2319,20585,0
FEGE.US,D,20250107,000000,35.38,35.4168,35.19,35.2296,1074658,0
FEGE.US,D,20250108,000000,35.1508,35.32,35.1508,35.2934,62895,0
FEGE.US,D,20250110,000000,35.01,35.01,34.6976,34.71,11639,0
