<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMR.US,D,20241125,000000,25.3,25.3084,25.3,25.3005,1375,0
FEMR.US,D,20241126,000000,24.9786,24.98,24.9015,24.9345,3763,0
FEMR.US,D,20241127,000000,24.97,25,24.9553,24.9553,1050,0
FEMR.US,D,20241129,000000,24.9199,24.9199,24.8757,24.8757,152,0
FEMR.US,D,20241202,000000,24.98,25.092,24.98,25.092,229,0
FEMR.US,D,20241204,000000,25.215,25.2228,25.13,25.2228,12022,0
FEMR.US,D,20241205,000000,25.3201,25.39,25.3201,25.3812,389,0
FEMR.US,D,20241210,000000,25.5291,25.5291,25.4647,25.4647,355,0
FEMR.US,D,20241213,000000,25.41,25.4686,25.4001,25.4455,645,0
FEMR.US,D,20241217,000000,25.3,25.3434,25.3,25.3434,684,0
FEMR.US,D,20241218,000000,25.3989,25.3989,24.78,24.7839,736,0
FEMR.US,D,20241219,000000,24.91,24.9195,24.91,24.9195,256,0
FEMR.US,D,20241220,000000,24.74,24.9001,24.7399,24.8876,1148,0
FEMR.US,D,20241223,000000,25,25.0287,25,25.0287,230,0
FEMR.US,D,20241224,000000,25.06,25.0799,25.06,25.0799,103,0
FEMR.US,D,20241226,000000,24.58,25.0058,24.58,25.0058,420,0
FEMR.US,D,20241227,000000,24.86,24.8661,24.83,24.8661,602,0
FEMR.US,D,20241230,000000,24.64,24.7039,24.64,24.7039,272,0
FEMR.US,D,20241231,000000,24.675,24.6842,24.5807,24.5807,1786,0
FEMR.US,D,20250102,000000,24.54,24.54,24.46,24.511,936,0
FEMR.US,D,20250103,000000,24.6791,24.6797,24.6688,24.6797,478,0
FEMR.US,D,20250106,000000,24.885,24.885,24.7701,24.7977,529,0
FEMR.US,D,20250107,000000,24.8,24.8,24.6371,24.6371,422,0
FEMR.US,D,20250110,000000,24.41,24.41,24.11,24.1401,2765,0
