<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEOE.US,D,20241226,000000,35,35,34.9627,34.9627,235,0
FEOE.US,D,20241227,000000,34.92,34.96,34.8347,34.8862,3335,0
FEOE.US,D,20241230,000000,34.57,34.73,34.56,34.6608,2821,0
FEOE.US,D,20241231,000000,34.84,34.85,34.725,34.7403,4431,0
FEOE.US,D,20250102,000000,34.64,34.6721,34.64,34.6721,600,0
FEOE.US,D,20250103,000000,34.91,34.96,34.8699,34.8699,4479,0
FEOE.US,D,20250106,000000,35.11,35.16,34.9757,34.9757,19872,0
FEOE.US,D,20250107,000000,35.14,35.14,34.9784,34.9784,1113,0
FEOE.US,D,20250108,000000,34.9029,34.9303,34.88,34.9303,601,0
FEOE.US,D,20250110,000000,34.76,34.76,34.46,34.46,1293,0
