<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFDI.US,D,20241122,000000,24.99,25.1364,24.99,25.1364,201252,0
FFDI.US,D,20241126,000000,27.61,27.61,25.1354,25.1354,4627,0
FFDI.US,D,20241127,000000,25.21,25.2168,25.21,25.2168,536,0
FFDI.US,D,20241202,000000,25.5,26.08,25.5,25.6897,417,0
FFDI.US,D,20241205,000000,26.0931,26.11,26.0707,26.0707,991,0
FFDI.US,D,20241206,000000,26.0699,26.0699,26,26.0162,335,0
FFDI.US,D,20241209,000000,25.9699,25.9699,25.8491,25.8491,2322,0
FFDI.US,D,20241210,000000,25.66,25.66,25.6283,25.6283,153,0
FFDI.US,D,20241211,000000,25.8699,25.8699,25.8575,25.8575,226,0
FFDI.US,D,20241212,000000,25.69,25.69,25.5638,25.5638,569,0
FFDI.US,D,20241213,000000,25.505,25.5098,25.5,25.505,1650,0
FFDI.US,D,20241216,000000,25.6,25.6,25.555,25.555,4593,0
FFDI.US,D,20241218,000000,25.18,25.18,24.7579,24.7579,175,0
FFDI.US,D,20241219,000000,24.8589,24.8589,24.755,24.755,1158,0
FFDI.US,D,20241220,000000,24.51,24.675,24.5039,24.5039,576,0
FFDI.US,D,20241224,000000,24.6497,24.7199,24.6497,24.7043,415,0
FFDI.US,D,20241226,000000,24.835,24.89,24.8315,24.8315,579,0
FFDI.US,D,20241227,000000,24.69,24.75,24.69,24.7307,300,0
FFDI.US,D,20241230,000000,24.3704,24.6417,24.3704,24.4959,879,0
FFDI.US,D,20241231,000000,24.45,24.49,24.3911,24.3911,539,0
FFDI.US,D,20250102,000000,24.49,24.49,24.3526,24.3526,238,0
FFDI.US,D,20250103,000000,24.46,24.46,24.4526,24.4526,180,0
FFDI.US,D,20250106,000000,24.91,24.91,24.7585,24.7585,184,0
FFDI.US,D,20250107,000000,24.88,24.9099,24.75,24.7752,432,0
FFDI.US,D,20250108,000000,24.76,24.7845,24.76,24.7845,200,0
FFDI.US,D,20250110,000000,24.62,24.62,24.61,24.61,3068,0
