<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFEM.US,D,20241122,000000,24.8,25,24.8,24.86,400926,0
FFEM.US,D,20241125,000000,25,25,24.9897,24.9897,168,0
FFEM.US,D,20241126,000000,24.9992,27.38,24.86,24.87,6750,0
FFEM.US,D,20241127,000000,24.94,24.94,24.8455,24.8455,1990,0
FFEM.US,D,20241129,000000,24.56,24.7872,24.56,24.7872,10255,0
FFEM.US,D,20241202,000000,24.86,25.33,24.8466,24.8466,563,0
FFEM.US,D,20241204,000000,24.9322,25.04,24.8858,25.0275,889,0
FFEM.US,D,20241206,000000,25.1772,25.1772,25.1516,25.1516,301,0
FFEM.US,D,20241210,000000,25.369,25.369,25.2892,25.2892,269,0
FFEM.US,D,20241212,000000,25.309,25.309,25.2342,25.2342,100,0
FFEM.US,D,20241216,000000,25.18,25.32,25.12,25.12,478,0
FFEM.US,D,20241217,000000,25.1,25.1,24.929,25.05,707,0
FFEM.US,D,20241223,000000,24.66,24.7483,24.66,24.7483,269,0
FFEM.US,D,20241224,000000,24.81,24.81,24.805,24.805,230,0
FFEM.US,D,20241226,000000,24.7442,24.7442,24.7104,24.7104,129,0
