<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGSM.US,D,20241226,000000,25.4,25.5068,25.4,25.5068,6991,0
FGSM.US,D,20241227,000000,25.31,25.35,25.135,25.2952,36261,0
FGSM.US,D,20241230,000000,24.93,25.265,24.93,25.2254,14431,0
FGSM.US,D,20241231,000000,25.18,25.2357,25.18,25.2126,1920,0
FGSM.US,D,20250102,000000,25.1885,25.1885,25.15,25.1873,1302,0
FGSM.US,D,20250103,000000,25.24,25.4164,25.24,25.4164,104806,0
FGSM.US,D,20250106,000000,25.49,25.647,25.4561,25.4561,2691,0
FGSM.US,D,20250107,000000,25.245,25.3091,25.235,25.2514,19077,0
FGSM.US,D,20250108,000000,25.188,25.188,25.13,25.1808,3434,0
FGSM.US,D,20250110,000000,24.72,24.81,24.72,24.78,5348,0
